Exp,Site,Core,Type,Section,Top Depth [m],Group Abundance,Preservation,Anomalinoides parvumbilia,Anomalinoides sphericus,Anomalinoides spp.,Astorononion spp.,Awhea tosta,Bolivina robusta,Bolivina spp.,Bolivinita pliozea,Bolivinita cf. pliozea,Bolivinita pohana,Bolivinita quadrilatera,Bulimina aculeata,Bulimina exilis,Bulimina marginata,Cassidulina carinata,Cassidulina spp.,Cibicides molestus,Cibicides spp.,Cibicidoides neoperforatus,Cibicidoides parki,Cibicidoides cf. perforatus,Cibicidoides robertsonianus,Cibicidoides wuellerstorfi,Cibicidoides spp.,Elphidium advenum (f.limbatum),Elphidium charlottense,Gavelinopsis spp.,Glandulonodosaria spp.,Globocassidulina canalisutulata,Globocassidulina subglobosa,Globocassidulina spp.,Gyroidinoides spp.,Haeuslerella morgani,Haeuslerella pliocenica,Haeuslerella pukekiensis,Haynesina depressula,Hoeglundina elegans,Hopkinsina mioindex,Karreriella bradyi,Lenticulina calcar,Loxostmum karrerianum,Loxostmum truncatum,Martinotiella spp.,Melonis affinis,Melonis dorreeni,Melonis maorica,Melonis pompilioides,Neugeborina ovicula,Nonionella flemingi,Nonionella spp.,Notorotalia aucklandica,Notorotalia clathrata (hornibrooki),Notorotalia depressa,Notorotalia finlayi,Notorotalia hurupiensis,Notorotalia inornata,Notorotalia profunda,Notorotalia taranakia,Notorotalia wilsoni,Notorotalia zealandica,Notorotalia spp.,Oridorsalis tener,Paracassidulina neocarinata,Pleurostomella spp.,Proxifrons advena,Pseudoparrella spp.,Pullenia bulloides,Pullenia spp.,Pyrgo anomala,Pyrgo murrhina,Pyrgo spp.,Quinqueloculina auberiana,Quinqueloculina spp.,Rectobolivina parvula,Rectuvigerina pohana,Sigmoilopsis aff. compressa,Sigmoilopsis schlumbergeri,Siphonina australis,Siphonodosaria spp.,Siphotexturalia wairoana,Sphaeroidina bulloides,Textularia miozea,Texturalia spp.,Trifarina anglosa,Trifarina spp.,Tritaxia instar,Uvigerina spp.,Uvigerina peregrina,Uvigerina pliozea,Uvigerina rodleyi,Vulvulina cf. granulosa,Vulvulina pennatula,Others,Miscellaneous,COMMENTS,Hole,Top [cm],Bottom [cm],Bottom Depth [m],A/W,Sample,eodp_id
317,U1351,1,H,CC,4.21,A,G,,R,,A,,,,,,,,,,,,,,,,,,,,,C,A,R,,,,,,,,,,,,,,,,,,,,,,,C,A,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,317-U1351A-1H-CC,bce8c4ef9ebd312b2825add54dc76fbf
317,U1351,2,H,CC,13.67,A,G,,R,,R,,,,,,,,,,,,,,,,,,,,,F,A,,,R,,,,,,,,,,,,,,,,,,,,F,,A,,F,,,A,,,,,,,,,,,,,,,,,,,,,R,,,,C,,,R,,,,,,,,,,,,A,,,,,317-U1351A-2H-CC,5deb0b1c245c2b0c0d83c63dbf4bd210
317,U1351,3,H,CC,23.1,A,M,,,,,,,,,,,,,,,,,,,,,,,,,F,C,,,R,,,,,,,,,,,,,,,,,,,,F,,D,,C,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,317-U1351A-3H-CC,5df2cbd9ec5ab7531a9de49fa5aa4fa1
317,U1351,4,H,CC,33.43,C,G,,R,,,,,,,,,,,,,,,,,,,,,,,F,C,,,C,,,,,,,,,,,,,,,,,,,,D,,A,,,,,R,,,,,,,,,,,,,F,,,C,,,,,,,,,,,R,,,,,,,,,,,,,A,,,,,317-U1351A-4H-CC,fb2f03db33e93d03c18d7c936de1910d
317,U1351,5,H,CC,43.06,D,M,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,C,,,,,,,F,,,,,,,,R,,,,,A,,A,,,,,F,,,,,,,,,,,,,,,,A,,,,,F,,,,,,,,,,,,,,,,,,,A,,,,,317-U1351A-5H-CC,5dd98d8abc4a57679d775bfb433ae5cb
317,U1351,1,H,CC,8.16,F,G,,A,,C,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,,,,,,,,,,A,,,,,,,,,C,,,F,,,,,,,,,R,,R,,,,,,,,,,R,,,B,,,,,317-U1351B-1H-CC,aaff8f0cac4e537aab946c84092724ca
317,U1351,2,H,CC,17.70,A,G,,A,,,,,,,,,,,,,,F,,C,,,,,,,F,F,,,C,,,,,,,,,,,,,,,,,,,,A,F,,,,,,C,F,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,F,,,B,,,,,317-U1351B-2H-CC,6f11ec7e8d4929dcad22bda71fff973a
317,U1351,3,H,CC,27.41,A,M,,,,F,,,F,,,,,,,,,F,,,,,,,,,A,C,,,A,,,,,,,F,,,,,,,,,,,,,F,C,C,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,317-U1351B-3H-CC,8793dd9ced23b43052e7b01659833ec0
317,U1351,4,H,CC,37.38,A,M,,,,,,,,,,,,,,,,,,,,,,,,,C,A,,,,,,,,,,,,,,,,,,,,,,,F,R,A,,F,,,C,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,317-U1351B-4H-CC,904d7cc9b4f656e5e00960f29d2fc52b
317,U1351,5,H,CC,46.70,A,G,,,,F,,,,,,,,,,,,,,,,,,,,,C,C,,,F,R,,,,,,,,,R,,,,,,,,,,F,R,A,,F,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,B,,,,,317-U1351B-5H-CC,8dce1ac59736efee2559a4c51c5ff251
317,U1351,6,H,CC,55.76,A,G,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,R,,,,,,,,,,C,,A,,,,,C,,,,F,,,,,,,,,R,,,,C,,,,,,,,F,,,,,,,,,,,,F,,,B,,,,,317-U1351B-6H-CC,e4ea36adbf6e3b6d192b86c42a37ea45
317,U1351,7,H,CC,64.92,A,M,,,,F,,,,,,,,,,,,,,F,,,,,,,,R,F,,D,,,,,,,,,,R,,,,,,,,,,C,,,,,R,,F,F,,,C,,,,,,,,,F,,R,F,C,,,,,,,,,,,,F,,,,,,,,F,,,B,,,,,317-U1351B-7H-CC,6b555563821d85ea1403699aa036e52e
317,U1351,8,H,CC,75.34,A,G,,,,,,F,F,,,,,,,,R,,,,,,,,,,,R,F,,A,,,,,,,,,,,,,,,,,,,,A,,R,,F,R,,R,,,,R,,,,,,,,,,,,F,C,,,,,,,,,,,F,,,,,,,,,F,,,B,,,,,317-U1351B-8H-CC,4d5a3ff1872a7f0d0ea5a4465637c84b
317,U1351,9,H,CC,84.22,C,G,,A,,F,,,F,,,,,,,,R,,,C,,,,,,,,,F,,C,,,,,,,,,,,,,,,,,,,,C,F,,,F,F,,C,F,,,F,,,,,,,,,R,,,F,,,,,,,,,,,F,F,,,,,,,,,F,,,B,,,,,317-U1351B-9H-CC,5242078a15b700b6160cebfc2cb77aec
317,U1351,10,H,CC,94.12,C,G,,,,F,,,,,,,,R,,,R,,,F,,,,,,,,R,F,,D,,,,,,,,,,,,,,,,,,,,D,,F,R,,F,,C,C,,,,,,,,,,,,R,,,C,F,,,,,,,,,,,F,,,,,,,,,,,,B,,,,,317-U1351B-10H-CC,2a54f6ddbb34020dfd514a3b8efcbd61
