Exp,Hole,"Core, section, interval (cm)",Top Depth [m],Presevation,Bathymetry,Abyssamina poagi,Abyssamina quadrata,Alabammina sp.,Anomalinoides sp.,Astrononion sp.,Bigenerina sp.,Bolivina sp.,Bulimina midwayensis,Buliminella parvula,Buliminella sp.,Cibicidoides eocanus,Cibicidoides grimusdalei,Cibicidoides havannsis,Cibicidoides mundulus,Cibicidoides premundulus,Cibicidoides sp. A,Cibicidoides sp. B,Cibicidoides sp. C,Cibicidoides sp. indet.,Dentalina spp.,Gaudryina pyramidata,Globocassidulina subglobosa,Glomospira goldialis,Glomospira irregularis,Gyroidinoides soldanii,Gyroidinoides sp. A,Gyroidinoides sp. B,Gyroidinoides sp. indet.,Haplophragmoides walteri,Karreriella chapapotensis,Lenticulina spp.,Nodosalia spp.,Nonion affine,Nonion havanensis,Nuttallides truempyi,Nuttallides umbonifer,Oridorsalis umbonatus,Paratrochamminoides sp.,Pleurostomella sp.,Pyrulina spp.,Pullenia bulloides,Pullenia osloensis,Pullenia quinqueloba,Pullenia salisburyi,Pullenia subcarinata,Pullenia sp. A,Quadrimorphina profunda,Recurvoides spp.,Reticulophragmium amplectens,Reophax sp.,Siphonodosaria antillea,Siphonodosaria sp. indet.,Spheroidina bulloids,Spiroplectammina spectablis,Spirosigmoilinella compressa,Tube-shaped agglutinated form.,Unilocular species,Valvalammina sp.,Valvulina spinosa,Agglutinated Foram. gen. et sp. indet.,Calc. Hyaline Foram. gen. et sp. indet.,Unnamed: 67,Unnamed: 68,Section,Core,Type,Top [cm],Bottom [cm],Site,Bottom Depth [m],A/W,Sample,eodp_id
320,A,"1H-cc, 15-20 cm",5.17,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,1,H,15,20,U1331,,,320-U1331A-1H-cc,8a90c9d1d29db453be9fd3f6a5d7850a
320,A,"2H-cc, 23-28 cm",15.05,M,LB-A,,,,,,R,,,,,,F,F,A,,R,,,F,R,,A,,,,,,R,,R,,,,R,,A,A,,R,,R,,,,R,,,,,,,R,R,,,,,,,,F,,,cc,2,H,23,28,U1331,,,320-U1331A-2H-cc,ae77dca3def26a7377a0db8c6e31bbbe
320,A,"3H-cc, 24-29 cm",24.37,P,LB-A,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,3,H,24,29,U1331,,,320-U1331A-3H-cc,3561b00988c5c727b923d9ff77d7bea3
320,A,"4H-cc, 21-26 cm",34.17,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,4,H,21,26,U1331,,,320-U1331A-4H-cc,cce1a6246bb40b6c2ef30b9e18a69a60
320,A,"5H-cc, 22-27 cm",43.00,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,-,,,,,,P,,,,cc,5,H,22,27,U1331,,,320-U1331A-5H-cc,01c8e62cfae0fefd4143184e52938fa4
320,A,"6H-cc, 16-21 cm",52.63,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,6,H,16,21,U1331,,,320-U1331A-6H-cc,06b12c8fde5844f8ad88e591ade08983
320,A,"7H-cc, 13-18 cm",62.63,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,7,H,13,18,U1331,,,320-U1331A-7H-cc,cbef96c4b93b23ac4c2029b7ca61873a
320,A,"8H-cc, 19-24 cm",72.20,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,cc,8,H,19,24,U1331,,,320-U1331A-8H-cc,0a57c5ebb4da939b4f85d32513e9afa3
320,A,"9H-cc, 16-21 cm",81.64,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,-,,,,P,,,,,,,,P,,,,,,,,,,,,,,P,,,cc,9,H,16,21,U1331,,,320-U1331A-9H-cc,d8b0e75fac1708f1c5a280fbc6d8b805
320,A,"10H-7, 44-46 cm",90.15,M,LB-A,,,R,R,,,,,,,,F,,,,,,,R,,R,R,,,,F,R,R,,,R,R,,R,A,,A,,,,,R,F,,,,R,,,,R,,,,,,R,,,,F,,,7,10,H,44,46,U1331,,,320-U1331A-10H-7,6401ffe64b83326e0588189852a5ec5d
