Exp,Site,Hole,Core,Type,Section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Abundance,Brizalina earlandi,Bulimina aff. exilis,Cassidulina sp.,Cassidulinoides tenuis,Cibicidoides cf. subhaidingerii,Elphidium cf. batialis,Globobulimina pacifica,Gyroidinoides soldanii,Islandiella norcrossi,Melonis pompilioides,Nonionella labradorica,Nonionella turgida,Nonionella turgida digitata,Planulina wuellerstorfi,Pullenia bulloides,Pullenia sp.,Pyrgo sp.,Quinqueloculina sp.,Triloculina cf. trihedra,Uvigerina auberiana,Valvulineria sp.,Cibicidoides mundulus,Oolina globosa?,Comments,A/W,Sample,eodp_id
323,U1344,E,1,H,CC,16,26,5.24,5.34,VG,D,,,,D,,,A,,,,R,,F,,,,,,,A,D,,,MICA,,323-U1344E-1H-CC,b38755ff7db2f0d3b4c4e8e0b34a9d8f
323,U1344,E,2,H,CC,11,21,14.92,15.02,G,A,,,,,,R,R,P,,P,A,,P,,,P,,,R,R,,,,"MICA, PYRITE TUBES",,323-U1344E-2H-CC,6b1d027eec48735bcd58564c6a26da74
323,U1344,E,3,H,CC,14,24,24.75,24.85,M,A,,,,,,R,R,,,,A,,P,P,,,,,,,F,,,"MICA, PYRITE TUBES",,323-U1344E-3H-CC,7834e27d393c111c925801cf81a65997
323,U1344,E,4,H,CC,20,30,34.58,34.68,G,A,A,,,,,R,A,,,,A,,,,,,,,,F,,,,"MICA, PYRITE",,323-U1344E-4H-CC,6593770a178966f4163ab0860b611dff
323,U1344,E,5,H,CC,29,39,43.72,43.82,G,A,,,,,,F,,P,,,A,,,,,,,,,,,,,"MICA, PYRITE TUBES",,323-U1344E-5H-CC,7b6ebe03bebd4c0bafd2aa69899c0829
323,U1344,E,6,H,CC,30,40,53.28,53.38,M,D,D,F,,F,,R,D,,,,,,D,,,,,,,,,,,"FORAM OOZE, YELLOW FORAMS",,323-U1344E-6H-CC,e9348f9534f502380ce4b67ed6986e0f
323,U1344,E,7,H,CC,35,45,62,62.1,M,F,,P,,,,R,R,,,F,F,,,,,,,P,,P,,P,,"MICA, PYRITE TUBES, WOOD",,323-U1344E-7H-CC,1e01ef1bdf23837600471373e58130d2
323,U1344,E,8,H,CC,24,34,71.95,72.05,M,F,,,,,,F,R,,,,R,,R,,,,,,,,,,,"MICA, PYRITE TUBES, WOOD, MUTANT",,323-U1344E-8H-CC,2d288bcc0ca2846b661b7070fb23bf7b
323,U1344,E,9,H,CC,30,40,81.27,81.37,M,F,,,,,,R,R,R,,P,R,,,,R,,,,,,,,R,"MICA, PYRITE TUBES, WOOD",,323-U1344E-9H-CC,5070e4746eada3bb8dba003bf850859f
323,U1344,E,10,H,CC,39,49,90.75,90.85,G,D,A,,,D,,A,,,,,A,,,,,,,,,P,P,,P,"MICA, PYRITE TUBES, WOOD",,323-U1344E-10H-CC,a345ca7480908d91be4e68b9a78ccf0f
323,U1344,E,12,H,CC,34,44,102.95,103.05,G,F,P,F,,R,,,F,P,,,R,,,,,,,,,,R,,P,"MICA, PYRITE, GLASS SHARDS",,323-U1344E-12H-CC,c592cd73a1aa5139c6a07c0df8855251
323,U1344,E,13,H,CC,25,35,112.8,112.9,M,R,P,R,,,,,,,,,P,,,,,,,,,,P,,,"MICA, PYRITE, YELLOW FORAMS",,323-U1344E-13H-CC,618c23509ab22e55ca1f2930ad0b99d6
323,U1344,E,14,H,CC,24,34,122.36,122.46,M,R,,P,,,R,R,,,P,R,,,,,P,,,,,P,,,,"MICA, PYRITE",,323-U1344E-14H-CC,6f4640183176365857a27b1eee48e5b7
323,U1344,E,15,H,CC,20,30,127,127.1,M,A,F,A,P,P,,,,R,,,P,R,,,,,,R,,P,P,,,"MICA, PYRITE, YELLOW FORAMS",,323-U1344E-15H-CC,0440d03cbb90af8b41862f2516ad9f96
323,U1344,E,16,H,CC,26,36,136.41,136.51,M,R,,,,,,R,P,,,,,,,,,,,,,,,,,"MICA, PYRITE, YELLOW FORAMS",,323-U1344E-16H-CC,1c12250144002da51b825b5df1c53b64
323,U1344,E,17,H,CC,18,28,144.93,145.03,M,F,,F,,R,,P,P,,,,R,,,,,,,,,R,P,,,"MICA, PYRITE",,323-U1344E-17H-CC,1fa8127125f46cc9c26032ac1552ce6d
323,U1344,E,18,H,CC,35,45,155.39,155.49,M,A,,R,,R,,A,P,,,,R,,,,,,,,,F,R,,,"MICA, PYRITE",,323-U1344E-18H-CC,c50522199579449e20faa6ae3c692c69
323,U1344,E,19,H,CC,30,40,165.34,165.44,G,P,,,,,,,P,,,,,,,,,,,,,,,,,"MICA, PYRITE",,323-U1344E-19H-CC,e649aa082b7c7a39fef90b0425acfbd1
323,U1344,E,20,H,CC,33,43,174.18,174.28,M,A,,F,,,,A,P,R,,R,,,,,,,P,,,F,R,,,"MICA, PYRITE",,323-U1344E-20H-CC,3c2dc40579d61f28cbbc7a61530a0de3
323,U1344,E,21,H,CC,22,32,182.52,182.62,M,A,,P,,,,A,,,,,,,,,P,,,,,R,P,,,"MICA, PYRITE, FEW YELLOW FORAMS",,323-U1344E-21H-CC,ffc165e2ae393133592c514ddbb9a020
323,U1344,E,22,H,CC,16,26,193.75,193.85,M,R,,,,,,P,,,,,P,,,,,,,,,,R,,R,"MICA, PYRITE",,323-U1344E-22H-CC,00e550d89e1318d477088303257e290e
323,U1344,E,23,H,CC,28,38,202.69,202.79,M,F,,,,,,P,,,,F,R,,,,,,,R,,R,P,,,"MICA, PYRITE",,323-U1344E-23H-CC,fc87a0bd1e71e4173c2bdafb2d980519
