Exp,Site,Hole,Core,Section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Martini (1971) Zone,Abundance,Preservation,E. huxleyi,P. lacunosa,Gephyrocapsa (medium),Gephyrocapsa (large),Gephyrocapsa (small),C. pelagicus,C. braarudii,C. leptoporus,C. leptoporus (small),Comments,Type,A/W,Sample,eodp_id
323,U1339,D,1,CC,0,0,6.52,6.52,,C,M-G,F,,,,,D,,,,reworked individuals present,H,,323-U1339D-1H-CC,3778d654410943df7e4015c153626301
323,U1339,D,2,CC,0,0,16.04,16.04,,R,M,,,,,,R,,,,,H,,323-U1339D-2H-CC,3622023a1760b1ca43378a31160ac330
323,U1339,D,3,CC,0,0,25.59,25.59,NN21,B,,,,,,,,,,,,H,,323-U1339D-3H-CC,885b9f07d27ffac538ccedc397e240c6
323,U1339,D,4,CC,0,0,33.38,33.38,,C,M-G,R,,R,,C,C,,,,,H,,323-U1339D-4H-CC,b37beca41aabf89138d717678f0da6bf
323,U1339,D,5,CC,0,0,43.24,43.24,,B,,,,,,,,,,,reworked individuals present,H,,323-U1339D-5H-CC,d8d5e522224a603085f535fc1f532c1c
323,U1339,D,6,CC,0,0,52.97,52.97,,B,,,,,,,,,,,reworked individuals present,H,,323-U1339D-6H-CC,6e568b126a5d5e541f1a6aab0f55f719
323,U1339,D,7,CC,0,0,62.48,62.48,,B,,,,,,,,,,,reworked individuals present,H,,323-U1339D-7H-CC,e8509fe520900ed1c32774c5396518d6
323,U1339,D,8,CC,0,0,71.2,71.2,,B,,,,,,,,,,,,H,,323-U1339D-8H-CC,a733e0c1b87094c69bfe681fc9ef78b9
323,U1339,D,9,CC,0,0,80.35,80.35,,R,P,,,,,,,,R,,,H,,323-U1339D-9H-CC,c9780c17a31ffa5b43f19667141d5891
323,U1339,D,10,CC,0,0,90.53,90.53,,B,,,,,,,,,,,,H,,323-U1339D-10H-CC,cfa84ba4361e8265a8f8a75b831b7014
323,U1339,D,11,CC,0,0,100.38,100.38,,B,,,,,,,,,,,,H,,323-U1339D-11H-CC,e1d9984e1b6631650b3d18a8f9fdecff
323,U1339,D,12,CC,0,0,110.15,110.15,,R,M,,,,,R,,,,,,H,,323-U1339D-12H-CC,6752a36c4eb69f35fd7886b51c122486
323,U1339,D,13,CC,0,0,119.89,119.89,,C,M-G,,,F,,C,R,,,,,H,,323-U1339D-13H-CC,b75b41c9a48e0549d8c5ed10dc8964c0
323,U1339,D,14,CC,0,0,128.83,128.83,,F,M,,,,,F,R,,,,,H,,323-U1339D-14H-CC,e9f1054c2875c5c3215658615910fa2e
323,U1339,D,15,CC,0,0,137.14,137.14,,B,,,,,,,,,,,,H,,323-U1339D-15H-CC,23d91212bcb139b1e3978ecd811efa45
323,U1339,D,16,CC,0,0,147.16,147.16,,F,M,,,R,,R,F,,R,,overgrowth in C. pelagicus,H,,323-U1339D-16H-CC,4d895578a267327ff8f3051b4a23abae
323,U1339,D,17,CC,0,0,157.88,157.88,,B,,,,,,,,,,,,H,,323-U1339D-17H-CC,823237b415301b3e01256bae91020fe1
323,U1339,D,18,CC,0,0,167.18,167.18,,B,,,,,,,,,,,,H,,323-U1339D-18H-CC,99038cac6465cb953ff1ac2e5a73c9ab
323,U1339,D,19,CC,0,0,176.77,176.77,,B,,,,,,,,,,,,H,,323-U1339D-19H-CC,6f6a1bfb3ceaae80304bf90cd68cd02c
323,U1339,D,20,CC,0,0,185.99,185.99,,B,,,,,,,,,,,,H,,323-U1339D-20H-CC,be66a298584081a9737939806c94512c
323,U1339,D,21,CC,0,2,194.11,194.13,,B,,,,,,,,,,,,H,,323-U1339D-21H-CC,ff14a6de606a4a2ef387ab66978be9b1
323,U1339,D,22,CC,0,0,200.77,200.77,,B,,,,,,,,,,,,H,,323-U1339D-22H-CC,a37824e9ae8ea10a4882459d47db8ff6
