Exp,Hole,Core,Type,Section,Top Depth [m],Bottom Depth [m],Preservation,Dinoflagellate cysts,Organic lining of foraminifers,Brigantedinium cariacoense,Brigantedinium simplex,Brigantedinium spp.,Filisphaera filifera,I.mpagidinium pallidum,Impagidinium aculeatum,impagidinium japonicum,Islandinium imnutum,Impagidinium spp.,Operculodinium centrocarpum,O. centrocarpum var. short processes,Polykrikos - Arctic morphotype,Protoperidinium americanum,Quinquecuspis concreta,Selenopemphix nephroides,Spiniferites belerius,Unnamed: 26,Site,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,A,1,H,CC,3.8,3.9,M,A,C,R,A,D,,,,,A,,D,R,R,R,,,,,U1340,,,,323-U1340A-1H-CC-nan,097e538d6900314b2dd5ba5e8a02588b
323,A,3,H,CC,23.39,23.49,M,A,C,F,A,D,,,,,,,F,R,R,R,,,,,U1340,,,,323-U1340A-3H-CC-nan,a9d46485c0933a2573777b5ba9270f44
323,A,5,H,CC,42.35,42.45,M,A,C,F,A,D,,,,,R,,R,,,R,,R,,,U1340,,,,323-U1340A-5H-CC-nan,79626af934fd90c36b332b35e6492cc4
323,A,7,H,CC,61.41,61.51,G,A,C,F,A,D,,,,,R,R,F,,,,,,,,U1340,,,,323-U1340A-7H-CC-nan,3317b95b5133844d987400edf1c64e79
323,A,9,H,CC,80.35,80.45,M,C,A,,F,D,,,,,,,,,,R,R,,,,U1340,,,,323-U1340A-9H-CC-nan,6927068e8027b1dad186246e08f37cee
323,A,11,H,CC,99.42,99.52,M,C,C,,A,D,,,,,,,,,,,,,,,U1340,,,,323-U1340A-11H-CC-nan,1d172a5e9d61f94fcfe56af871715cea
323,A,13,H,CC,118.53,118.63,M,A,C,F,A,D,,,,,R,,,,,,,,,,U1340,,,,323-U1340A-13H-CC-nan,cde7f2532c9246341a151d5a48498c69
323,A,15,H,CC,137.12,137.22,P,C,C,,F,D,,,,,F,,F,R,,,,,,,U1340,,,,323-U1340A-15H-CC-nan,0ceddc5e4e2da67a10c4cb58710e141d
323,A,17,H,CC,156.48,156.58,M,A,F,,F,D,,,,,R,,,,,,,,,,U1340,,,,323-U1340A-17H-CC-nan,575d6d2bd29c27c77e33e1f5f5dd6997
323,A,19,H,CC,175.45,175.55,P,C,C,,F,D,,,,,,,,,,,,,,,U1340,,,,323-U1340A-19H-CC-nan,4dc1855971a761ccd1c6b72c70a7977c
323,A,21,H,CC,185.61,185.71,P,C,C,,,P,,,,,,,,,,,,,,,U1340,,,,323-U1340A-21H-CC-nan,cf102c2f6ab7b2828ab145b6d5a65de9
323,A,23,H,CC,196.34,196.44,P,C,C,,R,D,,,,,,,,,,,,,,,U1340,,,,323-U1340A-23H-CC-nan,d3ce1142fd95e5504775dc51b1676a9e
323,A,25,H,CC,215.6,215.7,G,C,C,R,A,D,F,,,,R,,,,,,,R,,,U1340,,,,323-U1340A-25H-CC-nan,a312307e006399c487c0585043711807
323,A,27,H,CC,234.62,234.72,M,C,C,,,P,P,,,,,,,,,,,,,,U1340,,,,323-U1340A-27H-CC-nan,161e0bf513621c24271de79139d31eef
323,A,29,H,CC,243.98,244.08,G,C,C,F,A,A,D,,,,,,,,,,,,,,U1340,,,,323-U1340A-29H-CC-nan,d9af9ea30ae68ca1a9938c1701377bc7
323,A,31,H,CC,272.57,272.67,M,C,C,,,P,P,,,,,,,,,,,,,,U1340,,,,323-U1340A-31H-CC-nan,b56f38059d6ee855b622c2a16d13a6ee
