Expedition,Hole,Core,Core type,Section,Half,Top [cm],Bottom [cm],Top depth [CSF m],Preservation,Group abundance,REMARKS,Braarudosphaera bigelowiI,Braarudosphaera sp.,Calcidiscus leptoporus,Calcidiscus leptoporus (10-11 µm),Calcidiscus tropicus,Calcidiscus tropicus (>10 µm),Catinaster mexicanus,Ceratolithus cristatus,Chiasmolithus altus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus pelagicus f. braarudii,Coccolithus streckeri,Crenalithus doronicoides,Cricolithus jonesii,Cyclicargolithus abisectus (10-11 μm),Cyclicargolithus abisectus (>11 μm),Cyclicargolithus floridanus,Dictyococcites antarcticus,Dictyococcites bisectus,Dictyococcites productellus (<3 μm),Dictyococcites productellus (3-5 μm),Dictyococcites scripsae,Dictyococcites stavensis (10-14 μm),Discoaster deflandrei,Discoaster sp.,Emiliania huxleyi,Emiliania pujosae,Gephyrocapsa aperta,Gephyrocapsa caribbeanica (3-4 μm),Gephyrocapsa caribbeanica (4-5.5 μm),Gephyrocapsa caribbeanica (5.5-6.5 μm),Gephyrocapsa crassipons,Gephryocapsa ericsonii,Gephyrocapsa oceanica (3-4 μm),Gephyrocapsa oceanica (4-5.5 μm),Gephyrocapsa oceanica (5.5--6.5 μm),Gephyrocapsa omega,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera inversa,Helicosphaera omanica,Helicosphaera cf. sellii,Helicosphaera sellii,Helicosphaera vedderi,Helicosphaera wallichii,Minylitha convalis,Pontosphaera discopora,Pontosphaera japonIca,Pontosphaera multipora,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Pseudoemiliania pacifica,Pseudoemiliania sp.,Pyrociclus sp.,Rhabdosphaera procera,Reticulofenestra ampla,Reticulofenestra daviesi,Reticulofenestra dictyoda,Reticulofenestra filewiczii,Reticulofenestra gelida (8-10 µm),Reticulofenestra gelida (>10 μm),Reticulofenestra haqii (<3 μm),Reticulofenestra haqii (3-5 μm),Reticulofenestra minuta (<3 μm),Reticulofenestra minutula,Reticulofenestra minutula (circular),Reticulofenestra pseudoumbilicus (8-10 μm),Reticulofenestra pseudoumbilicus (>10 μm),Reticulofenestra reticulata,Reticulofenestra umbilicus (10-14 µm),Reticulofenestra umbilicus (>14 µm),Scyphosphaera apsteinii.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus moriformis,Syracosphaera spp.,Thoracosphaera spp.,Umbilicosphaera cricota,Umbilicosphaera jafari,Umbilicosphaera sibogae,Umbilicosphaera sp.,
317,U1354A,10,H,CC,,,,52.41 ,G,A,NN20,,,R,,,,,,,,,F,F,,,,,,F,P,P,,,,P,,,,,A,F,,,A,,,,,,F,,P,,,,,,,,P,,,P,,,P,,R,P,R,,,P,,,A,,,P,,P,,P,,,,,,R,,,,,
317,U1354A,11,H,1,W,105,105,54.95 ,G,VA,NN20,,,,,,,P,,,,,R,F,,,,,,,,,,,,,,,,,A,C,,,D,,C,,,,,,P,,,,,,,,,,,,,,,,,P,F,,,,,,C,R,,,,,,,,,,,,F,,,,,
317,U1354A,11,H,2,W,77,78,56.07 ,G,A,NN20,,,R,,,,,,,,,,R,R,,R,,P,P,,,,,,,,,,,A,F,,,A,,C,,,,R,,,,,,,,,,,,,,,,,,,,,,P,,,,C,,,,,,,,,,,,,,,,,,
317,U1354A,11,H,3,W,25,26,56.59 ,M,C,NN20,,,,,,,,,,,,R,R,,P,,,,,,,,,,,,,,,F,,,,R,,F,,,,,,,,,,,,,,,,,P,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,
317,U1354A,11,H,3,W,39,40,56.73 ,M,R,NN20,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,
317,U1354A,11,H,3,W,42,43,56.76 ,M,VA,NN20,,,R,,,,,,,,,,F,,,R,,,,,,,,,,,,,,D,,,,A,,C,,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,F,,,,,
317,U1354A,11,H,5,W,35,36,59.69 ,M,A,CAVED SHELLS,P,,,,,,,,,,,F,F,,,R,,,,,R,,,,,,,,,D,,,,A,,A,,,,R,,R,,,,,,,,,,,,,,,,R,,,R,,,,,A,,,P,,,,,,,,,,,,,,,
317,U1354A,11,H,CC,,,,60.14 ,G,A,NN20,,,F,,,,,,,,,F,F,,,,P,,R,,P,,,,,,,,,C,C,,,A,C,F,,,,F,,R,,,,,,,,P,,,,,,,P,R,P,R,,P,,,,A,F,,,,P,,,,,,,F,,,,,,
317,U1354A,12,H,1,W,6,7,56.36 ,G,R,NN20,,,R,,,,,,,,,P,R,,R,,,,,,,,,,,,,,,P,,,,,,,,,,R,,,,,,,,,,,,,P,F,P,,,,,P,,,,,,F,,,,,,,,,,,,,,,,,,
317,U1354A,12,H,6,W,31,32,64.11 ,G,C,NN19,,,,,,,,,,,,F,R,,F,,,,P,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,R,R,F,,,,,,P,,,,,,C,,,,,,,,,,,,,F,,,,,
