Exp,Site,Hole,Core,Type,Section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone,Abundance,Preservation,E. huxleyi,P. lacunosa,Gephyrocapsa (medium),Gephyrocapsa (large),Gephyrocapsa (small),C. pelagicus,Dictyococcites spp. (small),Dictyococcites spp. (medium),R. minutula,R. minuta,C. leptoporus,C. leptoporus (small),Comments,A/W,Sample,eodp_id
323,U1344,B,1,H,CC,26,36,4.7,4.8,NN21,R,M-G,R,,,,,R,,,,,,,Large (>4 microns) E. huxleyi present.,,323-U1344B-1H-CC,4af07b25abff517f8a6090859b820dde
323,U1344,C,1,H,CC,15,25,7.02,7.12,NN21,F,M-G,R,,,,,F,,,,,,,,,323-U1344C-1H-CC,5038673fd1b087256b06f6e23f49d497
323,U1344,C,2,H,CC,8,18,14.14,14.24,,B,,,,,,,,,,,,,,,,323-U1344C-2H-CC,dc2b021db513c80926a236f804a20567
323,U1344,C,3,H,CC,0,15,26.25,26.4,,B,,,,,,,,,,,,,,,,323-U1344C-3H-CC,b3e982af2d54ad51b49b9dee254e448b
323,U1344,C,4,H,CC,35,45,35.45,35.55,,R,M,,,,,R,,,,,,,,,,323-U1344C-4H-CC,d84a4ecb1c8cbb20315e6a124e751e63
323,U1344,D,1,H,CC,0,10,2.63,2.73,,R,G,,,,,,R,,,,,,,,,323-U1344D-1H-CC,1cb2c018b74f05ef38a4191b3c20eb47
323,U1344,D,2,H,CC,7,17,12.15,12.25,,R,G,,,,,,R,,,,,,R,,,323-U1344D-2H-CC,bbb9c894644bcaadbd5ce85e5e3f0bba
323,U1344,D,3,H,CC,7,17,21.52,21.62,,B,,,,,,,,,,,,,,,,323-U1344D-3H-CC,97e8bf52ff3d219929fd99b78cfface7
323,U1344,D,4,H,CC,17,27,31.57,31.67,NN21,R,M,R,,,,,,,,,,,R,,,323-U1344D-4H-CC,ab2f1845067e6109712e5a17683a995e
323,U1344,D,5,H,CC,0,16,38.05,38.21,,R,M-G,,,,,,R,,,,,,,,,323-U1344D-5H-CC,9c574c170a5e62b778506d664aeeb198
323,U1344,D,6,H,CC,32,42,50.11,50.21,,R,M-G,,,,,,R,,,,,,,"Well-formed rhomboid minerals medium to high birrefringence, up to 6 microns long",,323-U1344D-6H-CC,4149006c78a3bf56cac2b584a8d206ec
323,U1344,D,7,H,CC,28,38,59.66,59.76,,R,G,,,,,,R,,,,,,,,,323-U1344D-7H-CC,cb9385b3d291a3e6740bcaf3af43b070
323,U1344,D,8,H,CC,27,37,66.41,66.51,,B,,,,,,,,,,,,,,,,323-U1344D-8H-CC,11096c229b1d1cdaabe8672851f100b1
323,U1344,D,9,H,CC,58,68,78.27,78.37,,B,,,,,,,,,,,,,,,,323-U1344D-9H-CC,9d2834d4cd32254058f86c5345034d33
323,U1344,D,10,H,CC,44,54,88.44,88.54,,B,,,,,,,,,,,,,,Reworked specimen (unidentifiable),,323-U1344D-10H-CC,c403ea505622edbaae4a8ec1fd61960f
323,U1344,D,11,H,CC,29,39,97.76,97.86,,B,,,,,,,,,,,,,,Reworked specimen (unidentifiable),,323-U1344D-11H-CC,a2ba6ad4451c057f4eb9eea0259e4c30
323,U1344,D,12,H,CC,26,36,107.27,107.37,,B,,,,,,,,,,,,,,,,323-U1344D-12H-CC,a8b2e4ca0144c43ab2f8a92cb367d0f0
323,U1344,D,13,H,CC,55,65,116.6,116.7,,B,,,,,,,,,,,,,,,,323-U1344D-13H-CC,88d83f8f0bf48ab81914036d499c26ec
323,U1344,D,14,H,CC,33,43,126.28,126.38,,B,,,,,,,,,,,,,,"Authigenic minerals, acicular and tubular shape, low birrefringence",,323-U1344D-14H-CC,e0317ed4c92b1f63427aef0b6f67263b
323,U1344,D,15,H,CC,104,114,135.67,135.77,,B,,,,,,,,,,,,,,,,323-U1344D-15H-CC,04e839d823a1aa4ab8a21fcae6c6d9f6
323,U1344,D,16,H,CC,10,20,145.3,145.4,,B,,,,,,,,,,,,,,,,323-U1344D-16H-CC,1c3cfa4f5856b7ca521d93b1da932a55
323,U1344,D,17,H,CC,35,45,155.02,155.12,,B,,,,,,,,,,,,,,,,323-U1344D-17H-CC,fb84c65a8bf4bdd667e545b568524c12
