Exp,Hole,Core,Type,Section,Top Depth [m],Preservation,Group Abundance,Anomalinoides parvumbilius,Anomalinoides sphericus,Astorononion spp.,Bolivina spp.,Bolivinita pliozea,Bulimina aculeata,Bulimina marginata,Cassidulina spp.,Cibicides molestus,Cibicides spp.,Cibicidoides neoperforatus,Cibicidoides perforatus,Cibicidoides wuellerstorfi,Cibicidoides spp.,Elphidium charlottense,Elphidium excavatum f.clavatum,Gavelinopsis spp.,Globocassidulina subglobosa,Haeuslerlella parri,Haynesina depressula,Loxostmum karrerianum,Nonionella flemingi,Nonionella spp.,Notorotalia aucklandica,Notorotalia clathrata (hornibrooki),Notorotalia depressa,Notorotalia finlayi,Notorotalia inornata,Notorotalia profunda,Notorotalia zealandica,Notorotalia spp.,Paracassidulina neocarinata,Patellinella inconspicua,Proxifrons advena,Pyrgo anomala,Pyrgo spp.,Quinqueloculina auberiana,Quinqueloculina incisa,Quinqueloculina spp.,Sigmoilopsis schlumbergeri,Sigmoilopsis aff.wanganuiensis,Siphotextularia wairoana,Sphaeroidina bulloides,Textularia miozea,Texturalia spp.,Trifarina anglosa,Trifarina spp.,Uvigerina rodleyi,Uvigerina spp.,Virgulopsis turris,Zeaflorilus parri,Others,Miscellaneous,,Site,Top [cm],Bottom [cm],Bottom Depth [m],A/W,Sample,eodp_id
317,A,1,H,CC,3.78,G,D,,,R,,,,,,,,,,,,C,,F,,,,,,,C,,,,,,C,,,,,,,A,F,F,,,,,,,,,,,,C,,,,U1354,,,,,317-U1354A-1H-CC,49fe57bb5d59805714527ab836594f50
317,A,2,H,CC,12.26,G,D,,C,,,,,,,,,,,,,R,,C,R,,,R,A,F,,,,,,C,D,,,R,,R,,,R,D,,F,,C,,R,R,,,,,,C,,,U1354,,,,,317-U1354A-2H-CC,4570a4b9361c0db0a8c8c50b66306262
317,A,3,H,CC,13.99,G,A,,R,,,,,,,,C,,,,,C,,A,,,,,R,,,,F,,F,,A,,,,,R,,,F,A,,,,,,,,,,,F,R,C,,,U1354,,,,,317-U1354A-3H-CC,a3af6f7ad647198446015a98f3fff2b1
317,A,4,H,CC,14.30,G,A,,F,,,,,,,,F,,,,,A,,F,,,F,,F,,F,F,,F,A,F,F,,,,,,,,R,A,,,,,,R,,F,,,,F,F,,,U1354,,,,,317-U1354A-4H-CC,98390edc14abe637c6f4098d8925b494
317,A,5,H,CC,14.69,G,A,,C,C,,,,,,,,,,,,C,,F,,,F,,D,F,F,,,,A,,,,,,,,,,R,C,,R,,F,,,,F,,,F,R,A,,,U1354,,,,,317-U1354A-5H-CC,91e13cb4308e931504d9ebe1036b44f7
317,A,6,H,CC,24.25,G,D,,,,,,,,F,,,,,,,A,,F,R,,R,,,,,,,,A,,,,,,,,,A,R,,,,,,,,,,,,,F,F,,,U1354,,,,,317-U1354A-6H-CC,47babe0ad6afd759cef12d3ad3debf2e
317,A,7,H,CC,31.33,G,D,,,F,F,,,,,F,F,,,,,A,C,C,,,C,,C,,F,,,,C,,A,C,,,,,,F,,,,,,,,,R,,,,,,,,,U1354,,,,,317-U1354A-7H-CC,e9b12da4bf24c389cdb756add5d4b772
317,A,8,H,CC,38.14,G,A,,F,F,,,,,,,C,,,,,,,A,F,,,,A,,D,,,,F,,,,,,,,F,A,,,,,,,,,C,,,,,,,,,U1354,,,,,317-U1354A-8H-CC,ccfeaea30a659dc2004673f9e707c83c
317,A,9,H,CC,46.88,G,C,,A,A,,,,,,,F,,,,,,,F,F,,,,A,,A,,,,C,,C,F,,,,F,,A,,C,,,,,F,F,,,,,,,C,,,U1354,,,,,317-U1354A-9H-CC,77680e9a8c33df724a2f2e1dbe5d2d80
317,A,10,H,CC,53.76,G,A,,C,F,,,,A,,,C,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,F,,,,F,F,F,,F,,F,,,,,C,,,U1354,,,,,317-U1354A-10H-CC,7a0d43f7bb1bb146965b69f553eb8314
317,A,11,H,CC,60.14,G,A,,C,,,,,A,F,,,,,,,,,,F,,,,A,,A,,,,F,F,F,,,,,,,,,F,F,,F,F,,,,,,,,,,,,U1354,,,,,317-U1354A-11H-CC,4115b8470749a4e6210d738d45fd89e3
317,A,12,H,CC,64.90,G,A,,A,,,,,,,,F,,,,,C,,,F,,,,C,,,,,,A,,,,F,,,,,A,,A,,,,,,,,,,,,,,,,U1354,,,,,317-U1354A-12H-CC,7d0e9398143d1b5f442d75ed49230744
317,A,13,H,CC,73.44,G,D,,A,C,F,F,,,,,,,,,,F,,,,,,,A,,A,,,,F,,A,,,,,F,,C,F,F,F,F,A,,,,,,F,,,,F,,,U1354,,,,,317-U1354A-13H-CC,91f2a24bda585e1bea0b70bfd9ff3066
317,A,14,H,CC,75.41,G,D,,C,A,,F,,,,,,,,,,A,,,,,F,,A,,A,,,,C,,C,,,,,,,F,,F,F,,,,,,,,,,,,C,,,U1354,,,,,317-U1354A-14H-CC,50349a25e8284b20b4332895f64182ca
317,A,15,H,CC,76.20,P,D,,,D,F,F,,R,,,F,,,,,,,R,,,,,C,,,,,,,,A,,,,,,,F,,,F,,,,,,,,R,,,,,,,U1354,,,,,317-U1354A-15H-CC,1a869fe1a6f89059f28d4768f37d5a19
317,A,17,H,CC,80.16,G,D,,,C,C,,,,,,F,,,R,,A,,C,,,,,C,,,,,F,A,F,F,C,,,,,,,F,C,R,,,,,R,,,,,,,F,,,U1354,,,,,317-U1354A-17H-CC,bc8fa3eb107f1a3040400133807149c7
317,A,18,H,CC,80.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1354,,,,,317-U1354A-18H-CC,25a0484435788c99f54c71b129804c51
317,A,19,H,CC,85.38,G,D,,,C,,,,,,,R,,,,,C,,F,,,,,F,,F,F,,,A,F,C,,,,,,,F,,,,,F,,,,,,,,,,F,,,U1354,,,,,317-U1354A-19H-CC,25c572387691760292de3f7188cf1718
317,B,1,H,CC,4.06,G,D,,F,,,,,F,,,F,,,,,D,,,,,C,,,,,,,,A,,A,,,,,,,,R,A,,,,,,F,,R,,,,A,C,,,U1354,,,,,317-U1354B-1H-CC,1fa0faef684b81e942d5472f8bcaf675
317,B,2,H,CC,11.68,G,A,,F,,,,,,,,F,,,,,A,,A,,,,,R,,F,,,,A,,C,,,,,R,,,F,C,,R,,,,R,,R,,,,R,R,,,U1354,,,,,317-U1354B-2H-CC,f8a1f419203b3222722dc0d2dd22fa90
317,B,3,H,CC,12.08,M,C,,F,R,,,,,,,,,,,,F,,C,,,,,,,C,C,F,,A,,C,,,,,,,F,F,A,,,,,,,,,,,,,R,,,U1354,,,,,317-U1354B-3H-CC,87d4585043932cbbbe40dacd19a041a8
317,B,4,H,CC,17.64,G,D,,A,,,,,,,,F,,,,,R,,,,,,,A,,,,,,C,C,D,,,,,,F,A,,,,R,,F,,R,,,,,,,C,,,U1354,,,,,317-U1354B-4H-CC,5b2693d30e936cdaaa378135423f5967
317,B,5,H,CC,20.31,G,D,,C,,R,,,,,,R,,,,,R,,,,,F,,A,,F,,,,F,F,C,,,,,R,,,,D,,F,,,,,,,,,,F,C,,,U1354,,,,,317-U1354B-5H-CC,75a70d4c0633b3f9e8b36c651860aa97
317,B,6,H,CC,20.88,P,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,D,,,,,,,,,,,,,,,,U1354,,,,,317-U1354B-6H-CC,3db6781d8a4c06c78fed91f8efc4c760
317,B,7,H,CC,26.50,M,A,,,,,,,,,,F,,,,,A,,,F,,,,,,,,,,A,,,,C,,,,,C,,C,,,,,,,F,,,,,,D,,,U1354,,,,,317-U1354B-7H-CC,ca8907086e862d751c1b523d21bb58c2
317,B,8,H,CC,33.45,G,D,,C,C,,,,,,,,,,,,F,,,,,,,D,F,A,,,,C,,,,,,,F,,A,,,,,,F,,,F,,,,,,C,,,U1354,,,,,317-U1354B-8H-CC,1a57426a8403a3a0adbd256fb08421e1
317,B,9,H,CC,41.46,G,A,,A,A,,,,,,,F,,,,,,,F,,,,,D,,A,,,F,F,,,,,,,F,,C,,F,,,,,,F,,,,,,,F,,,U1354,,,,,317-U1354B-9H-CC,9ab4ede8591d2765f2550ebaad21b31e
317,B,10,H,CC,50.29,G,A,,C,,,,,A,,,,,,,,,,,,,,,C,,C,,,,F,,A,,,,,,,C,,F,F,,F,,,,F,,,,,,,,,U1354,,,,,317-U1354B-10H-CC,d944b708853f5aa1528259cc55c2ceb8
317,B,11,H,CC,57.73,G,C,,,,,C,,,,,F,,,,,,,,,,,,,,,,,,A,,,,,,,,,A,,A,,,,,,,,,,,,,,,,U1354,,,,,317-U1354B-11H-CC,27af989093c1628459d51c0be1d81106
317,B,12,H,CC,62.44,G,A,,,,,C,,,,,,,,,,,,,,,,,D,,,,,,A,,,,,,,,,F,F,,,,A,,,,,,,,,,,,,U1354,,,,,317-U1354B-12H-CC,652f6605e429e078cba6e53c1cf1967f
317,B,13,H,CC,70.40,G,A,,A,C,F,C,,,,,,,,,,F,,,,,,,A,,A,,,,F,,C,,,,,,,C,,,F,,A,,,,,,F,,,,F,,,U1354,,,,,317-U1354B-13H-CC,95360ccb4515cf487165f8d6f0afdce6
317,B,14,H,CC,73.56,P,D,,,,F,C,,,,,,,,,,,,,,,,,C,,,,,,,,A,A,,,,,,,,F,,,,,,,,,,,,,,,,U1354,,,,,317-U1354B-14H-CC,4847fd88d262025970d47865a84a9fe9
317,B,15,H,CC,77.25,G,D,,A,C,F,,,,,,C,,,,,F,,,,,,,,F,A,,,,C,,,,,,,,,C,,,,,C,,,,,,F,,,,,,,U1354,,,,,317-U1354B-15H-CC,1d24fbd37fe55d0daf6b5cbf7f4ef6e0
317,C,2,H,CC,72.57,G,D,,C,C,,C,,,,,F,,,,,C,,,,,,,A,,C,,,A,A,,,,,,,,F,F,,,R,,C,,,,,,R,,,,,,,U1354,,,,,317-U1354C-2H-CC,861a41a4b5c193dc0b1c735dbeed4ea9
317,C,3,H,CC,78.13,G,D,R,C,C,,F,,,,,,,,,,,,,,,,,A,,A,,,F,F,,,,R,,,F,,,,,,,F,F,,F,,,R,,,,F,,,U1354,,,,,317-U1354C-3H-CC,3f8a071f348d2506a1d2a4cf2929863c
317,C,4,H,CC,84.37,P,D,,,F,,,,,,,,,,,,C,,F,,,,,,R,D,,,C,F,,,,,,,,,F,,F,,,,,,R,,,,,,,,,,U1354,,,,,317-U1354C-4H-CC,2d5f6963852958e0d7fd03eea552bd2b
317,C,5,H,CC,86.84,G,D,,C,C,,A,,,,,,,,,,,,,,,,,A,,C,,,,,,,,,,,,C,A,,,,,,C,,,,,R,,,,F,,,U1354,,,,,317-U1354C-5H-CC,75ebef0e27d8638c3be33aecd3148dd0
317,C,6,H,CC,97.76,P,D,,C,,,C,,,,,,,,,,,,,,,,,C,,A,,,,A,,R,,,,,,,C,,,,,,F,,,,,,,,,F,,,U1354,,,,,317-U1354C-6H-CC,732948c9ba4b7f6a5185059ce7b23931
317,C,7,H,CC,105.86,G,D,,A,C,,C,,,,,F,,,,,,,,,,,,F,,A,,,,,,,,,,R,,F,,,F,,,,F,,,,,,,,,F,,,U1354,,,,,317-U1354C-7H-CC,bb78980eec31e229114533099dddd5ab
317,C,8,H,CC,111.56,M,D,,,C,,,,,,,,,,,,,,,C,,,,C,,,,C,A,R,,D,,C,,,,,,,R,,,,,,,,,,,,,,,,U1354,,,,,317-U1354C-8H-CC,72e33c2e0f52937de3c96965c85b2f18
317,C,9,H,CC,122.20,G,D,,,,F,,,,F,,,,,,,C,,,,,,,A,,A,,,A,A,,,A,,,,,,F,F,,,,,,,,,,F,,,,,,,U1354,,,,,317-U1354C-9H-CC,f8577f0b710d6e6b725ff62a8885c640
317,C,10,H,CC,133.37,P,D,,,,F,,,,,,,,,,,,,,,,,,D,,,,,,,,,F,,,,,,F,,,,,,,,,,,,,,,,,,U1354,,,,,317-U1354C-10H-CC,39699ee6917c96739018bf35af01af39
317,C,11,H,CC,144.95,P,D,,F,,C,,,,,,,,,,,R,,,,,,,A,,C,,,,D,,,,,,,F,F,F,,F,R,,,F,,,,,R,,,,R,,,U1354,,,,,317-U1354C-11H-CC,158d0621af0bead8c5d8859f5d9b66b1
317,C,12,H,CC,152.98,G,D,,,C,C,,,,,,,,,,,,,,,F,,,,,A,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,U1354,,,,,317-U1354C-12H-CC,041efb1b0509a4e0821468cc65a2de7f
317,C,13,H,CC,163.04,P,D,,,F,,,,,,,F,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,C,,U1354,,,,,317-U1354C-13H-CC,99d141f818694da97377dfb71a3ce169
317,C,14,H,CC,166.16,M,D,,,C,,,,,,,,,,,,F,,,,,,,D,,C,,,,A,,,,,,,,,A,,,,,,R,,,,,,,,,F,,,U1354,,,,,317-U1354C-14H-CC,a5bf9918373d64e8a4c60fbdfef56a59
317,C,15,H,CC,181.01,P,D,,F,,F,,,,,,F,,,,,,,,,,,,,,F,,,,D,F,,,,,,,,,,,,,,,,,,,,,,,F,,,U1354,,,,,317-U1354C-15H-CC,0c1ff32e9bd8deab7df323ea83a781a7
317,C,16,H,CC,183.20,P,D,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,U1354,,,,,317-U1354C-16H-CC,37549de5ad5965f1711f25b3a3790369
317,C,17,H,CC,192.75,M,D,,,F,F,,,,,,R,,,,,C,,,,,,,D,,C,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,U1354,,,,,317-U1354C-17H-CC,5f0584a1ca9951af291d4c19932f2124
317,C,18,H,CC,207.65,G,D,,,A,,R,,,,,,,,,,R,,,,,,,D,,,,,,C,,,,C,,,,,F,,C,,,,,,,,,,,,,,,,U1354,,,,,317-U1354C-18H-CC,3579d24802e4dadef2f96a5b9dbc2cb4
317,C,19,H,CC,217.90,M,D,,F,,,,,,,,,,,,,,,,F,,,,,,,,,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,U1354,,,,,317-U1354C-19H-CC,faec57f604f339dd0e8eafd418ab49c9
317,C,20,H,CC,221.82,M,D,,,,,,F,,,,C,,,,F,,,,,,,,D,,,,,,A,,,,,,,,,,,,,,,,,R,,,,,,,,,,U1354,,,,,317-U1354C-20H-CC,f689401e71ede51d4e5eb54a3d9801a3
317,C,21,H,CC,240.77,G,D,,,F,,,,,,,,,,,,C,,,R,F,,,A,,F,,,,A,,,A,,,,,,,,,,,,C,,F,,,,,,,F,,,U1354,,,,,317-U1354C-21H-CC,5e07c482362f6acf6762ba535d0c316b
317,C,22,H,CC,247.41,G,D,,C,,,,,,,,,,,,,F,,,,,,,A,,F,,,,A,,,A,F,,,R,,,,R,,,,,,,,,R,,,,R,,,U1354,,,,,317-U1354C-22H-CC,3d685ee771c96c42b846bc56a5bb4cc0
317,C,23,H,CC,250.81,G,D,,F,C,,,,,,,,,,,,F,,,,,,,D,,C,,,,A,F,C,A,,,,,,,,,,,,F,,,,,,R,,,,,,U1354,,,,,317-U1354C-23H-CC,b835166677e15014d4eeb0d32ad3039b
317,C,25,H,CC,269.49,G,D,F,A,C,,,F,,,,,,,,F,F,,,,R,,,,,C,,,,C,,,A,,,,,,,,,,,,,,,,,F,,,,,,,U1354,,,,,317-U1354C-25H-CC,27a02d96cb67e716069ee114e58d4734
317,C,26,H,CC,280.73,M,D,C,,C,,,,,,F,F,F,,,,F,,,,F,,,A,,A,,,,,,,A,,,,,,,,,,,,,,,,,F,,,,F,,,U1354,,,,,317-U1354C-26H-CC,9c6fab3c7fa30d8990b408d4a5ab9db4
317,C,27,H,CC,293.32,M,D,,,A,F,,,,,,,,,,,,,,,,,,D,,D,,,,,,,,,,,,,,,,,,,C,,,,,,,,,F,,,U1354,,,,,317-U1354C-27H-CC,9d13c88f32def5d3ed7e0394a90402e8
317,C,28,H,CC,299.64,M,D,,F,C,,,,,,,,,F,,,C,,,,,,,,,A,,,,C,,,A,,,,,,,,,,,,C,,,,,C,,,,,,,U1354,,,,,317-U1354C-28H-CC,b77950efb24b2b43f9dfd02e54c5a53c
317,C,29,H,CC,308.34,G,D,,C,A,,,,,,,,,,,,,,,,,,,C,,D,,,,A,,,A,,,,,,,,,,,,F,,,,,F,,,,F,,,U1354,,,,,317-U1354C-29H-CC,06332a1185b5eb713af40de4788847e5
317,C,30,H,CC,318.65,M,D,,F,C,,,F,,,,,,,,,,,,,,,,A,,D,,,,,,,F,,,,,,,,,,,,,,,,,F,,,,,,,U1354,,,,,317-U1354C-30H-CC,4a22764ebe5c6f91f159be9eff3bbec3
317,C,31,H,CC,326.78,M,D,,C,C,,,,,,F,,,,,,,,,,,,,A,,D,,,,,,,D,,,,,,,,,,,,F,,,,,,,,,F,,,U1354,,,,,317-U1354C-31H-CC,66883919bec6f526456174235ebb1912
