Exp,Site,Hole,Core,Type,Section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Abundance,Preservation,E. huxleyi,P. lacunosa,Gephyrocapsa (medium),Gephyrocapsa (large),Gephyrocapsa (small),C. pelagicus,Dictyococcites spp. (small),Dictyococcites spp. (medium),R. minutula,R. minuta,C. leptoporus,C. leptoporus (small),Comments,A/W,Sample,eodp_id
323,U1344,A,1,H,CC,4,14,9.04,9.14,F,G,R,,,,,F,,,,,,,"Large (>4 microns) E. huxleyi present. Reworked specimens (Crucioplacolithus sp., Sphenolithus sp.)",,323-U1344A-1H-CC,fc245685addcbc5c8cdebcd7bfde8567
323,U1344,A,2,H,CC,10,20,18.65,18.75,B,,,,,,,,,,,,,,,,323-U1344A-2H-CC,12f61d4e99536948548bfb85e035d928
323,U1344,A,3,H,CC,13,23,28.62,28.72,B,,,,,,,,,,,,,,,,323-U1344A-3H-CC,ea842d5fd304074c7a7b5e07f555b88a
323,U1344,A,4,H,CC,28,38,38.12,38.22,B,,,,,,,,,,,,,,,,323-U1344A-4H-CC,efa6feceae725cc81585376b7bf9bf77
323,U1344,A,5,H,CC,44,54,47.51,47.61,A,G,,,,,,A,,,,,,R,Almost all C. pelagicus. Also coccospheres.,,323-U1344A-5H-CC,4705ddd4815218ceb4418af877f9b564
323,U1344,A,6,H,CC,28,38,57.19,57.29,R,M-G,,,,,,R,,,,,,,,,323-U1344A-6H-CC,4e76124cfc14b21af31af623950bf362
323,U1344,A,7,H,CC,56,66,66.58,66.68,B,,,,,,,,,,,,,,,,323-U1344A-7H-CC,25e0384a2c9ae49d0e68f7ca6f22fbf5
323,U1344,A,8,H,CC,50,60,75.22,75.32,B,,,,,,,,,,,,,,,,323-U1344A-8H-CC,10eaae72d93b9d6be744645d82df1764
323,U1344,A,9,H,CC,59,69,85.11,85.21,B,,,,,,,,,,,,,,,,323-U1344A-9H-CC,37d00b79c29cbb13b35f9a34b611987c
323,U1344,A,10,H,CC,41,51,95.09,95.19,B,,,,,,,,,,,,,,,,323-U1344A-10H-CC,4d3b3cdd85ced267f69e583b03b51f4d
323,U1344,A,11,H,CC,38,48,104.36,104.46,B,,,,,,,,,,,,,,,,323-U1344A-11H-CC,0a02e9969bd61028b86f4469249ef4b5
323,U1344,A,12,H,CC,23,33,113.86,113.96,B,,,,,,,,,,,,,,,,323-U1344A-12H-CC,fbf09136bdec1959f900144f8706b9d8
323,U1344,A,13,H,CC,37,47,123.39,123.49,R,M-G,,,,,R,R,,,,,,,Reworked specimen (Sphenolithus spp.),,323-U1344A-13H-CC,3c368c82f5fc08d7ef60c2df52834d37
323,U1344,A,14,H,CC,32,42,132.79,132.89,R,M-G,,,,,R,,,,,,,,,,323-U1344A-14H-CC,f7e34bd9c7ea1e0b0db4ca78a8c76480
323,U1344,A,15,H,CC,10,20,142.35,142.45,B,,,,,,,,,,,,,,,,323-U1344A-15H-CC,3b9e59b45e509670d337515c29b0a82e
323,U1344,A,16,H,CC,27,37,152.13,152.23,B,,,,,,,,,,,,,,,,323-U1344A-16H-CC,a3f813b61390620eeec37be351e6bbab
323,U1344,A,17,H,CC,16,26,161.17,161.27,B,,,,,,,,,,,,,,,,323-U1344A-17H-CC,6cdbee451db730d7ffc9a76d89fef8f0
323,U1344,A,18,H,CC,26,36,171.24,171.34,B,,,,,,,,,,,,,,,,323-U1344A-18H-CC,19822a2b649eff4a7b7cc07d45754bd0
323,U1344,A,19,H,CC,42,52,180.07,180.17,R,G,,,R,,R,,,,,,,,Gephyrocapsids are G. caribbeanica type,,323-U1344A-19H-CC,827c19b4f3020886bd4ffb59653c5a54
323,U1344,A,20,H,CC,21,31,190.3,190.4,B,,,,,,,,,,,,,,,,323-U1344A-20H-CC,e4ebe15da8a95feacae629e820abbfcd
323,U1344,A,21,H,CC,21,31,199.18,199.28,R,P,,,,,R,,,,,,,,"small authigenic minerals, tubular shape",,323-U1344A-21H-CC,f9ccb8aa9be5ada747ecb3b2d41ac450
323,U1344,A,22,H,CC,28,38,208.73,208.83,R,M-G,,,,,R,R,,,,,,,,,323-U1344A-22H-CC,a0155fb90073863b2d726e9faebfbcb0
323,U1344,A,23,H,CC,35,45,218.01,218.11,B,,,,,,,,,,,,,,,,323-U1344A-23H-CC,2ccdfa6fd377839f6dacef444528a867
323,U1344,A,24,H,CC,33,43,226.57,226.67,R,M,,,,,R,,,,,,,,,,323-U1344A-24H-CC,102486e6a5525b69ecbf24f85c1428b3
323,U1344,A,25,H,CC,39,49,236,236.1,R,P,,,,,R,,,,,,,,,,323-U1344A-25H-CC,2eb011c5602080e080ddeba24802e6df
323,U1344,A,26,H,CC,39,49,245.39,245.49,B,,,,,,,,,,,,,,,,323-U1344A-26H-CC,4e69b0d97d11a78e686c35aeac5ac26b
323,U1344,A,27,H,CC,52,62,255.73,255.83,R,M,,,,,R,R,,,,,,,,,323-U1344A-27H-CC,8edc2fbab6289e6ec2b39bb8b17c5e09
323,U1344,A,28,X,CC,22,32,263.73,263.83,R,M,,,R,,R,,,,,,,,,,323-U1344A-28X-CC,485bd071700fc10319a851be0b31c081
323,U1344,A,29,X,CC,22,32,270.25,270.35,R,P,,,,,R,,,,,,,,,,323-U1344A-29X-CC,e2c54561ab1b6d6ba643c1163f589a84
323,U1344,A,30,X,CC,20,30,280.21,280.31,B,,,,,,,,,,,,,,,,323-U1344A-30X-CC,2945695651e833f86e8a5c0df6d342ed
323,U1344,A,31,X,CC,24,34,288.48,288.58,B,,,,,,,,,,,,,,,,323-U1344A-31X-CC,a45d878b7fd57fdf369c12cd91658abd
323,U1344,A,32,X,CC,72,82,299.07,299.17,B,,,,,,,,,,,,,,Small quantity of acicular minerals,,323-U1344A-32X-CC,740c101ff889dacc8ab688364d807ffc
323,U1344,A,33,X,CC,27,37,309.13,309.23,B,,,,,,,,,,,,,,,,323-U1344A-33X-CC,5a673a927fb4bc32b078feda55b6f342
323,U1344,A,34,X,CC,22,32,318.31,318.41,B,,,,,,,,,,,,,,,,323-U1344A-34X-CC,d62a5f10279fd2d738b831646cf62ff6
323,U1344,A,35,X,CC,17,27,323.47,323.57,B,,,,,,,,,,,,,,,,323-U1344A-35X-CC,f329473feef875edd6f6397fe4159b10
323,U1344,A,36,X,CC,20,30,338.79,338.89,R,M,,,,,R,,R,,,,,,,,323-U1344A-36X-CC,2f567f3f85aa71e1bb539791a51f9b16
323,U1344,A,37,X,CC,25,35,346.28,346.38,B,,,,,,,,,,,,,,,,323-U1344A-37X-CC,861f584f18340cf87cd6e7e7aedc0a39
323,U1344,A,38,X,CC,51,61,356.98,357.08,R,M,,,,,R,,R,,,,,,,,323-U1344A-38X-CC,82207b1cfe74aa1caac3597aca2c3461
323,U1344,A,39,X,CC,24,34,364.13,364.23,B,,,,,,,,,,,,,,,,323-U1344A-39X-CC,dc89abaa83addc5351621fd65799bf29
323,U1344,A,40,X,CC,13,23,373.09,373.19,B,,,,,,,,,,,,,,,,323-U1344A-40X-CC,9c70bf4579223c76f2b5623276a664af
323,U1344,A,41,X,CC,37,47,387.87,387.97,B,,,,,,,,,,,,,,,,323-U1344A-41X-CC,0b43059540ee29d413b8f9f1750200d5
323,U1344,A,42,X,CC,22,32,397.41,397.51,B,,,,,,,,,,,,,,,,323-U1344A-42X-CC,5ef9ad08b232e9586d619fac01939960
323,U1344,A,43,X,CC,26,36,403.46,403.56,B,,,,,,,,,,,,,,,,323-U1344A-43X-CC,a49fc2109da20dcd0608c50c473be36e
323,U1344,A,44,X,CC,40,50,414.88,414.98,B,,,,,,,,,,,,,,,,323-U1344A-44X-CC,ed875136245f46a39f926fe0a70424df
323,U1344,A,45,X,CC,50,60,425.83,425.93,B,,,,,,,,,,,,,,,,323-U1344A-45X-CC,baaed4ebae140e25d7773a7234240953
323,U1344,A,46,X,CC,60,70,434,434.1,R,P,,,R,,,,,,,,,,,,323-U1344A-46X-CC,3f0c326e88448bc9b69685ed35b05f71
323,U1344,A,47,X,CC,26,36,442.92,443.02,B,,,,,,,,,,,,,,,,323-U1344A-47X-CC,2f87861686cc903f82443ee710038cb9
323,U1344,A,48,X,CC,0,10,451.59,451.69,B,,,,,,,,,,,,,,"Reworked liths, highly calcified, unidentifiable",,323-U1344A-48X-CC,8b7914be50a640c8fa940c62bfc9e470
323,U1344,A,49,X,CC,65,75,461.75,461.85,B,,,,,,,,,,,,,,"Authigenic minerals rhomboid shape, high birrefringence",,323-U1344A-49X-CC,7bb57f2b1491ccd903872356d6a4d551
323,U1344,A,50,X,CC,11,21,473.39,473.49,B,,,,,,,,,,,,,,,,323-U1344A-50X-CC,5232a71aa8cc0114cabda3e0219dff5c
