Exp,Hole,Core,Type,Section,Top Depth CFS (m),Abundance,Preservation,Marine,Coscinodiscus marginatus,Grammatophora sp.,Hyalodiscus sp.,Thalassiosira oestrupii,Thalassiosira spp.,,Coastal upwelling,Resting spores of Chaetoceros,,Coastal,Paralia sulcata,Thalassionema nitzschioides,,Fresh or brackish water,Gen. et sp. indet,Comments,
317,U1353B,72,X,CC,355.94,B,,,,,,,,,,,,,,,,,,,
317,U1353B,73,X,CC,365.69,B,,,,,,,,,,,,,,,,,,,
317,U1353B,74,X,CC,374.99,B,,,,,,,,,,,,,,,,,,,
317,U1353B,75,X,CC,385.12,B,,,,,,,,,,,,,,,,,,,
317,U1353B,76,X,CC,394.23,B,,,,,,,,,,,,,,,,,,,
317,U1353B,78,X,CC,413.77,B,,,,,,,,,,,,,,,,,,,
317,U1353B,79,X,CC,423.24,B,,,,,,,,,,,,,,,,,,,
317,U1353B,80,X,CC,432.63,B,,,,,,,,,,,,,,,,,,,
317,U1353B,81,X,CC,442.22,B,,,,,,,,,,,,,,,,,,,
317,U1353B,83,X,CC,461.26,B,,,,,,,,,,,,,,,,,,,
317,U1353B,85,X,CC,480.64,B,,,,,,,,,,,,,,,,,,,
317,U1353B,86,X,CC,490.21,B,,,,,,,,,,,,,,,,,,,
317,U1353B,87,X,CC,500.16,B,,,,,,,,,,,,,,,,,,,
317,U1353B,88,X,CC,510.52,B,,,,,,,,,,,,,,,,,,,
317,U1353B,89,X,CC,518.66,B,,,,,,,,,,,,,,,,,,,
317,U1353B,90,X,CC,528.87,B,,,,,,,,,,,,,,,,,,,
317,U1353B,91,X,CC,537.83,B,,,,,,,,,,,,,,,,,,,
317,U1353B,92,X,CC,547.28,B,,,,,,,,,,,,,,,,,,,
317,U1353B,93,X,CC,557.25,B,,,,,,,,,,,,,,,,,,,
317,U1353B,94,X,CC,566.41,B,,,,,,,,,,,,,,,,,,,
317,U1353B,96,X,CC,585.91,B,,,,,,,,,,,,,,,,,,,
317,U1353B,97,X,CC,595.20,B,,,,,,,,,,,,,,,,,,,
317,U1353B,98,X,CC,604.60,B,,,,,,,,,,,,,,,,,,,
