Exp,Site,Hole,Core,Type,Section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Abundance,Alabaminella weddellensis,Bolivina sp.,Brizalina cf. spathula,Brizalina earlandi,Bulimina aff. exilis,Bulimina aff. mexicana,Cancris cf. phillipinensis,Cassidulina laevigata var. carinata,Cassidulina sp.,Cassidulinoides tenuis,Dentalina sp.,Eggerella sp.,Elphidium cf. batialis,Epistominella pulchella,Globobulimina pacifica,Islandiella norcrossi,Nodosaria aff. pyrula,Nonionella labradorica,Nonionella turgida,Nonionella turgida digitata,Planulina wuellerstorfi,Procerolagena cf. gracillima,Pullenia sp.,Pygmaeseistron cf. hispida,Pyrgo sp.,Rhabdammina sp.,Triloculina cf. trihedra,Uvigerina cf. peregrina,Valvulineria sp.,Velereninoides jeffreysii,Comments,A/W,Sample,eodp_id
323,U1345,D,1,H,1,0,0,0,0,G,D,,A,F,,D,,,,,,,R,R,,R,R,,,,,,,,,,P,,F,,P,MICA,,323-U1345D-1H-1,4450c45cd5b2a301dfd53271246ed956
323,U1345,D,1,H,CC,19,29,9.66,9.76,G,D,,,,F,,,P,,,F,,,D,,A,F,,F,,R,R,,R,P,,,R,A,R,,MICA,,323-U1345D-1H-CC,23665f2f0c1166af593cb6a36ef5ba5d
323,U1345,D,2,H,CC,10,20,19.13,19.23,G,F,,,,R,P,,,,,,,,,F,F,R,,,,R,,,R,,,,,F,,,"MICA, PYRITE",,323-U1345D-2H-CC,2aa84c458298b91f5965f989ec6286b0
323,U1345,D,3,H,CC,24,34,29.09,29.19,G,A,,,,R,A,R,,,,,,,R,,,R,,P,,R,,,,,,,,R,,,"MICA, PYRITE",,323-U1345D-3H-CC,929b737e1f6dc3d1c8dc06af33c0608b
323,U1345,D,4,H,CC,21,31,38.58,38.68,G,A,,,,R,A,,,,R,R,,,F,R,A,R,,F,,R,,,R,,,,,R,,,"MICA, PYRITE, YELLOW FORAMS",,323-U1345D-4H-CC,43fde48ebe083c8d1bfebfa93866048f
323,U1345,D,5,H,CC,24,34,47.44,47.54,M,F,,,,,F,,,,,R,,,,,F,R,,,,,,,,,P,,,R,R,,"MICA, PYRITE, YELLOW FORAMS",,323-U1345D-5H-CC,a41c4dee0944ecd95213d428a3075a5e
323,U1345,D,6,H,CC,25,35,56.62,56.72,M,F,,,,,R,,,,,F,,,,,P,,,,,,,,,,,,,,R,,"MICA, PYRITE",,323-U1345D-6H-CC,f5cee6bd94d3b8a1d486837bdd398bce
323,U1345,D,7,H,CC,48,58,66.26,66.36,G,A,,,,R,P,,,,,P,,,,F,A,A,,,,R,,,P,,,,,F,F,,"MICA, PYRITE",,323-U1345D-7H-CC,19588dc193a21690f9d917387617a284
323,U1345,D,8,H,CC,16,26,73.22,73.32,M,F,P,,,P,R,,,,,R,,,,P,R,P,P,,P,,,P,,,P,,,,R,,"MICA, PYRITE, YELLOW FORAMS",,323-U1345D-8H-CC,95d689a04c47f14212a64506d3df8883
323,U1345,D,9,H,CC,39,49,83.42,83.52,M,F,,,,,,,,,,R,,,F,,F,,,P,,,,,,,,,,A,P,,"MICA, PYRITE",,323-U1345D-9H-CC,d845a631fd2109066e26718a71cd1c85
323,U1345,D,10,H,CC,37,47,93.37,93.47,G,F,P,,,,R,,,,,F,P,,P,R,F,F,P,R,,,,,P,,,,,R,P,,"MICA, PYRITE",,323-U1345D-10H-CC,3ebf25b3439c3bc52cb14cf167d7936f
323,U1345,D,11,H,CC,32,42,102.67,102.77,G,F,,,,,,,,P,,F,,,,,F,,,,,,,P,,,,,,R,,,"MICA, PYRITE, WOOD",,323-U1345D-11H-CC,1546e15e90ba285969e14d93c497965a
323,U1345,D,12,H,CC,12,22,111.93,112.03,G,P,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,"SAND, WOOD",,323-U1345D-12H-CC,513ecf4a5e1fb30d37c5be4d0204cea0
323,U1345,D,13,H,CC,42,52,122.55,122.65,G,D,,,,F,,,,,,F,,,,A,F,F,,A,,,,,,,,,,A,P,,"MICA, PYRITE",,323-U1345D-13H-CC,e5cd7d2684150de538625f72e1ae5100
323,U1345,D,14,H,CC,23,33,131.71,131.81,G,D,,,,,D,,,,,,,,,R,R,R,,,,,,,,,,,,F,R,,"MICA, PYRITE",,323-U1345D-14H-CC,8891c0204f0428cfc788dc5b5dadfed8
323,U1345,D,15,H,CC,25,35,140.96,141.06,G,F,,,,,P,,,,,F,,,R,,,P,,,,,,,,,,,,F,,,"MICA, PYRITE",,323-U1345D-15H-CC,08fe2fd02f67f136fc6434e2c14d1fc3
323,U1345,D,16,H,CC,32,42,150.41,150.51,G,D,,,,R,F,,,,,R,,,P,A,,P,,P,,,,,,,,,,D,F,,"MICA, PYRITE",,323-U1345D-16H-CC,4e208f5cee9b30e75a5b752044a70fe1
