Exp,Site,Hole,Core,Type,Section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Abundance,Globigerina bulloides,Globigerina umbilicata,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Comments,A/W
323,U1344,A,1,H,1,0,0,0,0,,B,,,,,"dominant diatoms, few IRD",
323,U1344,A,1,H,CC,4,14,9.04,9.14,M,A,A,,,F,"mica, few IRD",
323,U1344,A,2,H,CC,10,20,18.65,18.75,G,F,F,,P,F,"pyrite, few IRD",
323,U1344,A,3,H,CC,13,23,28.62,28.72,G,A,P,,,A,"abundant IRD, pyrite",
323,U1344,A,4,H,CC,28,38,38.12,38.22,G,F,R,,,F,"abundant IRD, pyrite",
323,U1344,A,5,H,CC,44,54,47.51,47.61,G,A,A,,,A,"abundant IRD, pyrite",
323,U1344,A,6,H,CC,28,38,57.19,57.29,G,A,A,R,,F,"abundant IRD, pyrite",
323,U1344,A,7,H,CC,56,66,66.58,66.68,G,A,A,P,,F,"pyrite, few IRD",
323,U1344,A,8,H,CC,50,60,75.22,75.32,G,A,A,R,,F,"abundant IRD, pyrite",
323,U1344,A,9,H,CC,59,69,85.11,85.21,G,A,R,,P,A,"abundant IRD, pyrite",
323,U1344,A,10,H,CC,41,51,95.09,95.19,G,A,A,,,A,"abundant IRD, pyrite",
323,U1344,A,11,H,CC,38,48,104.36,104.46,G,F,R,,,F,"abundant IRD, pyrite",
323,U1344,A,12,H,CC,23,33,113.86,113.96,G,R,P,,P,R,"abundant IRD, pyrite, yellow forams",
323,U1344,A,13,H,CC,37,47,123.39,123.49,G,A,R,,,A,"dominant IRD, pyrite, mica",
323,U1344,A,14,H,CC,32,42,132.79,132.89,G,A,R,R,R,A,"abundant IRD, pyrite",
323,U1344,A,15,H,CC,10,20,142.35,142.45,M,A,,,,A,"dominant IRD, pyrite, yellow forams",
323,U1344,A,16,H,CC,27,37,152.13,152.23,M,P,P,,,,"abundant IRD, pyrite",
323,U1344,A,17,H,CC,16,26,161.17,161.27,G,R,P,,,P,"abundant IRD, pyrite, mica",
323,U1344,A,18,H,CC,26,36,171.24,171.34,,B,,,,,"abundant IRD, pyrite, mica, glauconite",
323,U1344,A,19,H,CC,42,52,180.07,180.17,P,A,F,,,A,"abundant IRD, pyrite, mica",
323,U1344,A,20,H,CC,21,31,190.3,190.4,G,A,F,,,A,"abundant IRD, pyrite, mica",
323,U1344,A,21,H,CC,21,31,199.18,199.28,M,F,F,,,R,"few IRD, yellow foraminiferal test",
323,U1344,A,22,H,CC,28,38,208.73,208.83,G,F,R,,,F,"few IRD, yellow foraminiferal test",
323,U1344,A,23,H,CC,35,45,218.01,218.11,G,P,R,,,,"abundant IRD, pyrite, mica",
323,U1344,A,24,H,CC,33,43,226.57,226.67,M,F,R,,,F,"abundant IRD, pyrite, mica",
323,U1344,A,25,H,CC,39,49,236,236.1,M,R,,,,R,"dominant IRD, pyrite, mica",
323,U1344,A,26,H,CC,39,49,245.39,245.49,M,F,P,,,F,"dominant IRD, pyrite, mica",
323,U1344,A,27,H,CC,52,62,255.73,255.83,M,F,F,,P,R,"dominant IRD, pyrite, mica",
323,U1344,A,28,X,CC,22,32,263.73,263.83,G,P,P,,,,"dominant IRD, pyrite, mica",
323,U1344,A,29,X,CC,22,32,270.25,270.35,M,F,F,,,R,"dominant IRD, pyrite, mica, yellow foraminiferal test",
323,U1344,A,30,X,CC,20,30,280.21,280.31,M,R,P,,,R,"dominant IRD, pyrite, mica",
323,U1344,A,31,X,CC,24,34,288.48,288.58,M,R,R,,,R,"dominant IRD, pyrite, mica, few yellow foraminiferal test",
323,U1344,A,32,X,CC,72,82,299.07,299.17,G,A,F,,,A,"dominant IRD, pyrite, mica",
323,U1344,A,33,X,CC,27,37,309.13,309.23,,B,,,,,"dominant IRD, pyrite, mica",
323,U1344,A,34,X,CC,22,32,318.31,318.41,M,R,R,,,P,"dominant IRD, pyrite, mica,  yellow foraminiferal test",
323,U1344,A,35,X,CC,17,27,323.47,323.57,,B,,,,,"abundant IRD, pyrite, mica",
323,U1344,A,36,X,CC,20,30,338.79,338.89,G,F,,,,F,"abundant IRD, pyrite, mica",
323,U1344,A,37,X,CC,25,35,346.28,346.38,G,F,P,,P,F,"abundant IRD, pyrite, mica",
323,U1344,A,38,X,CC,51,61,356.98,357.08,G,R,R,,R,R,"abundant IRD, pyrite, mica",
323,U1344,A,39,X,CC,24,34,364.13,364.23,,B,,,,,"dominant IRD, pyrite, mica",
323,U1344,A,40,X,CC,13,23,373.09,373.19,M,F,F,,R,R,"few IRD, mica",
323,U1344,A,41,X,CC,37,47,387.87,387.97,M,F,F,,,F,"dominant IRD, pyrite, mica",
323,U1344,A,42,X,CC,22,32,397.41,397.51,M,F,R,,,F,"dominant IRD, pyrite, mica, yellow foraminferal tests",
323,U1344,A,43,X,CC,26,36,403.46,403.56,,B,,,,,"abundant IRD, pyrite, mica",
323,U1344,A,44,X,CC,40,50,414.88,414.98,M,R,P,,R,,"abundant IRD, mica",
323,U1344,A,45,X,CC,50,60,425.83,425.93,G,R,R,,,P,"few IRD, pyrite, mica",
323,U1344,A,46,X,CC,60,70,434,434.1,P,R,P,,R,,"abundant IRD, pyrite, mica",
