Exp,Site,Hole,Core,Type,Section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Abundance,Globigerina bulloides,Globigerina umbilicata,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Comments,A/W,Sample
323,U1344,D,1,H,1,0,0,0,0,,B,,,,,,,323-U1344D-1H-1-nan
323,U1344,D,1,H,CC,0,10,2.63,2.73,G,R,,,,R,"abundant IRD, mica, rare sponge spicules",,323-U1344D-1H-CC-nan
323,U1344,D,2,H,CC,7,17,12.15,12.25,M,D,F,,R,D,"dominant IRD, pyrite, mica, few sponge spicules",,323-U1344D-2H-CC-nan
323,U1344,D,3,H,CC,7,17,21.52,21.62,M,A,F,,,A,"dominant IRD, pyrite, rare sponge spicules",,323-U1344D-3H-CC-nan
323,U1344,D,4,H,CC,17,27,31.57,31.67,,B,,,,,"abundant IRD, pyrite, mica",,323-U1344D-4H-CC-nan
323,U1344,D,5,H,CC,0,16,38.05,38.21,G,F,F,,,R,"dominant IRD, pyrite, mica, few sponge spicules, few yellow foraminiferal tests",,323-U1344D-5H-CC-nan
323,U1344,D,6,H,CC,32,42,50.11,50.21,G,R,,,,R,"dominant IRD, pyrite, mica, rare yellow foraminiferal tests",,323-U1344D-6H-CC-nan
323,U1344,D,7,H,CC,28,38,59.66,59.76,G,A,A,,,A,"dominant IRD, pyrite, mica, rare yellow foraminiferal tests",,323-U1344D-7H-CC-nan
323,U1344,D,8,H,CC,27,37,66.41,66.51,G,A,F,R,,A,"dominant IRD, pyrite, mica",,323-U1344D-8H-CC-nan
323,U1344,D,9,H,CC,58,68,78.27,78.37,G,R,R,,,,"dominant IRD, pyrite, mica",,323-U1344D-9H-CC-nan
323,U1344,D,10,H,CC,44,54,88.44,88.54,M,A,R,,,A,"dominant IRD, pyrite, mica",,323-U1344D-10H-CC-nan
323,U1344,D,11,H,CC,29,39,97.76,97.86,P,F,F,,,P,"dominant IRD, pyrite, mica, yellow foraminiferal tests",,323-U1344D-11H-CC-nan
323,U1344,D,12,H,CC,26,36,107.27,107.37,P,F,F,,,R,"abundant IRD, pyrite, mica",,323-U1344D-12H-CC-nan
323,U1344,D,13,H,CC,55,65,116.6,116.7,M,F,F,,,R,"dominant IRD, pyrite, mica",,323-U1344D-13H-CC-nan
323,U1344,D,14,H,CC,33,43,126.28,126.38,P,D,R,,,D,"few IRD, pyrite, mica",,323-U1344D-14H-CC-nan
323,U1344,D,15,H,CC,104,114,135.67,135.77,M,F,P,,,F,"few IRD, pyrite, mica",,323-U1344D-15H-CC-nan
323,U1344,D,16,H,CC,10,20,145.3,145.4,,B,,,,,"few IRD, pyrite, mica",,323-U1344D-16H-CC-nan
323,U1344,D,17,H,CC,35,45,155.02,155.12,M,R,,,,R,"few IRD, pyrite, mica",,323-U1344D-17H-CC-nan
323,U1344,D,18,H,CC,31,41,164.29,164.39,M,R,R,,,,"few IRD, pyrite, mica",,323-U1344D-18H-CC-nan
323,U1344,D,19,H,CC,33,43,174.31,174.41,M,R,R,P,,P,"dominant IRD, pyrite, mica",,323-U1344D-19H-CC-nan
323,U1344,D,20,H,CC,38,48,182.98,183.08,M,F,F,,,R,"abundant IRD, pyrite, mica",,323-U1344D-20H-CC-nan
323,U1344,D,21,H,CC,23,33,192.83,192.93,P,A,A,,P,A,"dominant IRD, pyrite, mica, orange foraminiferal tests",,323-U1344D-21H-CC-nan
323,U1344,D,22,H,CC,11,21,201.79,201.89,M,A,R,,,A,"dominant IRD, pyrite, mica",,323-U1344D-22H-CC-nan
323,U1344,D,23,H,CC,19,29,211.14,211.24,M,F,R,,,F,"dominant IRD, pyrite, mica",,323-U1344D-23H-CC-nan
323,U1344,D,24,H,CC,0,10,221.05,221.15,M,D,A,,R,D,"dominant IRD, pyrite, mica, rare yellow foraminiferal tests",,323-U1344D-24H-CC-nan
323,U1344,D,25,H,CC,36,46,224.41,224.51,M,F,R,,,F,"dominant IRD, pyrite, mica, yellow foraminiferal tests",,323-U1344D-25H-CC-nan
323,U1344,D,26,H,CC,43,53,233.99,234.09,M,P,P,,,,"dominant IRD, pyrite, mica",,323-U1344D-26H-CC-nan
323,U1344,D,27,H,CC,22,32,240.62,240.72,M,F,F,,,R,"dominant IRD, pyrite, mica, yellow foraminiferal tests",,323-U1344D-27H-CC-nan
323,U1344,D,28,H,CC,54,64,248.28,248.38,M,R,R,,,R,"dominant IRD, pyrite, mica",,323-U1344D-28H-CC-nan
323,U1344,D,29,H,CC,39,49,258.31,258.41,M,P,,,P,,"dominant IRD, pyrite, mica",,323-U1344D-29H-CC-nan
323,U1344,D,30,H,CC,34,44,267.3,267.4,G,R,R,,,,"dominant IRD, pyrite, mica, yellow foraminiferal tests",,323-U1344D-30H-CC-nan
323,U1344,D,31,H,CC,17,27,277.86,277.96,,B,,,,,"dominant IRD, pyrite, mica",,323-U1344D-31H-CC-nan
323,U1344,D,32,H,CC,7,17,286.17,286.27,,B,,,,,"dominant IRD, pyrite, mica",,323-U1344D-32H-CC-nan
