Exp,Site,Hole,Core,Type,Section,Top Depth [m],Bottom Depth [m],Preservation,Total radiolarians,Actinomma boreale,Actinomma medianum,Amphimelissa setosa,Axoprunum acquilonium,Botryostrobus aquilonaris,Ceratospyris borealis,Collosphaera pyloma,Cycladophora cornutoides,Cycladophora cosma,Cycladophora davisiana,Cycladophora sakaii,Cyrtocapsella japonica,Dendrospyris sakaii,Dictyophimus bullatus,Dictyophimus hirundo,Eucyrtidium asanoi,Eucyrtidium inflatum,Eucyrtidium matuyamai,Lamprocyrtis heteroporos,Larcopyle buetschlii,Lipmanella redondoensis,Lithelius barbatus,Lychnocanomma magnacornuta,Lychnocanomma nipponica sakaii,Lychnocanomma parallelipes,Phormostichoartus fistula,Porodiscus circularis,Sphaeropyle langii/robusta group,Spongodiscus sp.,Spongopyle osculosa,Spongotrochus glacialis,Spongurus pylomaticus,Stichocorys delmontensis,Stichocorys peregrina,Stylatractus universus,Stylochlamydium venustum,Stylodictya validispina,Thecosphaera akitaensis,Unnamed: 48,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1345,A,1,H,CC,4.29,4.39,G,F,,,,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,323-U1345A-1H-CC-nan,1673c37fcb8640de245ebf45266d7923
323,U1345,A,2,H,CC,13.98,14.09,M,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,F,,F,,,,,,F,,,,,,323-U1345A-2H-CC-nan,502ef5537996e3ab2a721bfefd6e69e7
323,U1345,A,3,H,CC,23.82,23.92,M,F,,,,,,F,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,F,F,,,,,,323-U1345A-3H-CC-nan,585dd36f3a44e6bbab2a6e6fee0788c8
323,U1345,A,4,H,CC,33.34,33.44,M,F,,,,,F,F,,,,F,,,,,,,,,,F,,,,C,,,,,,,,,,,,F,F,,,,,,323-U1345A-4H-CC-nan,4f7d4681aeeb5f0371d21ea410551a4e
323,U1345,A,5,H,CC,42.85,42.95,M,F,,,F,,,F,,,,,,,,,,,,,,F,,,,F,,,,,,,,,,,,F,,,,,,,323-U1345A-5H-CC-nan,5eccf56fbc46f3a56835678a00d287d8
323,U1345,A,6,H,CC,51.51,51.61,M,F,,,,,,F,,,,,,,,,,,,,,F,,,,F,,,,,,F,,,,,,F,C,,,,,,323-U1345A-6H-CC-nan,81f284c47ac4df4648a17de66926dc84
323,U1345,A,7,H,CC,61.74,61.84,M,F,,,,,,F,,,,,,,,,,,,,,F,,,,F,,,,,,,F,,,,,F,F,,,,,,323-U1345A-7H-CC-nan,13077bc074df622e38e91190d420de7f
323,U1345,A,8,H,CC,71.01,71.11,M,F,,,,,,F,,,,F,,,,,,,,,,F,,,,F,,,,,,,F,,,,,,,,,,,,323-U1345A-8H-CC-nan,6b844c40320e1f1dc1c73db78c4b46cf
323,U1345,A,9,H,CC,80.54,80.64,M,F,,,,,,C,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,,F,,,,,,323-U1345A-9H-CC-nan,44a00c25d19a909660bf095f4c13ea11
323,U1345,A,10,H,CC,88.26,88.36,M,C,,,,,F,C,,,,A,,,,,,,,,,F,,,,F,,,,,F,,F,,,,,F,F,,,,,,323-U1345A-10H-CC-nan,d39a9d64d63914309b0213c815d78e06
