Exp,Site,Hole,Core,Type,Section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Benthic abundance,Alabaminella weddellensis,Bolivina sp.,Brizalina pygmaea,Brizalina earlandi,Brizalina sp.,Bulimina aff. exilis,Bulimina sp.,Cancris cf. phillipinensis,Cassidulina sp.,Cassidulinoides tenuis,Cibicidoides cf. subhaidingerii,Epistominella pulchella,Eggerella bradyi,Elphidium cf. batialis,Epistominella sp.,Fursenkoina bradyi,Fissurina sp.,Glandulina sp.,Globobulimina auriculata,Globobulimina pacifica,Globocassidulina sp.,Gyroidinoides soldanii,Islandiella norcrossi,Lagena spp.,Lenticulina sp.,Martinotiella communis,Melonis barleanum,Melonis pompilioides,Nodosaria spp.,Nodosaria aff. pyrula,Nonionella labradorica,Nonionella turgida,Nonionella turgida digitata,Nothia robusta,Oridorsalis umbonatus,Planulina wuellerstorfi,Procerolagena cf. gracillima,Pullenia sp.,Pullenia bulloides,Pygmaeseistron cf. hispida,Pyrgo sp.,Sphaeroidina bulloides,Stainforthia aff. fusiformis,Triloculina sp.,Triloculina cf. trihedra,Uvigerina cf. peregrina,Uvigerina auberiana,Valvulineria sp.,IRD,Other observations,,A/W,Sample,eodp_id
323,U1340,A,1,H,1,0,0,0,0,G,R,P,,,R,,P,P,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,323-U1340A-1H-1,f875fdfee1148cfc9d3db116a2f5e685
324,U1341,A,1,H,CC,,,3.8,3.9,VG,A,R,,,R,,P,,,,P,,,,,,,P,,,,R,,D,P,,,,,,,P,P,P,,,,,R,,P,,,A,,P,R,,,D,,,,324-U1341A-1H-CC,143d41a1f9d35cb53f4813dba0f2a680
325,U1342,A,2,H,CC,,,13.82,13.92,P,R,,,,P,,P,,,,,,,,,,,P,,,,,,,,,,P,,,,P,,,,,P,,,,,,,,,,P,,,D,,,,325-U1342A-2H-CC,1bbf6fba771b8c5ac3d458b517a80cea
326,U1343,A,3,H,CC,,,23.39,23.49,M,F,,,,,,,,,P,R,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,R,,,D,"Sponge spicules, quartz, wood fragments",,,326-U1343A-3H-CC,1d576c7f73c023d470c840d17dc32d15
327,U1344,A,4,H,CC,,,32.75,32.85,M,F,,,,,,,,,,F,,,R,,,,,,P,F,,,R,,,,,,,,,,,,,,,,,,,,,F,,,,P,D,"Sponge spicules, quartz, wood fragments",,,327-U1344A-4H-CC,0c91cff2679aaab162c23c4cc89a528c
328,U1345,A,5,H,CC,,,42.35,42.45,G,A,,,P,D,,D,,,,,,F,,,,,,,,A,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,A,,,,328-U1345A-5H-CC,2c443fa572e4d9e87eb32c0faa5e620c
329,U1346,A,6,H,CC,,,51.92,52.02,P,F,,,,P,,F,,,,,,,,,,,,,,R,,,F,,,,,,,,,,,,,,,,,,,,,,,A,P,P,A,"Sponge spicules, quartz",,,329-U1346A-6H-CC,b25d87aaf4fc6fcb07722aad598e7128
330,U1347,A,7,H,CC,,,61.41,61.51,G,A,R,,,D,,,,,,,,R,,,,,,,,A,,,F,,,,,,,,,,,,,,,P,,,,,,,,A,,A,,Sponge spicules,,,330-U1347A-7H-CC,5fbc0360c729292bb664f412763a1f1e
331,U1348,A,8,H,CC,,,70.98,71.08,VG,A,,,,R,,D,,,,,,R,,,,,,,,F,,,,,,,,,,,F,,,,,,P,R,,,,,,,,A,,R,F,"Benthic foram ooze, sponge spicules",,,331-U1348A-8H-CC,2b4e20aaf03835faa48533244fc424a8
332,U1349,A,9,H,CC,,,80.35,80.45,VG,A,,P,,,,R,,A,,F,R,A,,,,,,,,R,,,,,P,,,,,,,,,,,R,,P,,,,,,,,A,,A,F,"Planktic foram ooze, sponge spicules",,,332-U1349A-9H-CC,6e01079c5465acb0e050e612768cacd3
