Exp,Site,Hole,Core,Type,Section,Secton Half,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Krithe sp.,Pseudocythere caudata,A/W,Sample,eodp_id
323,U1343,E,1,H,1,,0,0,0,0,,,,323-U1343E-1H-1,9135a86120f9d98376778e9e45a198d2
323,U1343,E,1,H,CC,,3,13,8.12,8.22,,,,323-U1343E-1H-CC,ad7e7aca711e8b65aad675d8647a7dbe
323,U1343,E,2,H,CC,,0,10,17.7,17.8,,,,323-U1343E-2H-CC,3c05f62807579f0a0cec43e1f12985dd
323,U1343,E,3,H,CC,,10,20,26.3,26.4,,,,323-U1343E-3H-CC,2431509eaaf2ba758b6545c020d8e65b
323,U1343,E,4,H,CC,,23,33,37.07,37.17,,,,323-U1343E-4H-CC,d13a5b73d81f36cbe510a4a5378e9e31
323,U1343,E,5,H,CC,,17,27,42.96,43.06,,,,323-U1343E-5H-CC,a945e5c1ca119316170b2e4a3cc631cc
323,U1343,E,6,H,CC,,23,33,55.45,55.55,,,,323-U1343E-6H-CC,3808ac33504fb36a60b5ad71a0970f98
323,U1343,E,7,H,CC,,45,55,63.9,64,P,P,,323-U1343E-7H-CC,9ea8a2543135d1c4f139c22df0f3057e
323,U1343,E,8,H,CC,,25,35,74.79,74.89,,,,323-U1343E-8H-CC,a5b56277c8c2d0b4e6094f684f01c64c
323,U1343,E,9,H,CC,,49,59,84.05,84.15,,,,323-U1343E-9H-CC,2bb88d8d5a7c6c987d27819ca64ad687
323,U1343,E,10,H,CC,,25,35,90.98,91.08,,,,323-U1343E-10H-CC,5eb5e2aa304b21c393fbba4a92c22caa
323,U1343,E,11,H,CC,,24,34,101.67,101.77,,,,323-U1343E-11H-CC,a46cbf6af6bc9dd23538fd8c58ee3487
323,U1343,E,12,H,CC,,39,49,106.59,106.69,,,,323-U1343E-12H-CC,a7c19982a7e9806637796676d307fc55
323,U1343,E,14,H,CC,,5,15,115.95,116.05,,,,323-U1343E-14H-CC,c17969410771155872f6d40c574101ac
323,U1343,E,15,H,CC,,45,55,123.35,123.45,,,,323-U1343E-15H-CC,60357bcb359b7b676cf8e5774ccf9034
323,U1343,E,16,H,CC,,31,41,129.46,129.56,,,,323-U1343E-16H-CC,ea7c1358aed3242c5579d540c6570b6a
323,U1343,E,17,H,CC,,30,40,138.34,138.44,,,,323-U1343E-17H-CC,387d3ed0d7fe4e98796afbd9bb0fae2c
323,U1343,E,18,H,CC,,0,10,148.21,148.31,,,,323-U1343E-18H-CC,14be5129c5d94cc7c41ce677533084fd
323,U1343,E,19,H,CC,,24,34,155.87,155.97,,,,323-U1343E-19H-CC,86506f9dc11cf6a5acc881e92467119b
323,U1343,E,20,H,CC,,24,34,164.89,164.99,,,,323-U1343E-20H-CC,1e2024813bbed914eacf307266cbcecd
323,U1343,E,21,H,CC,,0,10,175.07,175.17,,,,323-U1343E-21H-CC,75fedb5a1e371522d7436202554cbae6
323,U1343,E,22,H,CC,,29,39,183.76,183.86,,,,323-U1343E-22H-CC,0c1c758b56590077470754311d096b3d
323,U1343,E,23,H,CC,,49,59,193.31,193.41,,,,323-U1343E-23H-CC,ea3b4110517cfd18bca5475d7a4a5955
323,U1343,E,24,H,CC,,32,42,197.47,197.57,,,,323-U1343E-24H-CC,edfbf755428bd59a019f79a4f6ab0974
323,U1343,E,25,H,CC,,19,29,207.99,208.09,,,,323-U1343E-25H-CC,deeb3c5958c8efd885845823082cc4b4
323,U1343,E,26,H,CC,,34,44,217.04,217.14,,,,323-U1343E-26H-CC,e21f38585bf48b4b431b8d778076ceb0
323,U1343,E,27,H,CC,,5,15,226.01,226.11,,,,323-U1343E-27H-CC,4e30433844694b7d6a2d4c7c2c8a87d9
323,U1343,E,28,H,CC,,45,55,234.72,234.82,,,,323-U1343E-28H-CC,a89bda0745cca178ee5da525688c3a83
323,U1343,E,29,H,CC,,30,40,245.49,245.59,,,,323-U1343E-29H-CC,4d4474d4b4aae3bddb9a5d75bf53df61
323,U1343,E,30,H,CC,,25,35,254.21,254.31,,,,323-U1343E-30H-CC,3ebcb777959b82077fa585fc58844942
323,U1343,E,31,H,CC,,16,26,263.75,263.85,,,,323-U1343E-31H-CC,e3e28499a555ab65558d05c0d78571de
323,U1343,E,32,H,CC,,16,26,272.49,272.59,,,,323-U1343E-32H-CC,daa0cd97adbbf826daab065ba15fb952
323,U1343,E,33,H,CC,,79,89,282.2,282.3,,,,323-U1343E-33H-CC,cd82ccda4c0c34c21d59c058210c6171
323,U1343,E,34,H,CC,,50,60,291.18,291.28,,,,323-U1343E-34H-CC,531376ff68d2d087f16b11b6e008edd4
323,U1343,E,35,H,CC,,22,32,301.39,301.49,,,,323-U1343E-35H-CC,77c5e357af3bad7048dd459eed2cc8fa
323,U1343,E,36,H,CC,,46,56,311.1,311.2,,,,323-U1343E-36H-CC,ef736f1e895fefab3870d32c20cbec87
323,U1343,E,37,H,CC,,77,87,320.19,320.29,,,,323-U1343E-37H-CC,94959a36b8de9639e308285b917d8339
323,U1343,E,38,H,CC,,23,33,329.74,329.84,,,,323-U1343E-38H-CC,4dea0cacd5ef7edee3c1468304b83787
323,U1343,E,39,H,CC,,25,35,338.41,338.51,,,,323-U1343E-39H-CC,f769856cec4a93c0bef47041583da152
323,U1343,E,40,H,CC,,26,36,346.74,346.84,,,,323-U1343E-40H-CC,836c0a4db3666f5fe559f6daddb2875a
323,U1343,E,41,H,CC,,33,43,354.32,354.42,,,,323-U1343E-41H-CC,1c3b983c1b0c1ce738cd85ffc0cda098
323,U1343,E,42,X,CC,,24,34,359.57,359.67,,,,323-U1343E-42X-CC,19be483fed90e2c50aa62cf2b4f422ac
323,U1343,E,43,X,CC,,31,41,367.32,367.42,,,,323-U1343E-43X-CC,036205a923488ebe796a9911fb623dc1
323,U1343,E,44,X,CC,,38,48,376.59,376.69,,,,323-U1343E-44X-CC,7bc322ef9292d73b4da65a697ec3c8ee
