Exp,Hole,Core,Type,Section,Top Depth [m],Foraminiferal preservation,Foraminiferal abundance,Planktic foraminiferal %,Globigerina spp.,Globigerina bulloides,Globigerina falconensis,Globigerinella aequilateralis,Globigerinita glutinata,Globigerinopsis obesa,Globoconella inflata,Globoconella puncticuloides,Hirsutella scitula,Neogloboquadrina dutertrei,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Orbulina universa,Turborotalita sp.,Turborotalita quinqueloba,Truncorotalia truncatulinoides,Zeaglobierina woodi,Bryozoa fragments,Echinoid plate fragments,Echinoid spines,Fish teeth,Ostracods,Otoliths,Radiolarians,Sponge spicules,Shell fragments,Micro mollusks,Comments,Site,Top [cm],Bottom [cm],Bottom Depth [m],A/W,Sample,eodp_id
317,B,18,X,CC,108.44,G,A,5,X,,,,,,X,,,,X,X,,X,,,,,,,,F,,,,A,,,U1353,,,,,317-U1353B-18X-CC-nan,b73c1d1dbb874edb2b2c7fa04a64d248
317,B,19,H,CC,117.04,G,A,2,X,X,,,,,X,,,,,,,X,X,,,,,,,F,,,,A,,,U1353,,,,,317-U1353B-19H-CC-nan,e2a88e240c7726dcaec6cfb1d5fba87d
317,B,20,H,CC,119.16,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,No planktics,U1353,,,,,317-U1353B-20H-CC-nan,34bbf80cd7d001bc12006f6a58f7cbdf
317,B,21,H,CC,121.16,G,A,2,X,,X,,,,X,,,,?,X,,,,,,,F,,R,A,,,,A,R,,U1353,,,,,317-U1353B-21H-CC-nan,f9ff0bcdc0cb4e6e08955255d5279845
317,B,23,H,CC,135.71,G,A,2,,X,,,,,,,,,X,,,X,,,,,F,R,,F,,,,A,,,U1353,,,,,317-U1353B-23H-CC-nan,73a799a9a1bdb55aba98605a8ad58185
317,B,24,H,CC,139.67,G,A,,,,,,,,,,,,,,,,,,,,A,,,,,,,A,,No planktics,U1353,,,,,317-U1353B-24H-CC-nan,0be3ca11ce178109adf547e7f34cbf71
317,B,25,H,CC,142.86,G,A,3,X,X,,,,,X,,,,X,,,X,X,,X,,,,,F,,,,A,,,U1353,,,,,317-U1353B-25H-CC-nan,4bd512bc068095a2a745c55cda3f77d0
317,B,26,H,CC,147.39,G,A,1,X,,,,,X,,,,,X,,,,,,,,,R,,F,,,,A,,,U1353,,,,,317-U1353B-26H-CC-nan,e2233708cd2436a5f30dd5e57fbdbe9f
317,B,27,H,CC,149.68,G,A,1,X,,,,,,,,,,X,,,,X,,cf.,,,,,F,,,,A,,,U1353,,,,,317-U1353B-27H-CC-nan,a1f3348c41332186b8d70a2a5714fc2b
317,B,28,H,CC,152.95,G,A,6,X,X,,,X,,X,,,,X,,,,X,,X,,,,,A,,,,A,,,U1353,,,,,317-U1353B-28H-CC-nan,16dcc541e29de235a3b3edc423a1de5a
317,B,29,H,CC,158.06,G,A,1,X,,,,,,,,,,,,,,X,,,,C,,,F,,,,A,,,U1353,,,,,317-U1353B-29H-CC-nan,3c339c471f718130a8d7334ecb669461
317,B,30,H,CC,161.36,G,A,1,X,,,,,,,,,,X,,,,,,,,C,,,,,,,A,,,U1353,,,,,317-U1353B-30H-CC-nan,ee4fe57099f4d7c6772f28d5f2e3d040
