Exp,Site,Hole,Core,Type,Section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Abundance,Alabaminella weddellensis,Brizalina earlandi,Bulimina aff. exilis,Cassidulinoides tenuis,Cibicidoides cf. subhaidingerii,Cibicidoides sp.,Cribrostomoides subglobosus,Dentalina sp.,Elphidium cf. batialis,Epistominella pulchella,Fissurina sp,Fursenkoina sp.,Glandulina sp.,Globobulimina pacifica,Globocassidulina sp.,Gyroidinoides soldanii,Islandiella norcrossi,Lagena spp.,Lagena striata?,Melonis pompilioides,Nodosaria aff. pyrula,Nodosaria spp.,Nonionella labradorica,Nonionella turgida,Nonionella turgida digitata,Planulina wuellerstorfi,Procerolagena cf. gracillima,Pullenia bulloides,Pullenia sp.,Pygmaeseistron cf. hispida,Pyrgo sp.,Quinqueloculina sp.,Stainforthia aff. fusiformis,Triloculina cf. trihedra,Uvigerina auberiana,Valvulineria sp.,Cibicidoides mundulus,Comments,A/W,Sample,eodp_id
323,U1344,D,1,H,1,0,0,0,0,G,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DIATOMS, RARE SPONGE SPICULES",,323-U1344D-1H-1-nan,4d0b8de86c8ce4e2eca28897e835f1de
323,U1344,D,1,H,CC,0,10,2.63,2.73,G,A,,,,,P,,P,R,A,,,,,A,,,,P,,P,,,,P,R,,,,,,,,P,,,R,,"MICA, RARE SPONGE SPICULES",,323-U1344D-1H-CC-nan,71526fd53cdad1df6ae9059358d8a782
323,U1344,D,2,H,CC,7,17,12.15,12.25,G,A,,F,R,,P,,,,A,,,P,,P,,,,P,P,,,,P,,,,,,,,P,P,,,F,R,P,"PYRITE TUBES, MICA, SPONGE SPIC",,323-U1344D-2H-CC-nan,4fbad1ce4cdf087c7aa2922226fd12eb
323,U1344,D,3,H,CC,7,17,21.52,21.62,M,A,P,F,,,,,,,A,,,,,R,,,R,,,R,,,A,,R,,,,,,,,,,F,,,"PYRITE TUBES, SPONGE SPIC",,323-U1344D-3H-CC-nan,e1fc3b2b7afe0a7b1c35fac3871b2e2e
323,U1344,D,4,H,CC,17,27,31.57,31.67,M,P,,,,,,,,,P,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,"PYRITE, MICA",,323-U1344D-4H-CC-nan,c09ef66d728fcb7c2c3b3f445967d404
323,U1344,D,5,H,CC,0,16,38.05,38.21,M,F,,,,,,,,,F,,,,,,,,,,,P,,,R,,,,,,,,,R,,,,P,,"pyrite, mica, few sponge spicules, few yellow foraminiferal tests",,323-U1344D-5H-CC-nan,4608f0cc3eb0a35d485aa107ec67f6db
323,U1344,D,6,H,CC,32,42,50.11,50.21,M,G,A,,,,P,,,,A,,P,,,,,,,,,,,,,,,,,P,,,,,,,,P,,"pyrite, mica, rare yellow foraminiferal tests",,323-U1344D-6H-CC-nan,8b303dc477cc9218a95e5a4d1c13222c
323,U1344,D,7,H,CC,28,38,59.66,59.76,M,R,,,,,P,,,,R,R,,,,R,,,,,,P,,,,,,,,,,,,,,,R,R,P,"pyrite, mica, rare yellow foraminiferal tests",,323-U1344D-7H-CC-nan,324afd6cacd800402188304c9682425c
323,U1344,D,8,H,CC,27,37,66.41,66.51,G,F,,,,,,,,,R,,,,,,,,,,,F,,,R,,P,,P,,,,,,,,,R,R,"pyrite, mica",,323-U1344D-8H-CC-nan,0d2018356a2c88432fa6fb4f73a0d39d
323,U1344,D,9,H,CC,58,68,78.27,78.37,G,A,,,,,,,,,,R,,,,A,,,,,,,,,F,,,,P,,,,,,,,,A,P,"pyrite, mica",,323-U1344D-9H-CC-nan,12ab71d60029a9c9d56d0ac4ad961a4e
