Exp,Site,Hole,"core, section",Top Depth [m],Bottom Depth [m],Abundance,Preservation,Dictyocha cf. mandrai,Dictyocha subarctios,Distephanus boliviensis,Distephanus medianoctisol with short radial spines,Distephanus medianoctisol,Distephanus octangulatus,Distephanus octonarius,Distephanus quinquangellus,Distephanus slavincii,Distephanus speculum,Distephanus speculum with short radial spines,Aberrant Silicoflagellates,Ammodochium rectangulare (Ebridian),Silicoflagellate Zone in Ling (1992),Core,Section,Type,Top [cm],Bottom [cm],A/W,Sample
323,U1344,A,27H-CC,255.73,255.83,R,G,,,,,T,,,,,T,,,,Ds. octonarius,27,CC,H,,,,323-U1344A-27H-CC-nan
323,U1344,A,28H-CC,263.73,263.83,F,G,,,,,,T,,,,F,R,,,Ds. octonarius,28,CC,H,,,,323-U1344A-28H-CC-nan
323,U1344,A,29H-CC,270.25,270.35,R,G,,,T,,,,,,T,,,,,Ds. octonarius,29,CC,H,,,,323-U1344A-29H-CC-nan
323,U1344,A,30H-CC,280.21,280.31,R,G,,T,,T,T,,,,,,,,,Dc. subarctios,30,CC,H,,,,323-U1344A-30H-CC-nan
323,U1344,A,31X-CC,288.48,288.58,F,G,,R,,R,R,R,,,T,,,,,Dc. subarctios,31,CC,X,,,,323-U1344A-31X-CC-nan
323,U1344,A,32X-CC,299.07,299.17,F,G,,T,,,R,T,,,,R,,,,Dc. subarctios,32,CC,X,,,,323-U1344A-32X-CC-nan
323,U1344,A,76X-CC,723.01,723.11,T,P,,,,,,,,,,T,,,,Dc. subarctios,76,CC,X,,,,323-U1344A-76X-CC-nan
323,U1344,A,77X-CC,733.03,733.13,R,M,,,,,T,,,,,T,,,,Dc. subarctios,77,CC,X,,,,323-U1344A-77X-CC-nan
323,U1344,A,78X-CC,739.65,739.75,T,P,,,,,,,,,,,,,T,Am. rectangulare,78,CC,X,,,,323-U1344A-78X-CC-nan
323,U1344,A,79X-CC,746.49,746.59,R,M,,,,,T,,,,,,R,,,Am. rectangulare,79,CC,X,,,,323-U1344A-79X-CC-nan
323,U1344,D,10H-CC,88.44,88.54,R,G,,,,,,R,,,,,,,,Ds. octangulatus,10,CC,H,,,,323-U1344D-10H-CC-nan
323,U1344,D,11H-CC,97.76,97.86,B,,,,,,,,,,,,,,,Ds. octangulatus,11,CC,H,,,,323-U1344D-11H-CC-nan
323,U1344,D,12H-CC,107.27,107.37,A,G,,,,,R,T,C,,,C,,,,Ds. octonarius,12,CC,H,,,,323-U1344D-12H-CC-nan
323,U1344,D,13H-CC,116.60,116.70,C,G,,,,,,F,R,,,F,R,T,,Ds. octonarius,13,CC,H,,,,323-U1344D-13H-CC-nan
323,U1344,D,25H-CC,224.41,224.51,F,G,,,,R,T,F,,,T,,T,,,Ds. octonarius,25,CC,H,,,,323-U1344D-25H-CC-nan
323,U1344,D,26H-CC,233.99,234.09,C,G,T,T,,,F,F,,,T,F,T,R,,Dc. subarctio,26,CC,H,,,,323-U1344D-26H-CC-nan
323,U1344,D,27H-CC,255.73,255.83,C,G,T,R,,T,R,F,,,T,F,,,,Dc. subarctio,27,CC,H,,,,323-U1344D-27H-CC-nan
323,U1344,D,28H-CC,248.28,248.38,C,G,,,,R,R,F,,,T,F,,,,Dc. subarctio,28,CC,H,,,,323-U1344D-28H-CC-nan
323,U1344,D,29H-CC,258.31,258.41,C,G,,,,,R,,,T,,C,,T,,Dc. subarctio,29,CC,H,,,,323-U1344D-29H-CC-nan
323,U1344,D,30H-CC,267.3,267.40,C,G,,R,,,F,F,,,R,F,,T,,Dc. subarctio,30,CC,H,,,,323-U1344D-30H-CC-nan
323,U1344,D,31H-CC,277.86,277.96,F,G,,,F,,,,,,,R,T,,,Dc. subarctio,31,CC,H,,,,323-U1344D-31H-CC-nan
323,U1344,D,32H-CC,286.17,286.27,C,G,,T,F,,R,R,,,,R,,,,Dc. subarctio,32,CC,H,,,,323-U1344D-32H-CC-nan
