"Expedition, site, hole, core, section, interval (cm):",Bottom Depth [m],Top Depth [m],Age:,Globoconella inflata,Globoconella puncticuloides,Globoconella puncticuloides (compressed),Globoconella triangula,Globoconella triangula (cf.),Truncorotalia crassacarina (S),Truncorotalia crassacarina (D),Truncorotalia crassula (S),Truncorotalia crassula (D),Truncorotalia viola (S),Truncorotalia viola (D),Truncorotalia truncatulinoides (S),Truncorotalia truncatulinoides (D),Hirsutella hirsuta (D),Hirsutella scitula,Hirsutella theyeri,Globigerina bulloides,Globigerina falconensis,Globigerina sp.,Turborotalita quinqueloba,Globigerinella aequilateralis,Globigerinella calida,Globigerinopsis obesa,Globigerinita glutinata,Neogloboquadrina dutertrei (S),Neogloboquadrina dutertrei (D),Neogloboquadrina incompta,Neogloboquadrina pachyderma,Globigerinoides conglobatus,Globigerinoides pyramidalis,Globigerinoides quadrilobatus,Globigerinoides ruber,Globigerinoides rubescens,Globigerinoides sacculifer,Globigerinoides trilobus,Orbulina bilobata,Orbulina universa,Globorotalia tumida,Pulleniatina obliquiloculata,Pulleniatina praecursor,Pulleniatina primalis,Globoconella miotumida,Globoquadrina dehiscens,Hirsutella panda,Paragloborotalia mayeri s.l.,Paragloborotalia partimlabiata,Truncorotalia crassaformis (S),Truncorotalia crassaformis (D),Zeaglobigerina apertura,Zeaglobigerina woodi,Zeaglobigerina sp.,Sample,Top [cm],Bottom [cm],Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
"372-U1517C-13F-CC, 23-28",66.66,66.61,,A,,,,,,,9,,18,,37,3,,R,,A,F,C,F,R,,,F,,R,A,F,,,,,,,,R,F,,,,,,,,,,,,,,,372-U1517C-13F-CC,23,28,372,U1517,C,13,F,CC,,52c3124088354fa51e72e975002489a3
"372-U1517C-14F-CC, 37-42",71.6,71.55,,A,,,,,11,,7,,7,1,55,14,,,,A,R,F,C,R,,,F,,F,A,R,,,,,,,,,F,,,,,,,,,,,,,,,372-U1517C-14F-CC,37,42,372,U1517,C,14,F,CC,,f7329cc79a8a55956cf92c4a514134bb
"372-U1517C-15H-CC, 0-5",80.85,80.8,,A,,,,,4,,,,3,2,41,7,,F,,A,F,C,,R,?,,F,,F,A,R,,R,,R,,,,,F,,,,,(R),,,,,,,,,,372-U1517C-15H-CC,0,5,372,U1517,C,15,H,CC,,43a32f1efe0a40a07609952f3091f890
"372-U1517C-16H-CC, 0-5",90.6,90.55,,A,,,,,11,,,,4,,54,13,,F,R,A,F,C,F,,,,F,,F,A,R,,R,,F,,,,,R,,,,,,,,,,,,,(R),,372-U1517C-16H-CC,0,5,372,U1517,C,16,H,CC,,006828c9e376f276564a0dff7c86eed5
"372-U1517C-17H-CC, 44-49",99.6,99.55,,A,,,,,2,,,,,,34,28,29,R,,C,F,C,R,R,,,R,,R,A,R,,F,,F,,,,,F,,,,,,,,,,,,,(R),,372-U1517C-17H-CC,44,49,372,U1517,C,17,H,CC,,efd911d19fd2e0b783a230b2f6638b1d
"372-U1517C-18H-CC, 0-5",108.3,108.25,Middle Pleistocene,A,,,,,3,,,1,,,40,1,,F,,A,F,F,,R,,,F,R,R,A,R,,,,F,,,,R,C,,,,,,,,,,,,,,,372-U1517C-18H-CC,0,5,372,U1517,C,18,H,CC,,bd30084c1541b98ccdefde61cfab630d
"372-U1517C-19F-CC, 38-43",112.44,112.39,,A,,,,,18,10,1,,,,36,6,,F,,A,F,C,R,R,,R,F,,F,A,R,,,,R,,,,R,C,,,,,,,,,,,,,,,372-U1517C-19F-CC,38,43,372,U1517,C,19,F,CC,,543546719d30d717fc1efdf4eeec04dc
"372-U1517C-20F-CC, 51-56",117.71,117.66,,A,R,,R,,,,1,,15,,58,21,,F,,A,F,C,F,R,,,F,,R,A,,,R,,R,,,,,,X,,,,,,,,,,,,,,372-U1517C-20F-CC,51,56,372,U1517,C,20,F,CC,,5bfbe9dbb47171455c9f926a24f44132
"372-U1517C-21F-CC, 16-21",122.26,122.21,,A,,,,R,4,4,,,3,,49,30,,R,,A,F,A,F,F,,,R,,F,C,R,,R,R,F,?,,,,F,,R,,,,,,,,,,,,,372-U1517C-21F-CC,16,21,372,U1517,C,21,F,CC,,50d262c9ec75da6860fd39bfd73e5298
"372-U1517C-22F-CC, 13-18",127.1,127.05,,A,,,,,5,1,,,5,,41,23,,F,,A,F,C,F,,,,F,,,F,,R,R,F,F,?,,,,C,,,,,,,,,,,,,,,372-U1517C-22F-CC,13,18,372,U1517,C,22,F,CC,,f0c19f18294bfee7b73190b488729f83
