Exp,Site,Hole,"Core,    section",Top Depth [m],Bottom Depth [m],Abundance,Preservation,Actinocyclus curvatulus,Amphora spp.,Aulacoseira spp.,Bacterosira fragilis,Coscinodiscus marginatus,Delphineis cf. angustata,Detonula confervacea,Eunotia spp.,Fragilariopsis cylindrus,Fragilariopsis oceanica,Neodenticula seminae,Nitzschia spp.,Odontella aurita,Paralia sulcata,Paralia sol,Porosira glacialis,Proboscia curvirostris,Pyxidicula turris,Pyxidicula spp.,Rhizosolenia hebetata f. hebetata,Rhizosolenia styliformis,Thalassionema nitzschioides,Thalassiosira antarctica spores,Thalassiosira gravida,Thalassiosira hyalina,Thalassiosira jouseae,Thalassiosira lacustris,Thalassiosira latimarginata,Thalassiosira nordenskioeldii,Thalassiosira spp.,Thalassiothrix longissima,Diatom Zone (NPD) in Yanagisawa and Akiba (1998),Core,Section,Type,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1345,E,2H-CC,15.58,15.68,F,M,R,R,,C,,,,,,F,F,F,,C,,,,,,,,C,A,,,,,F,,,,Neodenticula seminae (NPD12),2,CC,H,,,,323-U1345E-2H-CC,4e9faf5c26491ec43e19a0dfad73c7b6
323,U1345,E,8H-CC,75.36,75.46,F,M,R,R,,C,,,,R,R,C,F,C,C,F,,,,,,R,,,A,,R,,,C,R,F,,Neodenticula seminae (NPD12),8,CC,H,,,,323-U1345E-8H-CC,a4d4bb1fe4781f1c762e9a4736f4a23c
323,U1345,E,9H-CC,84.45,84.55,C,M,,,,C,,,,,,,C,,R,,,,,,,,R,,A,F,R,A,,C,R,F,,Proboscia curvirostris (NPD11),9,CC,H,,,,323-U1345E-9H-CC,cc166a543b11b94854934f441e55cc81
323,U1345,E,10H-CC,93.89,93.99,A,G,F,,,F,,R,R,,,F,R,,R,F,,C,R,R,,,,F,A,C,,F,,F,,F,F,Proboscia curvirostris (NPD11),10,CC,H,,,,323-U1345E-10H-CC,bfd921be97ed2056a5d0257d0f1cd169
323,U1345,E,11H-CC,103.34,103.44,C,M,C,F,,,R,,R,R,R,C,C,,,,C,,,,F,F,,,A,R,,R,R,C,,R,,Proboscia curvirostris (NPD11),11,CC,H,,,,323-U1345E-11H-CC,69cee05fceb6af58bf299484edf904e9
323,U1345,E,13H-CC,121.78,121.88,A,M-G,,,,C,,R,R,,F,C,R,F,,C,,R,,,,,R,R,A,R,F,C,R,C,,C,,Proboscia curvirostris (NPD11),13,CC,H,,,,323-U1345E-13H-CC,61bf97cf7bad0476b77c54372918fd88
323,U1345,E,15H-CC,141.52,141.62,A,M-G,F,,R,F,R,,R,,F,F,F,R,,C,R,,R,,R,R,,F,A,C,,R,,C,,F,,Proboscia curvirostris (NPD11),15,CC,H,,,,323-U1345E-15H-CC,b8f8a38383980d6c927e905d7971ccf6
