Exp,Site,Hole,Core,Type,Section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Abundance,Alabaminella weddellensis,Brizalina earlandi,Brizalina pygmaea,Bulimina aff. exilis,Bulimina sp.,Cassidulina laevigata var. carinata,Cassidulina sp.,Cassidulinoides tenuis,Elphidium cf. batialis,Epistominella pulchella,Globobulimina pacifica,Globocassidulina sp.,Gyroidinoides soldanii,Islandiella norcrossi,Nodosaria aff. pyrula,Nonionella labradorica,Nonionella turgida,Nonionella turgida digitata,Planulina ariminensus,Procerolagena cf. gracillima,Pullenia sp.,Stainforthia aff. fusiformis,Trifarina angulosa,Uvigerina auberiana,Uvigerina cf. peregrina,Valvulineria sp.,Comments,A/W,Sample,eodp_id
323,U1345,A,1,H,CC,4,14,4.29,4.39,VG,D,,R,F,D,,,,,,,R,,,,,,R,R,,,,D,,,R,,,,323-U1345A-1H-CC,c43d1d93faa9c6dd431d20d7be7b1fed
323,U1345,A,2,H,CC,0,11,13.98,14.09,G,A,,P,,,P,F,P,F,R,,R,,,R,,A,,R,,,R,P,R,P,,R,PYRITE,,323-U1345A-2H-CC,a93a7c9b569f70203a8045d380212f2e
323,U1345,A,3,H,CC,21,31,23.82,23.92,G,F,,F,,R,,P,,,P,R,F,P,,R,,,,,,,,R,,R,F,P,PYRITE,,323-U1345A-3H-CC,e3ed55b810dc9e0d34b181ef2d8b0da9
323,U1345,A,4,H,CC,14,24,33.34,33.44,M,P,,P,,P,,,,,,,P,,,,,,,,,,,,,,P,,PYRITE,,323-U1345A-4H-CC,626ecb4b530289e248103563731f8df4
323,U1345,A,5,H,CC,34,44,42.85,42.95,M,D,,A,,D,,,,,,P,F,,,,,R,,,,P,,,,,,,"PYRITE, MICA, YELLOW FORAMS",,323-U1345A-5H-CC,850af71c299a565ff59184274188d0a4
323,U1345,A,6,H,CC,41,51,51.51,51.61,M,D,,P,,,,,,R,R,R,R,,,F,,D,P,R,,,,,,,R,P,"PYRITE, MICA",,323-U1345A-6H-CC,8287efef2d739a08e8284d927816c9ea
323,U1345,A,7,H,CC,41,51,61.74,61.84,M,R,,R,,R,,,,R,R,,R,R,,R,,R,,,,P,,,,,R,R,"PYRITE, MICA",,323-U1345A-7H-CC,0093b30f88d89478e1bd29cd7826ae14
323,U1345,A,8,H,CC,35,45,71.01,71.11,G,A,P,,,R,,,,F,P,,F,,,F,P,,P,,,P,,,,,F,F,"PYRITE, MICA",,323-U1345A-8H-CC,ebcac62887675ad513b829150fa4836e
323,U1345,A,9,H,CC,40,50,80.54,80.64,VG,A,,,,A,,,,R,,F,A,,,R,,R,,,,,P,,,,A,F,"PYRITE, MICA",,323-U1345A-9H-CC,6c5d7e2573ece8ac472e1ee857e9976d
323,U1345,A,10,H,CC,28,38,88.26,88.36,G,D,,A,,D,,,,,,A,F,,,,,R,,,,,,,,,A,F,"PYRITE, MICA, YELLOW FORAMS",,323-U1345A-10H-CC,f0730f393213714784cd411a2274ede9
323,U1345,A,11,H,CC,29,39,98.39,98.49,G,D,,,,,,R,,A,,,D,,,F,,R,,,,,,,,,A,F,"PYRITE, MICA",,323-U1345A-11H-CC,00065f22bd6a49045c0794d035243ca2
323,U1345,A,12,H,CC,27,37,108.43,108.53,M,D,,D,,,,,,,,F,F,,,,,P,,,,,,,,,R,F,"PYRITE, MICA, YELLOW FORAMS",,323-U1345A-12H-CC,086a5004d319447fffb0122b4b7b7fcc
323,U1345,A,13,H,CC,26,36,118.88,118.98,G,D,,F,,D,,,,,,,R,,,,,P,,,,,,,,,,,"SPICULES, MICA",,323-U1345A-13H-CC,58583c089d242e6e0598ec774d631a20
323,U1345,A,14,H,CC,35,45,128.02,128.12,M,A,,,,R,,,,,F,R,,,,R,,A,,R,,,,,,,R,R,"PYRITE, MICA",,323-U1345A-14H-CC,730f80de8d65fa77d05420c89ba843b4
323,U1345,A,15,H,CC,23,33,137.99,138.09,G,D,,,,A,,,,F,,A,R,,,R,P,,,,R,,,,,A,,R,"PYRITE, MICA, YELLOW FORAMS",,323-U1345A-15H-CC,9a9c412d619b5bb0e48472d67e642d93
323,U1345,A,16,H,CC,34,44,147.33,147.43,M,D,,,,A,,,,R,A,F,R,,R,R,,F,,,,,,,,,A,F,"PYRITE, MICA, YELLOW FORAMS",,323-U1345A-16H-CC,b8d7b9727ae5c4d43f681776dcd25b30
323,U1345,B,1,H,CC,0,10,8.15,8.25,G,A,,,,R,,,,R,A,P,F,,,P,,A,,,,,R,R,,,R,,"PYRITE, MICA",,323-U1345B-1H-CC,44a8da11c3985edd8bbed61cc2ab855c
323,U1345,B,2,H,CC,0,15,17.84,17.99,G,A,,A,,A,,,,,R,,F,,,,,F,,F,,,,F,,,R,R,"PYRITE, MICA",,323-U1345B-2H-CC,09899802f161bfc15fadbc258aa6c6b3
323,U1345,B,3,H,CC,0,20,27.57,27.77,M,R,,,,,,R,,,,,R,,,P,,R,,,,P,,,,R,,,"PYRITE, MICA",,323-U1345B-3H-CC,767db9f4c944360937686304b42d29db
323,U1345,B,4,H,CC,0,25,37.08,37.33,M,A,,R,,A,,,,,R,R,R,,,,,F,P,R,,,,R,,R,,R,"PYRITE, MICA",,323-U1345B-4H-CC,9486c464fa1ffd936b9663c45552eef1
