Exp,Hole,Core,Type,Section,Top Depth [m],Bottom Depth [m],Preservation,Pollen (trees),Pollen (shrubs),Pollen (herbs),Spores of pteridophytes,Pediastrum + Botryococcus,Reworked palynomorphs,Unnamed: 14,Site,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,A,1,H,CC,3.8,3.9,M,F,,,R,,F,,U1340,,,,323-U1340A-1H-CC,087b8583241709e63bec6e9afe6992a5
323,A,3,H,CC,23.39,23.49,M,C,,,F,,C,,U1340,,,,323-U1340A-3H-CC,d664d5b8f1605551b9d46cbafee909ea
323,A,5,H,CC,42.35,42.45,M,C,F,,F,F,F,,U1340,,,,323-U1340A-5H-CC,de45efb214d349756d53f1367815dcc2
323,A,7,H,CC,61.41,61.51,G,C,,F,F,,F,,U1340,,,,323-U1340A-7H-CC,cfb6d7c2d7787fc8a86979133be43250
323,A,9,H,CC,80.35,80.45,M,F,R,,R,F,F,,U1340,,,,323-U1340A-9H-CC,5d32f88b261afabd8b55cc4e46072352
323,A,11,H,CC,99.42,99.52,M,C,F,,F,R,C,,U1340,,,,323-U1340A-11H-CC,a38e3fb51eb1dbf7064b2bf07ec23309
323,A,13,H,CC,118.53,118.63,M,C,,,,F,C,,U1340,,,,323-U1340A-13H-CC,612c02213b658a2eb00c6678ec91e2fe
323,A,15,H,CC,137.12,137.22,P,F,F,,R,R,C,,U1340,,,,323-U1340A-15H-CC,9bf377fdb3afbedc76c35c9af50f759c
323,A,17,H,CC,156.48,156.58,M,C,F,,C,,C,,U1340,,,,323-U1340A-17H-CC,43335bc794afb62e595b61ad97fcc630
323,A,19,H,CC,175.45,175.55,P,F,,,,,C,,U1340,,,,323-U1340A-19H-CC,b21430dbeac1217766c580c280f364a9
323,A,21,H,CC,185.61,185.71,P,F,C,,C,F,C,,U1340,,,,323-U1340A-21H-CC,5dbebcb9abe40beb959034b29f5ec34f
323,A,23,H,CC,196.34,196.44,P,,F,,,,C,,U1340,,,,323-U1340A-23H-CC,1c7581290b877b6a5df7638d21a8a5be
323,A,25,H,CC,215.6,215.7,G,F,,,F,,F,,U1340,,,,323-U1340A-25H-CC,ef85e14bd69b7cca07cc2392d602567e
323,A,27,H,CC,234.62,234.72,M,F,F,C,C,,C,,U1340,,,,323-U1340A-27H-CC,fd8d145e6d27a14090453f19b2a8ad54
323,A,29,H,CC,243.98,244.08,G,F,F,,,,F,,U1340,,,,323-U1340A-29H-CC,b93c615409b95bb7a93c260cca6bd938
323,A,31,H,CC,272.57,272.67,M,,,,,,C,,U1340,,,,323-U1340A-31H-CC,58183f52013985d91f3ab107a400cfa3
323,A,33,H,CC,291.66,291.76,M,,,F,,,C,,U1340,,,,323-U1340A-33H-CC,f1b451ea40cec9bb7756a103e0181eee
323,A,35,H,CC,310.58,310.68,M,F,,,F,,C,,U1340,,,,323-U1340A-35H-CC,8e2ae03376b418863c9b31ba25d5e321
323,A,37,H,CC,327.26,327.36,M,F,,,F,,F,,U1340,,,,323-U1340A-37H-CC,c331b23e8d048cc5f21e84740d7dd89a
323,A,39,H,CC,343.55,343.65,M,C,,,,,C,,U1340,,,,323-U1340A-39H-CC,afd97ee8e97c276af03f6e1a85cefe75
323,A,41,H,CC,354.63,354.73,G,,,,,,F,,U1340,,,,323-U1340A-41H-CC,bb83f38f8c98869ae79ceeb120afd350
323,A,42,H,CC,358.58,358.7,G,,F,,,,C,,U1340,,,,323-U1340A-42H-CC,8e8c131df5fa1dc7d4f335f15405c4c1
323,A,43,H,CC,358.7,358.77,M,,,,,,F,,U1340,,,,323-U1340A-43H-CC,fc91d3309a02ca2025c828f36340bee4
323,A,44,X,CC,365.09,365.19,P,F,F,,F,,C,,U1340,,,,323-U1340A-44X-CC,b0242ac765f72b2f91bfdc7ae555fdf7
323,A,47,X,CC,399.41,399.51,P,C,,,C,,C,,U1340,,,,323-U1340A-47X-CC,48d8a3006f507cdfba3e16aa31b777ba
323,A,49,X,CC,417.96,418.06,M,,F,,F,,C,,U1340,,,,323-U1340A-49X-CC,e45d60c37b4e84059e2a270cc6e0bdca
323,A,51,X,CC,435.51,435.61,P,C,,,F,,C,,U1340,,,,323-U1340A-51X-CC,1c4d80989e4028cd0ed454421fa6d537
323,A,53,X,CC,457.62,457.72,M,,,,,,C,,U1340,,,,323-U1340A-53X-CC,6ebf916059142a1e5d0c584e358ca30a
323,A,55,X,CC,476.23,476.33,G,C,,,F,,F,,U1340,,,,323-U1340A-55X-CC,bee45027a73918c64be88986a0454f65
323,A,57,X,CC,492.82,492.92,P,,,,,,R,,U1340,,,,323-U1340A-57X-CC,79a0cbae1c516bcc2db4c1ada7315e28
323,A,59,X,CC,515.11,515.21,M,F,F,,,,F,,U1340,,,,323-U1340A-59X-CC,47a25e9590e5e89aafa83a3916e7ee98
323,A,63,H,CC,546.74,546.77,M,F,R,,,,F,,U1340,,,,323-U1340A-63H-CC,9bf634c4521a61160978e98e9edf9ca8
323,A,65,H,CC,557.37,557.43,P,,,,,,F,,U1340,,,,323-U1340A-65H-CC,a35e52543a9f2b2018415c34313f87a9
323,A,67,H,CC,565.8,565.9,G,,F,,,,F,,U1340,,,,323-U1340A-67H-CC,70e79f837d6015e9f0e6609c6d35f9cf
323,A,69,H,CC,585.18,585.28,M,,,,F,,,,U1340,,,,323-U1340A-69H-CC,42cfd4fbceeea3dd0e06edc00648c7e1
323,A,71,X,CC,604.51,604.61,M,F,,,R,,,,U1340,,,,323-U1340A-71X-CC,6b7f0bee6a05b23088988f4e3dbc32d0
