Exp,Site,Hole,Core,Type,Section,Secton Half,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone,Abundance,Preservation,E. huxleyi,P. lacunosa,Gephyrocapsa (medium),Gephyrocapsa (large),Gephyrocapsa (small),C. pelagicus,Dictyococcites spp. (small),Dictyococcites spp. (medium),R. pseudoumbilica (>7 microns),R.pseudoumbilica (5-7 microns),R. minutula,R. minuta,C. leptoporus,C. leptoporus (small),Comments,A/W,Sample,eodp_id
323,U1343,A,1,H,CC,,0,10,5.38,5.48,,R,M-G,,,,,,R,,,,,,,,,Slight etching in C. pelagicus,,323-U1343A-1H-CC,b8e8c846a91bebca6fcffa6433366f73
323,U1343,A,2,H,CC,,0,10,14.92,15.02,,B,,,,,,,,,,,,,,,,Thoracosphaera spp.,,323-U1343A-2H-CC,785a6784f80f7d881aa82973bf58e00e
323,U1343,A,3,H,CC,,0,13,24.6,24.73,NN21,R,M-G,R,,,,,R,,,,,,,,,Slight etching in C. pelagicus,,323-U1343A-3H-CC,a172d255f66b5ad896f664032e78f0b6
323,U1343,A,4,H,CC,,30,40,34.66,34.76,,R,M,,,R,,R,,,,,,,,,,,,323-U1343A-4H-CC,4436a288fc59b17d648a1ff1b21c3f00
323,U1343,A,5,H,CC,,36,46,43.91,44.01,,B,B,,,,,,,,,,,,,,,,,323-U1343A-5H-CC,be4cb26b0e2483028f76c65e1c6ffc48
323,U1343,A,6,H,CC,,32,42,53.92,54.02,,B,,,,,,,,,,,,,,,,,,323-U1343A-6H-CC,62c1db82612ba3edefe75883dfa70e83
323,U1343,A,7,H,CC,,46,56,62.19,62.29,,B,,,,,,,,,,,,,,,,,,323-U1343A-7H-CC,1dc7b61fe3926f511aa943a77f14442f
323,U1343,A,8,H,4,W,55,57,66.78,66.8,,B,,,,,,,,,,,,,,,,"Great quantity of tubular minerals, 4-6 microns (L), 1 micron (W), low birrefringence",,323-U1343A-8H-4,f9d4ecb2ac61ffd00d59e90edf42177c
323,U1343,A,8,H,CC,,41,51,71.79,71.89,,B,,,,,,,,,,,,,,,,,,323-U1343A-8H-CC,970a68ac2593698305f52241c52ab7c3
323,U1343,A,9,H,CC,,38,48,81.9,82,,B,,,,,,,,,,,,,,,,,,323-U1343A-9H-CC,52d9fc89c9617f2cd97e11ec51fede95
323,U1343,A,10,H,6,W,52,54,88.72,88.74,,B,,,,,,,,,,,,,,,,,,323-U1343A-10H-6,735387f68d734c201407cd9b647d84ad
323,U1343,A,10,H,CC,,47,57,90.9,91,,B,,,,,,,,,,,,,,,,Reworked specimen (C. pliopelagicus),,323-U1343A-10H-CC,83660a0559d8550735ec28276576f70d
323,U1343,A,11,H,CC,,47,57,100.5,100.6,,B,,,,,,,,,,,,,,,,,,323-U1343A-11H-CC,b20319b236900dda52f1edc4476b79eb
323,U1343,A,12,H,6,W,67,67,108,108,,R,G,,,,,R,,,,,,,,,,Reworked specimens (Sphenolithus sp. Early to Middle Miocene),,323-U1343A-12H-6,0518738794ef55a1615b9a79c2360c18
323,U1343,A,12,H,6,W,75,75,108.08,108.08,,R,M-G,,,R,,R,R,,,,,,,,R,,,323-U1343A-12H-6,2f6cce4becfa4fc84d3ebaf8847715b2
323,U1343,A,12,H,7,W,10,10,108.93,108.93,,A,G,,,A,,D,C,,,,,,,,,"Gephyrocapsids mostly G. caribbeanica. Abundant coccospheres. More than 10, usually more than 25 specimens per FOV",,323-U1343A-12H-7,de40f1d2222fbb0c7eb60913c815bd6a
323,U1343,A,12,H,7,W,35,37,109.18,109.2,,A,G,,,A,,D,A,,,,,,,,,"Gephyrocapsids mostly G. caribbeanica. More than 10 specimens per FOV. Frequent C. pelagicus >10 microns; B. bigelowii, Syracosphaera sp.",,323-U1343A-12H-7,241af97f5c3d255160e13880bdd51e7a
323,U1343,A,12,H,7,W,46,46,109.29,109.29,NN19,C,M-G,,R,C,,C,R,,,,,,,,R,Gephyrocapsids are G. caribbeanica. More terrigenous material.,,323-U1343A-12H-7,fd56791bb803fa589a3121cbc8726c3d
323,U1343,A,12,H,CC,,22,32,110.42,110.52,,R,M-G,,,,,R,,,,,,,,,,,,323-U1343A-12H-CC,3046921fa54d717a4eabddddc166d434
323,U1343,A,13,H,CC,,35,45,119.32,119.42,,R,M,,,R,,,,,,,,,,,,,,323-U1343A-13H-CC,7ad8f17a04e66b0907923505405626b5
323,U1343,A,14,H,CC,,60,70,128.86,128.96,,R,M-G,,,,,R,,,,,,,,,,,,323-U1343A-14H-CC,153fb50acfe95bd1b1ade31a684da418
323,U1343,A,15,H,CC,,48,58,139.06,139.16,,B,,,,,,,,,,,,,,,,,,323-U1343A-15H-CC,ef7c7600fa7f951a9719e440e7b60c43
323,U1343,A,16,H,CC,,70,80,147.11,147.21,,R,M-G,,,,,,,,,,,,R,,,,,323-U1343A-16H-CC,e07c938c64a3c9198fd5aa99f7d6ebd7
323,U1343,A,17,H,CC,,13,23,157.29,157.39,,R,M,,,,,R,R,,,,,,,,,Etching in C. pelagicus,,323-U1343A-17H-CC,933ebefb4ff024814c8b484cc032fdd4
323,U1343,A,18,H,CC,,49,59,166.12,166.22,,F,M,,,,,,F,,,,,,,,,Etching in C. pelagicus,,323-U1343A-18H-CC,22bd49941a303984ae12e2272188ae7e
323,U1343,A,19,H,CC,,46,56,173.8,173.9,,B,,,,,,,,,,,,,,,,,,323-U1343A-19H-CC,7aa00a3298939b7ba0d299114bb4f7e4
323,U1343,A,20,H,CC,,42,52,181.96,182.06,,B,,,,,,,,,,,,,,,,,,323-U1343A-20H-CC,1f50e4555002f8e7ca51232945b830fe
