Exp,Site,Hole,"Core, Section",Top Depth [m],Bottom Depth [m],Abundance,Preservation,Bachmannocena apiculata,Corbisema cf. hastata cunicula,Dictyocha subarctios,Distephanus boliviensis,Distephanus jimlingii,Distephanus medianoctisol,Distephanus medianoctisol with short radial spines,Distephanus octangulatus,Distephanus octonarius,Distephanus quinquangellus,Distephanus speculum,Distephanus speculum with short radial spine,Aberrant silicoflagellates,Unnamed: 21,Core,Section,Type,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1341,A,2H-CC,12.54,12.64,T,P,,,T,,,,,,,,,,,Undefined (Ds. octonarius-Dc. subarctios),2,CC,H,,,,323-U1341A-2H-CC,2429f055bd0291112787abd0f186a5dd
323,U1341,A,3H-CC,22.33,22.43,A,G,,T,,,,R,,C,R,,A,,,Undefined (Ds. octonarius-Dc. subarctios),3,CC,H,,,,323-U1341A-3H-CC,b2ddf850f2f5ac41213ef66462f2bb88
323,U1341,A,4H-CC,31.67,31.77,A,G,T,,,,,R,,A,F,,C,T,R,Undefined (Ds. octonarius-Dc. subarctios),4,CC,H,,,,323-U1341A-4H-CC,890b19912691d41707851b8ff15d958c
323,U1341,A,5H-CC,41.22,41.32,F,G,,,,,,,,,F,,,,R,Undefined (Ds. octonarius-Dc. subarctios),5,CC,H,,,,323-U1341A-5H-CC,99c9eea616128d50054f8e3c06a4dea0
323,U1341,A,6H-CC,50.85,50.95,F,G,,,,,,,T,,R,,,R,,Undefined (Ds. octonarius-Dc. subarctios),6,CC,H,,,,323-U1341A-6H-CC,d78f600d5351baa117ed9ed3557fadcf
323,U1341,A,7H-CC,60.41,60.51,C,G,,,T,,,R,T,,C,,,,T,Dc. subarctios,7,CC,H,,,,323-U1341A-7H-CC,bbaf54edde47dcf83552434213dfe032
323,U1341,A,8H-CC,69.31,69.41,F,G,,,T,,,T,,,F,,,,,Dc. subarctios,8,CC,H,,,,323-U1341A-8H-CC,15d1b3621503a4e86df7ab295f22bfa3
323,U1341,A,9H-CC,79.56,79.66,F,G,,,T,,,R,T,F,,,,T,,Dc. subarctios,9,CC,H,,,,323-U1341A-9H-CC,0b890a4b77cda9d8da2f4e41d18421c3
323,U1341,A,10H-CC,89.02,89.12,C,G,,,,,,R,T,,,,F,F,,Dc. subarctios,10,CC,H,,,,323-U1341A-10H-CC,c8745c3df49fa99b93cb4f1008e8be99
323,U1341,A,12H-CC,108.06,108.16,C,G,,,T,R,,F,F,,R,,R,R,,Dc. subarctios,12,CC,H,,,,323-U1341A-12H-CC,db20ffcc742f0a206c6f6c24e09e6124
323,U1341,A,14H-CC,127.00,127.10,F,G,,,T,,,R,T,,,,R,,,Dc. subarctios,14,CC,H,,,,323-U1341A-14H-CC,628abe5497062c40c4f9d6bb1971687e
323,U1341,A,16H-CC,145.97,146.07,R,M,,,,,T,,,,T,,T,,,Dc. subarctios,16,CC,H,,,,323-U1341A-16H-CC,a614936f3e5e637ef5d8b36569fb1f1d
