Exp,Site,Hole,Core,Type,Section,Top Depth [m],Bottom Depth [m],Preservation,Pollen (trees),Pollen (shrubs),Pollen (herbs),Spores (moss&fern),Reworked palynomorphs,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1342,A,1H,H,CC,1.65,1.75,G,R,F,R,F,R,,,,323-U1342A-1HH-CC,dffad7889fa5c7817dd1297620db28c0
323,U1342,A,2H,H,CC,11.31,11.41,M,C,R,,F,F,,,,323-U1342A-2HH-CC,a7e03f3576b858e9ebf87b9b995d27ae
323,U1342,A,3H,H,CC,20.91,21.01,G,C,C,R,C,F,,,,323-U1342A-3HH-CC,5bd485f13e475d81d6b99fd9680878ee
323,U1342,A,4H,H,CC,30.65,30.75,M,C,R,,R,F,,,,323-U1342A-4HH-CC,8555ecc1b2a65e65a017dfdb5e14336a
323,U1342,A,5H,H,CC,40.12,40.22,M,F,R,,R,R,,,,323-U1342A-5HH-CC,25c815e968a32abee021bee95dc843be
323,U1342,A,6H,H,CC,48.25,48.35,P,R,F,,,,,,,323-U1342A-6HH-CC,54ec87e5fd386321e6ccf7a2f8b10fd1
323,U1342,A,7H,H,CC,55.64,55.74,P,F,R,R,R,R,,,,323-U1342A-7HH-CC,de737475e4f0cd8310c99344ca1d65b7
323,U1342,B,1H,H,CC,5.23,5.33,G,R,R,R,R,R,,,,323-U1342B-1HH-CC,65bf40e09a71e0d27cafaf88f2e6b57e
323,U1342,B,2H,H,CC,14.98,15.08,M,C,C,R,R,R,,,,323-U1342B-2HH-CC,fec60bc9754350321a13b2d1ca8eaa64
323,U1342,B,3H,H,CC,24.71,24.81,M,C,,,F,C,,,,323-U1342B-3HH-CC,1068193ea4bbb541571655ae469497dd
323,U1342,B,4H,H,CC,33.97,34.07,M,C,R,,C,,,,,323-U1342B-4HH-CC,38558402bae926124f1dab0aae61ec73
323,U1342,B,5H,H,CC,43.64,43.74,P,F,C,,F,C,,,,323-U1342B-5HH-CC,732f2b5fa416d0a8bdee81aa36ac3763
