Exp,Hole,Core,Type,Section,Half,Top [cm],Bottom [cm],Top Depth [m],Preservation,Abundance,Braarudosphaera bigelowii,Braarudosphaera sp.,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus macintyrei (>11 μm),Calcidiscus pataceus,Calcidiscus premacintyrei,Calcidiscus tropicus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus pelagicus f. braarudii,Coccolithus streckerii,Crenalithus doronicoides,Cricolithus jonesii,Cryptococcolithus mediaperforatus,Cyclicargolithus abisectus 10-11 μm,Cyclicargolithus abisectus (>11 μm),Cyclicargolithus floridanus,Dictyococcites antarcticus,Dictyococcites bisectus,Dictyococcites productellus (<3 μm),Dictyococcites productellus (3-5 μm),Dictyococcites stavensis (>10 μm),Discoaster sp.,Discoaster tani nodifer,Emiliania huxleyi,Emiliania pujosae,Gephyrocapsa aperta,Gephyrocapsa caribbeanica (3-4 μm),Gephyrocapsa caribbeanica (4-5.5 μm),Gephyrocapsa caribbeanica (5.5-6.5 μm),Gephyrocapsa crassipons,Gephyrocapsa oceanica (3-4 μm),Gephyrocapsa oceanica (4-5.5 μm),Gephyrocapsa oceanica (5.5-6.5 μm),Gephyrocapsa omega,Gephyrocapsa ericsonii,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera intermedia,Helicosphaera omanica,Helicosphaera sellii,Helicosphaera sp.,Ilselithina fusa,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera sp.,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Pseudoemiliania pacifica,Pseudoemiliania sp.,Pyrociclus orangensis,Pyrociclus sp.,Reticulofenestra ampla,Reticulofenestra dictyoda,Reticulofenestra gelida,Reticulofenestra gelida (>10 μm),Reticulofenestra haqii (<3 μm),Reticulofenestra haqii (3-5 μm),Reticulofenestra minuta (<3 μm),Reticulofenestra minutula,Reticulofenestra pseudoumbilicus (8-10 μm),Reticulofenestra pseudoumbilicus (>10 μm),Reticulofenestra reticulata,Reticulofenestra rotaria (elliptical),Reticulofenestra umbilicus (>14 microns),Reticulofenestra wadeae,Rhabdosphaera procera,Scyposphaera graphica,Scyposphaera queenslandensis,Scyphosphaera sp.,Solidopons petrae,Sphenolithus abies,Sphenolithus compactus,Sphenolithus moriformis,Sphenolithus neoabies,Sphenolithus predistentus,Sphenolithus sp.,Syracosphaera pulchra,Syracosphaera sp.,Thoracosphaera saxea,Triquetrorhabdulus rugosus,Umbellosphaera sp.,Umbilicosphaera cricota,Umbilicosphaera jafarii,Umbilicosphaera rotula,,Site,Bottom Depth [m],A/W,Sample,eodp_id
317,A,1,H,CC,,,,2.56,M,A,F,,F,,,,,F,,F,,,,,,,,R,,R,F,,,,,F,,A,,C,F,C,,,,F,F,F,,,,,,,,,,,F,,,,,F,,,,,,D,D,F,,P,,,,,,,,,,,,,,,,,,,R,,,,,U1351,,,317-U1351A-1H-CC,2890f4ad98c28d3ace80f1e89106afab
317,A,2,H,CC,,,,11.44,M,C,,,F,,,,,,,,F,,,,,,,,,P,F,,,,,F,F,D,,,,D,F,F,,,,F,,,,,,,,,,,,,,,,F,,,,,,A,F,,,,,,,,,,,,,,,,,,,,,,,,,,,U1351,,,317-U1351A-2H-CC,b5362e823bb9b44a008241e74fcd1f18
317,A,3,H,CC,,,,18.15,M,C,,,,,,,,,,R,F,,,,,,,P,,F,,F,,P,,F,,,F,,,C,F,,,,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,U1351,,,317-U1351A-3H-CC,811a70de46a12e63d137eec0b37c73fc
317,A,4,H,CC,,,,25.08,M,C,,,,,,,F,,,F,C,,,,,,,,F,,,,,,,F,,F,,,,A,F,F,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1351,,,317-U1351A-4H-CC,9809111dce8a7aefb2e2c82483e24094
317,A,5,H,CC,,,,27.50,M,C,F,,F,,,,,,,F,,,,,,,,,,,,,,,,F,,F,F,,,C,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,U1351,,,317-U1351A-5H-CC,8ee30092acfb759b87ca10f51d775c28
317,A,6,H,CC,,,,28.00,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1351,,,317-U1351A-6H-CC,0569ebb1c13ab899420dd349fdd5453b
317,B,1,H,CC,,,,7.71,G,C,,,,,,,,,,C,F,,R,,,,,,,,,,,,,C,,,C,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,C,F,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,U1351,,,317-U1351B-1H-CC,d0eb79b160af7b282d652a0deb397bee
317,B,2,H,CC,,,,16.66,G,C,,,,,,,,,,F,F,,R,R,,,,P,,,,,,,,C,,C,C,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,R,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,U1351,,,317-U1351B-2H-CC,df96d513ecdce07563b826beb2d73475
317,B,3,H,CC,,,,22.29,G,C,,,,,,,,,,F,F,,R,,,P,,P,,P,,,,,,C,,C,C,,,,C,,,,,R,,,,,,,,,,,,,,,,,P,,,F,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,U1351,,,317-U1351B-3H-CC,54e685617702a14494852da9545f1323
317,B,4,H,CC,,,,28.17,G,C,,,F,,,,,,,F,,,,F,,P,,,,,R,,,,,P,,A,C,,,,C,,,,,F,,,,,,,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,R,,,,,U1351,,,317-U1351B-4H-CC,ec28890f71ef246873496195199785af
