Exp,Site,Hole,"Core,    section",Top Depth [m],Bottom Depth [m],Abundance,Preservation,Actinocyclus curvatulus,Actinocyclus ochotensis,Actinocyclus oculatus,Actinocyclus senarius,Asteromphalus brookei,Asteromphalus darwinii in Koizumi 1968,Asteromphalus hyalinus,Asteromphalus robustus,Azpeitia nodulifera,Bacterosira fragilis,Chaetoceros spp. spores,Cocconeis californica cf. kerguelensis,Cocconeis costata,Cocconeis placentula,Cocconeis pribilofensis,Cocconeis scutellum,Cocconeis vitrea,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Delphineis cf. angustata,Delphineis kippae,Delphineis surirella,Detonula confervacea,Fragilariopsis cylindrus,Frgilariopsis oceanica,Grammatophora spp.,Neodenticula kamtschatica,Neodenticula koizumii,Neodenticula seminae,Nitzschia spp.,Odontella aurita,Paralia sol,Paralia sulcata,Pinnularia spp.,Porosira glacialis,Proboscia barboi,Proboscia curvirostris,Pyxidicula horridus,Pyxidicula pustulatus,Pysidicula turris,Pyxidicula sp. 1,Pyxidicula sp. 2,Rhabdonema spp.,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. hiemalis,Rhizosolenia hebetata f. semispina,Rhizosolenia styliformis,Rhizosolenia spp.,Stauroneis spp.,Stellarima microtrias,Thalassionema nitzschioides,Thalassiosira antarctica spore,Thalassiosira antiqua,Thalassiosira decipiens,Thalassiosira eccentrica,Thalassiosira gravida,Thalassiosira hyalina,Thalassiosira jouseae,Thalassiosira latimarginata sl.,Thalassiosira cf. leptopus,Thalassiosira lineata,Thalassiosira nordenskioeldii,Thalassiosira oestrupii,Thalassiosira poroseriata,Thalassiosira spp.,Thalassiothrix longissima,Trachyneis aspera,Diatom Zone (NPD) in Yanagisawa and Akiba (1998),Core,Section,Type,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1341,A,1H-CC,2.92,3.02,C,M,C,,,,,,,,,,F,,,,,R,,R,R,,,R,,,,,A,,C,,R,,R,,,,,,,,,,,R,,,,,,,,F,,,,,,R,,C,,,F,,,R,,Neodenticula seminae (NPD 12),1,CC,H,,,,323-U1341A-1H-CC-nan,c541c8cbe82238e0d94c6af1f6c8a931
323,U1341,A,2H-CC,12.54,12.64,C,M,C,R,,,,,,R,,R,,,,,,,,,F,,,,,,,,A,R,C,,R,,R,,,,,,,,,,,R,,,,,,,,C,R,,,,,,,A,,,R,,,R,,Neodenticula seminae (NPD 12),2,CC,H,,,,323-U1341A-2H-CC-nan,7e9a8dc83cd6d61762e5d1aab1a319f6
323,U1341,A,3H-CC,22.33,22.43,A,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,R,,F,,,,,,,,,,,F,F,,,,,,R,C,,,,,,R,,C,R,,,,,F,,Neodenticula seminae (NPD 12),3,CC,H,,,,323-U1341A-3H-CC-nan,831dbd04899052800b9c9aa143a73cea
323,U1341,A,4H-CC,31.67,31.77,A,M-G,C,,,,,,,,,,F,,C,,,,,,,,,,,,,,R,,A,,R,,,,,,,,,R,,,F,R,,C,,,,,,,,R,,,,,,C,,R,C,,,F,,Neodenticula seminae (NPD 12),4,CC,H,,,,323-U1341A-4H-CC-nan,901f9c459354d5ca2429a676fc26657a
323,U1341,A,5H-CC,41.22,41.32,A,G,C,,,,,,,,,F,,,R,,,,R,,,,,,R,R,,,,,A,,F,,,,,R,R,,,,,,,R,C,,R,,,,,C,,R,,,C,F,F,C,,,,R,,R,,Proboscia curvirostris (NPD 11),5,CC,H,,,,323-U1341A-5H-CC-nan,709a6a6d7c76b1875141370e4d4275c9
323,U1341,A,6H-CC,50.85,50.95,C,M-G,A,,,,R,,,,,,,,R,R,,,,,,,,,,R,,,,,C,,,,R,,,,,R,,R,,,,R,R,,,,,,,C,,,,R,,,,C,,,,R,,F,,Proboscia curvirostris (NPD 11),6,CC,H,,,,323-U1341A-6H-CC-nan,af8bdc2cd7f7f09a332d95f8e8eacb24
323,U1341,A,7H-CC,60.41,60.51,F,M-G,C,,F,,,,,,,,,,,,,R,R,F,,,,,,,,,,,A,R,,,,,,F,F,F,,F,,,,,F,,,,,,R,F,,,,,,,R,C,,R,,,,C,,Proboscia curvirostris (NPD 11),7,CC,H,,,,323-U1341A-7H-CC-nan,ffe6c7cc2785cadbb8b4074288491782
323,U1341,A,8H-CC,69.31,69.41,A,C,C,,,,,,,,,,,,R,,,,R,F,,,,,,R,R,,,,C,,R,,F,,,R,C,,,R,,,,F,R,,,,R,,,C,,,,,,R,C,C,,,,,,F,R,Proboscia curvirostris (NPD 11),8,CC,H,,,,323-U1341A-8H-CC-nan,3753cc4c536bc8bf5924a3933fcf62db
323,U1341,A,9H-CC,79.56,79.66,C,M-G,C,,F,,,,,,R,,,,,,,,,F,,,,,,,,,,,A,R,,,,,R,,,,,R,,F,,,R,,,R,,,,C,R,,R,F,,,R,C,,,R,,,C,,Proboscia curvirostris (NPD 11),9,CC,H,,,,323-U1341A-9H-CC-nan,103be1b0883d3a28621bf4b49dcb3bd4
323,U1341,A,10H-CC,89.02,89.12,A,G,C,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,A,,,,,,F,R,,,,C,,,,R,,F,,,,,,F,,,,,,,F,F,,,R,,,,,Proboscia curvirostris (NPD 11),10,CC,H,,,,323-U1341A-10H-CC-nan,096a8cd9ce4c925308ea98a3dc74b0e2
