Sample,Exp,Site,Hole,Core,Type,Section,Section Half,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Depth Method,Original Top Depth (m),Original Bottom Depth (m),Top Offset (cm) on Parent Sample,Bottom Offset (cm) on Parent Sample,Abundance,Preservation,R. pseudoumbilicus/R.gelida,R. minuta/D.productus,R. minutula/D.antarcticus,C. pelagicus,A/W,eodp_id
318-U1361A-34X-2-W 97/98-NANNO,318,U1361,A,34,X,2,W,97,98,314.07,314.08,CSF-A,314.07,314.08,97,98,A,M,F,A,A,,,6c60c5053856602daa7ccda4d33a50c2
318-U1361A-35X-3-NANNO,318,U1361,A,35,X,3,,73,74,324.93,324.94,CSF-A,324.93,324.94,73,74,A,M,F,A,A,,,6ccb643eab07fef1bc11eb9e4ed98d75
318-U1361A-35X-3-W 75/76-NANNO,318,U1361,A,35,X,3,W,75,76,324.95,324.96,CSF-A,324.95,324.96,75,76,A,M,F,A,A,,,f42c86f1a2ff193936aafe58447835b8
318-U1361A-35X-5-W 59/60-NANNO,318,U1361,A,35,X,5,W,59,60,327.79,327.8,CSF-A,327.79,327.8,59,60,A,M,F,A,A,F,,105cd712d6084e47add2d37764b8e234
318-U1361A-40X-3-W 15/16-NANNO,318,U1361,A,40,X,3,W,15,16,372.05,372.06,CSF-A,372.05,372.06,15,16,C,P,F,F,F,,,7183994eb3d54d59602f4398f6ce53ce
318-U1361A-40X-3-W 60/61-NANNO,318,U1361,A,40,X,3,W,60,61,372.5,372.51,CSF-A,372.5,372.51,60,61,B,,,,,,,9bead7320ec6ac777fc6c3c3749d747b
