Exp,Site,Hole,Core,Section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Abundance,Alabaminella weddellensis,Brizalina earlandi,Brizalina cf. spathula,Bulimina aff. exilis,Bulimina sp.,Cassidulinoides tenuis,Cibicidoides sp.,Cibicidoides cf. subhaidingerii,Dentalina sp.,Eggerella bradyi,Elphidium cf. batialis,Epistominella pulchella,Fissurina sp,Fursenkoina sp.,Glandulina sp.,Globobulimina auriculata,Globobulimina pacifica,Globocassidulina sp.,Gyroidinoides soldanii,Hormosinella guttifera,Islandiella norcrossi,Lagena spp.,Lenticulina sp.,Martinotiella communis,Melonis barleanum,Melonis pompilioides,Nodosaria spp.,Nodosaria aff. pyrula,Nonionella labradorica,Nonionella turgida,Nonionella turgida digitata,Nothia robusta,Oridorsalis umbonatus,Procerolagena cf. gracillima,Pullenia sp.,Pullenia bulloides,Pygmaeseistron cf. hispida,Pyrgo sp.,Rhabdammina sp.,Robertina sp.,Saccammina sp.,Sphaeroidina bulloides,Stainforthia aff. fusiformis,Triloculina sp.,Triloculina cf. trihedra,Uvigerina cf. peregrina,Uvigerina auberiana,Valvulineria sp.,IRD,Other observations,,,,,,Type,A/W,Sample
323,U1341,A,1,1,0,0,0,0,G,F,,,,,,,,,,,,,,,,,P,P,,F,,,,,,,,,,,,,,,,,,,,,P,,,,,P,P,,A,Rare sponge spicules,,,,,,H,,323-U1341A-1H-1-nan
323,U1341,A,1,CC,,,2.92,3.02,G,A,,P,P,A,,,,,,,,,,P,,,R,,P,,P,,,,,,,,,,,,,,,,,,,P,,R,R,,,P,A,,A,Rare sponge spicules,,,,,,H,,323-U1341A-1H-CC-nan
323,U1341,A,2,CC,,,12.54,12.64,M,F,,P,,,,,,,,,,,,P,,,,P,,,F,,,,,,,,,P,,,,,,,,,,,,,,,,,R,,D,Rare sponge spicules,,,,,,H,,323-U1341A-2H-CC-nan
323,U1341,A,3,CC,,,22.33,22.43,G,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,D,Rare sponge spicules,,,,,,H,,323-U1341A-3H-CC-nan
323,U1341,A,4,CC,,,31.67,31.77,G,R,,R,,,,R,,,,,,P,,R,,,,P,,,,P,,,R,,,,R,P,,,,,R,R,P,,,,,,,P,,,,,D,Rare sponge spicules,,,,,,H,,323-U1341A-4H-CC-nan
323,U1341,A,5,CC,,,41.22,41.32,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,D,,,,,,,H,,323-U1341A-5H-CC-nan
323,U1341,A,6,CC,,,50.85,50.95,G,F,R,R,,R,,,,,,,R,,,,,,,,R,,R,,,,R,R,,,P,,R,,,,,R,,,,,,,,,,,A,,F,,,,,,,H,,323-U1341A-6H-CC-nan
323,U1341,A,7,CC,,,60.41,60.51,M,F,,,,,,,R,,,P,,,,,,,P,,R,,,,P,,R,,,P,,,,,,,,R,,,,,,,,,R,,R,,M,,,,,,,H,,323-U1341A-7H-CC-nan
323,U1341,A,8,CC,,,69.31,69.41,M,F,,,,R,,,,,,,,,,,,,F,,,,F,,,,A,P,,,,,,,,,,,,,,,,,,,,P,,,M,,,,,,,H,,323-U1341A-8H-CC-nan
323,U1341,A,9,CC,,,79.56,79.66,G,A,,,,,,F,,,F,P,,,,,,,F,,F,,,,,,F,,,,,,,,R,,,P,,P,,,,,,,,,F,R,R,Yellowish planktonics,,,,,,H,,323-U1341A-9H-CC-nan
323,U1341,A,10,CC,,,89.02,89.12,G,A,,,,F,,,,,,,,,,,,,A,,,,,,,,R,,,,,,,,,,,P,,,,,,,,,,,F,,M,"Yellowish planktonics, sponge spicules",,,,,,H,,323-U1341A-10H-CC-nan
323,U1341,A,11,CC,,,98.41,98.51,G,A,,R,,F,,,,,,,,,,,,,A,,,,R,,,,R,,,,F,,,,R,,,,,,,,,,,,,F,F,F,R,,,,,,,H,,323-U1341A-11H-CC-nan
323,U1341,A,12,CC,,,108.06,108.16,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,H,,323-U1341A-12H-CC-nan
323,U1341,A,13,CC,,,117.6,117.7,G,R,,R,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,M,,,,,,,H,,323-U1341A-13H-CC-nan
323,U1341,A,14,CC,,,127,127.1,G,A,,R,,,,,,,,R,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,R,,A,,F,Sponge spicules,,,,,,H,,323-U1341A-14H-CC-nan
323,U1341,A,15,CC,,,136.16,136.26,M,F,,,,,,P,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,,,,P,,A,Sponge spicules,,,,,,H,,323-U1341A-15H-CC-nan
323,U1341,A,16,CC,,,145.97,146.07,G,F,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,P,D,,,,,,,H,,323-U1341A-16H-CC-nan
323,U1341,A,17,CC,,,155.53,155.63,G,R,,,,,,,,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,R,F,,,,,,,,,,,,,F,Sponge spicules,,,,,,H,,323-U1341A-17H-CC-nan
