Exp,Site,Hole,Core,Section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Martini (1971) Zone,Abundance,Preservation,E. huxleyi,P. lacunosa,Gephyrocapsa (medium),Gephyrocapsa (large),Gephyrocapsa (small),C. pelagicus,C. braarudii,C. leptoporus,C. leptoporus (small),Other taxa,Comments,Type,A/W,Sample,eodp_id
323,U1339,B,1,CC,0,0,3.91,3.91,,A,M-G,C,,F,,,D,R,,,,,H,,323-U1339B-1H-CC-nan,e14c1344d442b1cd44c82b58e54f6681
323,U1339,B,2,CC,0,0,13.65,13.65,,R,M-G,R,,,,,,,,,,,H,,323-U1339B-2H-CC-nan,40c35f2326bbff90b602bfb1e523ae13
323,U1339,B,3,CC,0,0,23.36,23.36,NN21,R,M-G,R,,,,,,,,,,,H,,323-U1339B-3H-CC-nan,e021bc73f95205db7994270c5bc11e3f
323,U1339,B,4,CC,0,0,32.91,32.91,,R,M-G,R,,,,,R,,,,,,H,,323-U1339B-4H-CC-nan,12cc6d38b1d50ca9b485782627f4b294
323,U1339,B,5,CC,0,0,42.17,42.17,,B,,,,,,,,,,,,reworked spec of C. miopelagicus and Dictyococcitus spp.,H,,323-U1339B-5H-CC-nan,066a4c604d5a1c37bfcd90193f040a81
323,U1339,B,6,CC,0,0,52.23,52.23,,B,,,,,,,,,,,,,H,,323-U1339B-6H-CC-nan,4e19ddc158072f5a129d7c1ae22fb3f4
323,U1339,B,7,4W,54,54,56.54,56.54,,R,M,,,,,,,,R,,unidentified spec (1),etched specimens,H,,323-U1339B-7H-4W-nan,8032355377f7c294b79db4f962206d2a
323,U1339,B,7,CC,0,0,61.5,61.5,,B,,,,,,,,,,,,,H,,323-U1339B-7H-CC-nan,8c492bd2c9939c4bcab91bc8b590b285
323,U1339,B,8,CC,0,0,70.85,70.85,,B,,,,,,,,,,,,,H,,323-U1339B-8H-CC-nan,632293a1b6a7f5937f08a450fd833e83
323,U1339,B,9,CC,0,0,80.37,80.37,,R,M-G,,,,,,R,,,,,,H,,323-U1339B-9H-CC-nan,0e1736f3303fe9d6a8209a32624a350a
323,U1339,B,10,CC,0,0,89.88,89.88,,R,M-G,,,R,,,,,,,,,H,,323-U1339B-10H-CC-nan,aea04fdcf06ac9c6d7ca95ba2d417420
323,U1339,B,11,CC,0,0,99.25,99.25,,R,M,,,,,,R,,,,,,H,,323-U1339B-11H-CC-nan,dbae2a80879a1a24f6ecd9831da1568b
323,U1339,B,12,CC,0,0,108.4,108.4,,C,M-G,,,R,,C,F,,,,,,H,,323-U1339B-12H-CC-nan,72de8febf9f6e19d23d48212a03a0016
323,U1339,B,13,CC,0,0,108.89,108.89,,B,,,,,,,,,,,,,H,,323-U1339B-13H-CC-nan,ff9fc44a9ba64b423c784e246252db8c
323,U1339,B,14,CC,0,0,120.47,120.47,,B,,,,,,,,,,,,,H,,323-U1339B-14H-CC-nan,ed34ce4b3fdcf5fbf611fd3af5d82ed2
323,U1339,B,15,CC,0,0,130,130,,B,,,,,,,,,,,,,H,,323-U1339B-15H-CC-nan,aeb9b5b27176edcecb5e5a06c42a7bcb
323,U1339,B,16,CC,0,0,139.41,139.41,NN19,R,M,,R,R,,,R,,,,,P. lacunosa only one specimen,H,,323-U1339B-16H-CC-nan,7be8a7f5e4fe8be498ee615dbbe25340
323,U1339,B,17,CC,0,0,148.57,148.57,,R,M,,,,,,R,,,,,overgrowth in C. pelagicus,H,,323-U1339B-17H-CC-nan,df0e872f4bd35973e89430d87047518f
323,U1339,B,18,CC,0,0,158.79,158.79,,C,M,,,,,,D,,,,,,H,,323-U1339B-18H-CC-nan,8597bfe9723fbcda3b4e06a3f6af371f
323,U1339,B,19,CC,0,0,167.86,167.86,,B,,,,,,,,,,,,,H,,323-U1339B-19H-CC-nan,d30ab5cc8a7ae7434d5caba7bc53c630
323,U1339,B,20,CC,0,0,177.64,177.64,,R,M,,,,,,R,,,,,overgrowth in C. pelagicus,H,,323-U1339B-20H-CC-nan,acbf84bf602672f23e662c541d4dbfd3
323,U1339,B,21,CC,0,0,187.6,187.6,,B,,,,,,,,,,,,,H,,323-U1339B-21H-CC-nan,f7e365d33c2b7bc0dc4844b59dd6b1d5
323,U1339,B,22,CC,0,0,196.83,196.83,,B,,,,,,,,,,,,,H,,323-U1339B-22H-CC-nan,feabbef419a65632489c9e3f2735752e
