Exp,Site,Hole,Core,Section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Abundance,Alabaminella weddellensis,Brizalina pygmaea,Brizalina earlandi,Brizalina cf. spathula,Bulimina aff. exilis,Bulimina sp.,Cassidulinoides tenuis,Cibicidoides sp.,Cibicidoides cf. subhaidingerii,Eggerella bradyi,Elphidium cf. batialis,Epistominella pulchella,Fursenkoina sp.,Glandulina sp.,Globobulimina pacifica,Globocassidulina sp.,Gyroidinoides soldanii,Hormosinella guttifera,Islandiella norcrossi,Lagena spp.,Lenticulina sp.,Martinotiella communis,Melonis barleanum,Nodosaria spp.,Nodosaria aff. pyrula,Nonionella labradorica,Nonionella turgida,Nonionella turgida digitata,Planulina wuellerstorfi,Procerolagena cf. gracillima,Pullenia sp.,Pullenia bulloides,Pygmaeseistron cf. hispida,Pyrgo sp.,Rhabdammina sp.,Saccammina sp.,Stainforthia aff. fusiformis,Triloculina sp.,Triloculina cf. trihedra,Uvigerina cf. peregrina,Uvigerina auberiana,Valvulineria sp.,Bulimina aff. striata,Bulimina aff. mexicana,Uvigerina cf. proboscidea,Plectofrondicularia sp.,Nodosaria longiscata,Lagena striata,IRD,Other observations,Type
323,U1341,B,1,1,0,0,0,0,VG,A,,P,R,F,A,,,,,,,,,,P,F,,,,,,,,,,,R,,,,,,,,P,,,,P,,,,,,,,,,A,Few sponge spicules,
323,U1341,B,1,CC,,,8.62,8.72,G,R,,,P,P,R,,,,,,R,,P,,,R,P,,R,,,,,,,,,,,,,P,,,,,R,,,R,R,,,,,,,,A,Few sponge spicules,H
323,U1341,B,2,CC,,,18.48,18.58,G,R,,,P,,,,,,,,,P,,,,P,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,Few sponge spicules,H
323,U1341,B,3,CC,,,28.08,28.18,G,R,,,,,P,P,,P,,,,,,,R,P,P,,R,,,,R,,,,P,R,,,,P,,,,,,,,,R,,,,,,,,D,Few sponge spicules,H
323,U1341,B,4,CC,,,37.6,37.7,G,R,,,,,,,R,,,,,,,,P,P,,,,,,,,,,,P,,,,,,,,,,P,,,,P,,,,,,,,D,Few sponge spicules,H
323,U1341,B,5,CC,,,47.04,47.18,M,R,,,,,P,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,,,,,,,,D,Few sponge spicules,H
323,U1341,B,6,CC,,,56.58,56.68,M,A,,,,,P,,,,,R,,,,,P,,P,,F,,,,P,,,,P,,,,,R,,,,,,,,P,A,,,,,,,,A,Few sponge spicules,H
323,U1341,B,7,CC,,,66.08,66.18,M,F,,,,,,,P,,,P,R,P,,,F,P,F,,F,,,,F,,,,,,,,,,,,,,,,,,F,,,,,,,,A,"Few sponge spicules, wood",H
323,U1341,B,8,CC,,,75.65,75.75,M,F,,,,,,,,,,F,,,,,R,,P,,,,,,R,,,,,,,,,P,,,,,P,,,,R,,,,,,,,A,Few sponge spicules,H
323,U1341,B,9,CC,,,85.14,85.24,M,A,,,,,R,,P,,,,,R,,,,,,,A,P,P,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,D,Few sponge spicules,H
323,U1341,B,10,CC,,,94.1,94.2,M,F,,,,,P,,,,,R,F,R,,,,P,P,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,A,Few sponge spicules,H
323,U1341,B,11,CC,,,104.15,104.25,G,A,P,,A,,P,,,,,,,R,,,,R,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,Few sponge spicules,H
323,U1341,B,12,CC,,,113.49,113.59,M,F,,,,,P,,,,,F,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,D,Abundant sponge spicules,H
323,U1341,B,13,CC,,,123.14,123.24,G,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,D,Abundant sponge spicules,H
323,U1341,B,14,CC,,,132.74,132.84,M,D,,,,,,,R,,,R,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,A,Few sponge spicules,H
323,U1341,B,15,CC,,,142.26,142.36,G,R,,,,,,,R,,,P,,,,,R,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,A,Few sponge spicules,H
323,U1341,B,16,CC,,,151.58,151.68,G,P,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,Few sponge spicules,H
323,U1341,B,17,CC,,,158.09,158.19,M,P,,,,,,,,,,P,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,Few sponge spicules,H
323,U1341,B,18,CC,,,166.71,166.81,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,Few sponge spicules,H
323,U1341,B,19,CC,,,176.55,176.65,G,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,Few sponge spicules,H
323,U1341,B,20,CC,,,180.07,180.17,P,F,,,,,,,,,,P,,,,,,,P,,,,,,P,,,,,,,,,P,,,F,,,,,,R,,,,,,,,F,Abundant sponge spicules,H
323,U1341,B,21,CC,,,190.62,190.72,G,F,,,,,,,,,,F,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,A,Abundant sponge spicules,H
323,U1341,B,22,CC,,,199.87,199.97,M,F,,,,,,,,,,R,,,,,F,,P,,,,,,,,,,,,,P,,,,P,,,,,P,,,,,,,,,,A,Few sponge spicules,H
323,U1341,B,23,CC,,,209.68,209.78,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H
323,U1341,B,24,CC,,,218.83,218.93,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,F,"Abundant sponge spicules, pyrite",H
323,U1341,B,25,CC,,,228.42,228.52,M,R,,,,,P,,,,,,,,,,P,,R,,R,,,,,P,,,R,,,,,P,,,,,,,,,,P,,,,,,,F,Abundant sponge spicules,H
323,U1341,B,26,CC,,,238.11,238.21,G,R,,,,,,,,,,R,,R,,R,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,Few sponge spicules,H
323,U1341,B,27,CC,,,247.5,247.6,M,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Abundant sponge spicules,H
323,U1341,B,28,CC,,,257.09,257.19,G,R,,,,,,,,,P,,,,,,R,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,Few sponge spicules,H
323,U1341,B,29,CC,,,265.92,266.02,M,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,F,Abundant sponge spicules,H
323,U1341,B,30,CC,,,276.09,276.19,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,"Abundant sponge spicules, some spicule clumps",H
323,U1341,B,31,CC,,,283.71,283.81,M,R,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,"Abundant sponge spicules, some spicule clumps, angular glass",H
323,U1341,B,32,CC,,,291.56,291.66,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,"Few sponge spicules, some spicule clumps",H
323,U1341,B,33,CC,,,301.13,301.23,G,R,,,,,,,,,,R,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,A,Abundant sponge spicules and clumps,H
