Exp,Site,Hole,"Core,    section",Top Depth [m],Bottom Depth [m],Abundance,Preservation,Actinocyclus curvatulus,Actinocyclus oculatus,Actinoptychus senarius,Asteromphalus brookei,Chaetoceros resting spore,Chaetoceros vegetative spore,Coscinodiscus marginatus,Delphineis surirella,Eunotia spp.,Neodenticula koizumii,Neodenticula seminae,Nitzschia spp.,Paralia sulcata,Porosira glacialis,Proboscia barboi,Proboscia curvirostris,Pyxidicula horridus,Pyxidicula turris,Pyxidicula zabelinae,Rhabdonema spp.,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. hiemalis,Rhizosolenia spp.,Thalassiosira antarctica spore,Thalassiosira antiqua,Thalassiosira cf. leptopus,Thalassiosira jouseae,Thalassiosira latimarginata,Thalassiosira oestrupii,Thalassiothrix longissima,"Diatom Zone (Yanagisawa and Akiba, 1998)",Core,Section,Type,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1342,B,1H-CC,5.14,5.33,R-F,P,F,,,,,,R,,,,R,,C,,,,,,,,F,D,,F,,,R,F,,C,Neodenticula seminae Zone (NPD12),1,CC,H,,,,323-U1342B-1H-CC-nan,c53a47594cf68687b9acb6ab27edf877
323,U1342,B,2H-CC,14.81,15.08,F,P,C,,,,F,F,F,,,,A,,,,,F,,,,R,R,R,F,F,,,R,C,R,R,Proboscia curvirostris Zone (NPD11),2,CC,H,,,,323-U1342B-2H-CC-nan,55e761f5f9e07035b3003190220b3517
323,U1342,B,3H-CC,24.46,24.81,F,M,C,,R,R,,R,C,,R,,C,R,R,R,,F,,C,,,F,R,,A,R,,R,C,,F,Proboscia curvirostris Zone (NPD11),3,CC,H,,,,323-U1342B-3H-CC-nan,2ba731dad74be4c5e721d69b42a20e86
323,U1342,B,4H-CC,33.8,34.07,C,M,F,R,,,,,C,R,,,A,,,R,C,C,,,,,R,C,F,F,,R,,C,,R,Proboscia curvirostris Zone (NPD11),4,CC,H,,,,323-U1342B-4H-CC-nan,cbffbdc3ce419984171114e3857533bd
323,U1342,B,5H-CC,43.5,43.74,C,M,A,F,,,,,R,,,F,C,,,,C,R,C,F,F,,,,,,R,,,C,,,N. koizumii Zone (NPD9) ?,5,CC,H,,,,323-U1342B-5H-CC-nan,a60f1acf596d5149084e72bd629a1be0
323,U1342,B,7H-CC,55.64,55.64,R,P,C,C,,,,,,,,,A,,C,,,C,,,,,,C,,,,C,,C,,,undefined,7,CC,H,,,,323-U1342B-7H-CC-nan,763433a006b1247151281492e9cff5a3
