Exp,Site,Hole,Core,Type,Section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Abundance,Brizalina earlandi,Brizalina cf. spathula,Bulimina aff. exilis,Cassidulina sp.,Cassidulina laevigata var. carinata,Cassidulinoides tenuis,Cibicidoides sp.,Cibicidoides cf. subhaidingerii,Cribrostomoides subglobosus,Eggerella bradyi,Elphidium cf. batialis,Epistominella pulchella,Fissurina sp,Glandulina sp.,Globobulimina auriculata,Globobulimina pacifica,Globocassidulina sp.,Gyroidinoides soldanii,Islandiella norcrossi,Lagena spp.,Lenticulina sp.,Nodosaria spp.,Nonionella labradorica,Nonionella turgida digitata,Procerolagena cf. gracillima,Pullenia sp.,Pyrgo sp.,Rhabdammina sp.,Triloculina sp.,Triloculina cf. trihedra,Uvigerina cf. peregrina,Uvigerina auberiana,Valvulineria sp.,Comments,A/W,Sample,eodp_id
323,U1343,C,1,H,1,0,0,0,0,G,R,P,,R,,,,,,R,P,,,,,,R,P,,P,,,,R,P,P,,,,,,P,,P,,,323-U1343C-1H-1-nan,d148a6449e1044e6dc19eedefafed001
323,U1343,C,1,H,CC,5,15,7.14,7.24,G,A,,,F,,R,,,,,,A,,,,,F,,,R,,,P,P,,,R,,,P,,,R,R,MICA,,323-U1343C-1H-CC-nan,f6e5552f96f47d1512aa2179033c913f
323,U1343,C,2,H,CC,5,15,16.57,16.67,G,F,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,P,P,"PYRITE TUBES, MICA, RARE GLAUCONITE",,323-U1343C-2H-CC-nan,84d6d71840d64c8cd8859f79d4fe77c5
323,U1343,C,3,H,CC,14,24,26.5,26.6,G,A,,,,,,,,,,,F,,,,,F,,,P,,,,R,,,,,,,,,,,"PYRITE TUBES, MICA",,323-U1343C-3H-CC-nan,035746a19d6c0bf62e2eca680189a0c2
323,U1343,C,4,H,CC,21,31,36.3,36.4,G,A,,,A,,R,,,,,,,,,,,A,,,P,,,,F,,,,,,,,F,A,,"PYRITE TUBES, MICA",,323-U1343C-4H-CC-nan,9578af5a86bd8c1d6585b8cd49d1b6b3
323,U1343,C,5,H,CC,19,29,44.65,44.75,M,A,,,R,,,,,,,,,,,,,,,P,P,,,,P,,P,F,,,,,,R,,"PYRITE TUBES, MICA",,323-U1343C-5H-CC-nan,59d5cf022f09c9cbaeb25f915245e3ea
323,U1343,C,6,H,CC,25,35,55.41,55.51,G,F,,,R,,,,,,,,R,P,,,,R,,,,,,P,R,,,,,,,,,,,MICA,,323-U1343C-6H-CC-nan,920fa8a3dc84e84e0d196f4a502eb484
323,U1343,C,7,H,CC,33,43,63.81,63.91,M,R,,,,,,R,,,,,,,,,,P,,,R,,P,,,,,,,,,P,,,,,,323-U1343C-7H-CC-nan,9a10ed6ccd9b6b672345fea0b4767d9a
323,U1343,C,8,H,CC,29,39,70.58,70.68,G,A,,,R,,,P,,,,,D,,,,,A,,,A,,,,P,,,,,,P,,R,F,,"PYRITE TUBES, MICA",,323-U1343C-8H-CC-nan,6b5026740d2d897f2fd8f501871fdbc6
323,U1343,C,9,H,CC,39,49,78.25,78.35,G,F,,,,,,R,,,,,F,,,,,P,,,F,,,,R,,,,,,,,P,F,,"PYRITE TUBES, MICA",,323-U1343C-9H-CC-nan,0188fc5975f4e8af8ce6c7b91fc5d1db
