Exp,Hole,Core,Type,Section,Top Depth [m],Foraminiferal preservation,Foraminiferal abundance,Planktic foraminiferal (%),Globigerina spp.,Globigerina bulloides,Globigerina falconensis,Globigerinella aequilateralis,Globigerinita glutinata,Globigerinoides ruber,Globoconella inflata,Globoconella puncticuloides,Neogloboquadrina dutertrei,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Orbulina universa,Turborotalita spp.,Turborotalita quinqueloba,Truncorotalia crassaformis,Truncorotalia truncatulinoides,Zeaglobierina woodi,Bryozoa fragments,Echinoid plate fragments,Echinoid spines,Fish teeth,Micro-mollusks,Ostracods,Otoliths,Radiolarians,Shell fragments,Sponge spicules,Comments,Site,Top [cm],Bottom [cm],Bottom Depth [m],A/W,Sample,eodp_id
317,A,1,H,1,0.00,G,A,53,X,X,,,,,X,,X,X,,X,X,X,,,,,,,,,F,,,,C,,U1354,,,,,317-U1354A-1H-1-nan,2aba63b73b7f9f06fda6a49fb567d24b
317,A,1,H,CC,3.78,G,A,1,X,,,,,,X,,,X,,,X,X,,,,,F,F,,F,F,,,D,,,U1354,,,,,317-U1354A-1H-CC-nan,952addcbb26279addf4f68e83a618db9
317,A,2,H,CC,12.26,G,A,3,X,X,,,X,,X,,X,X,,,X,X,,,,,,C,,C,C,,,A,,,U1354,,,,,317-U1354A-2H-CC-nan,5387619bec5b40014a57ca690845e9e7
317,A,3,H,CC,13.99,G,A,,,,,,,,,,,,,,,,,,,,,F,R,,F,,,D,,no planktics,U1354,,,,,317-U1354A-3H-CC-nan,4a0f8b035aea43a640b255b73054dc50
317,A,4,H,CC,14.30,G,A,2,X,,,,,,X,,,X,X,,X,,,,,,,F,,A,F,,,D,,,U1354,,,,,317-U1354A-4H-CC-nan,f9e1769f08950986fd152f6ade0bbb4a
317,A,5,H,CC,14.69,G,A,43,X,X,,,,,,,,X,X,X,X,X,,,,,F,F,,F,F,,,D,F,,U1354,,,,,317-U1354A-5H-CC-nan,c144cf3db80c41bad1ac5fb303f0eaf1
317,A,6,H,CC,24.25,G,C,<1,,X,,,,,,,,,,,,,,,,,R,,,,R,,,C,,,U1354,,,,,317-U1354A-6H-CC-nan,ae3b4188bc96a0ba00858b5892bccfdd
317,A,7,H,CC,31.33,G,C,1,,,,,,,,,,,,,,,,,,,,,R,,R,,,D,,,U1354,,,,,317-U1354A-7H-CC-nan,81a06a215ebe8706f744e7273ce2b89b
317,A,8,H,CC,38.14,G,A,51,X,X,,,,,X,X,,X,X,,X,X,,X,,,,,,,C,,,A,,,U1354,,,,,317-U1354A-8H-CC-nan,add6b09fa2d169f5adc2deaec4e29121
317,A,9,H,CC,46.88,G,A,15,X,X,,,,,X,,,X,,X,X,X,,,,,,R,,,F,,,A,,,U1354,,,,,317-U1354A-9H-CC-nan,42111ea709459569745faa6552e30306
317,A,10,H,CC,53.76,G,A,22,X,X,,,,,X,,,X,X,X,,X,,X,,,,,,,F,,,A,,,U1354,,,,,317-U1354A-10H-CC-nan,55a25c29957fd34f0db3e9ec2a28e233
317,A,11,H,CC,60.14,G,A,12,X,X,,X,cf,,X,,,X,,X,,X,,,,,,,,,F,,,A,,,U1354,,,,,317-U1354A-11H-CC-nan,04613170b7156e4786852f8fe7ebeaf0
317,A,12,H,CC,64.90,G,A,5,X,X,,,,,X,,,X,X,,X,X,,,,,,,,,F,,A,A,,,U1354,,,,,317-U1354A-12H-CC-nan,18da3ad5b27132bbf3e30a2cbccbe651
317,A,13,H,CC,73.54,G,A,2,X,X,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,U1354,,,,,317-U1354A-13H-CC-nan,f4a6eb44a5aec9cac4628f2829fc0da9
317,A,14,H,CC,76.23,G,A,2,X,X,,,,,X,,,X,X,,X,X,,,,,,,,,R,,,A,,,U1354,,,,,317-U1354A-14H-CC-nan,7ac49d7cf21703d3689fb5baa24edff8
317,A,15,H,CC,76.20,G,A,<1,X,,,,X,,,,,X,X,,,X,,,,,,,,,R,,,A,,,U1354,,,,,317-U1354A-15H-CC-nan,303a2de924f888963526b98b56b3bc70
317,A,17,H,CC,80.16,G,A,<1,X,,,,,,,,,,,,,,,,,,,F,,,F,,,D,,,U1354,,,,,317-U1354A-17H-CC-nan,24af184753e87e3b515aa371fbc5251d
317,A,18,H,CC,80.33,G,A,6,X,,,,,,X,,,X,X,,,X,,,,,,,,F,F,,,A,,,U1354,,,,,317-U1354A-18H-CC-nan,4f09387b115b399c646f54185e66b932
