Exp,Hole,"Core, section, interval (cm)",Top Depth [m],Preservation,Abundance,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Ceratolithus telesmus,Clausicoccus fenestratus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Coronocyclus nitescens (ellipical),Cyclicargolithus abisectus,Cyclicargolithus floridanus,Dictyococcites antarcticus,Dictyococcites (<3 µm),Discoaster altus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster signus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Emiliania huxleyi,Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa omega,Gephyrocapsa (>5.5 µm),Hayella challengeri,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera granulata,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera obliqua,Helicosphaera sellii,Neosphaera coccolithomorpha,Nicklithus amplificus,Orthorhabdus spp.,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi,Reticulofenestra daviesii,Reticulofenestra haqii,Reticulofenestra pseudoumbilicus,Scyphosphaera pulcherrima,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus grandis,Sphenolithus heteromorphus,Sphenolithus moriformis,Syracosphaera pulchra,Triquetrorhabdulus carinatus,Triquetrorhabdulus milowii,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Section,Core,Type,Top [cm],Bottom [cm],Site,Bottom Depth [m],A/W,Sample,eodp_id
321,A,1H-CC,0.14,M,A,,,,C,,,,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,A,A,C,,,,R,,,,R,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,CC,1,H,,,U1337,,,321-U1337A-1H-CC,20e1e55d2df7e58e0790c38738332d1b
321,A,"2H-4, 35",10.35,M,A,,,,C,,,,,,R,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,D,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,H,35,,U1337,,,321-U1337A-2H-4,34ce60345da8bd2cfe8a962cbf680cd1
321,A,"2H-5, 19",11.69,M,A,,,,C,,,,,,R,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,D,F,R,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,5,2,H,19,,U1337,,,321-U1337A-2H-5,65fc0091b08dc51f105f5e6991b45dae
321,A,2H-CC,15.44,M,A,,,,C,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,D,C,R,,,,R,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,CC,2,H,,,U1337,,,321-U1337A-2H-CC,3b63d6a3ba341f7a2fa6f881469f3c12
321,A,"3H-3, 16-17",18.16,M,A,,,,C,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,A,,,,,R,,,,,,,,,,,,,C,,F,,,,,,,,,,,,,,,,,,,,,3,3,H,16,17,U1337,,,321-U1337A-3H-3,67cbad2d16d79e38c137e9347f41045f
321,A,"3H-5, 115-116",22.15,M,A,,,,C,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,A,,,,,F,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,5,3,H,115,116,U1337,,,321-U1337A-3H-5,3475459b6c2fde8b7a86dde6da6c452e
321,A,3H-CC,24.91,P,C,,,,C,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,A,,1?,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,CC,3,H,,,U1337,,,321-U1337A-3H-CC,6ac131411c14cb4812c563bd22be6c78
321,A,"4H-3, 94-96",28.45,P,C,,,,C,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,A,,,,F,,,,,,,,,,,,,,,,,,,3,4,H,94,96,U1337,,,321-U1337A-4H-3,36e9cb755451e29f19a2f473244b73b9
321,A,"4H-5, 9-11",30.6,P,C,,,,C,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,C,,,,C,,,,,,,,,,,,,,,,,,,5,4,H,9,11,U1337,,,321-U1337A-4H-5,514d0f3bc1f170158950d8ef2f626975
321,A,4H-CC,34.44,P,C,,,,C,F,,,,,F,,,,,F,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,R,,,,,,,,,,F,,,,,,R,,,,,R,R,C,,,,C,,,,,,,,,,,,,,,,,,,CC,4,H,,,U1337,,,321-U1337A-4H-CC,938b3757fc5b4dc8a523ace3b89227e8
321,A,"5H-2, 111-113",36.61,P,C,,,,F,R,,,,,F,,,,,C,,,,,,A,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,A,,,,C,,,,,,,,,,,,R,,,,,,,2,5,H,111,113,U1337,,,321-U1337A-5H-2,a2d39448053d740540416e470870d4fc
321,A,"5H-4, 111-113",39.61,P,F,,,,F,R,,,,,,,,,,C,,,,,,A,,,,,,,C,,,,,,,,,R,,,,,F,,,,,,,,,,,,R,,,,,,,,,,,,,A,,,,C,,,,,,,,,,,,,,,,,,,4,5,H,111,113,U1337,,,321-U1337A-5H-4,b967a462504aa3cb470beefdb80cd7cf
321,A,5H-CC,43.8,P,F,,,,F,F,,,,,,F,,,,,,,,,,,,R,,,,,C,,,,,,,,,,,,,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,CC,5,H,,,U1337,,,321-U1337A-5H-CC,f372db0bd040039b1c9cdfbf49cdcebf
321,A,"6H-2, 16-18",45.16,P,F,,,,C,F,,,,,,,,,,,,,,,,A,,R,,,,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,F,,,,,,,,,,,,,F,,,,C,,,,,,,,,,,,,,,,,R,,2,6,H,16,18,U1337,,,321-U1337A-6H-2,7c4ab0316183cbe3bb5bdca12912d179
321,A,"6H-6, 129-131",52.3,P,F,,,,C,F,,,,,,R,,,,F,,,,,,A,,R,,,,,C,,,,,,,,,R,,,,,C,R,,F,,,,,,,,,F,,,,,,,,,,,,,F,,,,C,,,,,,,,,,,,,,,,,R,,6,6,H,129,131,U1337,,,321-U1337A-6H-6,8938191f42dfb231150a6418046b3f55
321,A,6H-CC,53.45,P,C,,,,C,F,,,,,,F,,,,,,,,,,,,F,,,,,C,,,,,,,,,R,,,,,C,F,R,R,,,,,,,,,,,,,,,,,,,,R,,,,,,A,,,1,,,,,,,,,,,,,,,,CC,6,H,,,U1337,,,321-U1337A-6H-CC,fd5903f0da792edc899b602126675d3a
321,A,"7H-1, 99",53.99,P,F,,,,C,F,,,,,,C,,,,,,,,,,D,,F,,,,,F,,,,,,,,,R,,,,,F,,,R,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,R,,1,7,H,99,,U1337,,,321-U1337A-7H-1,e303ef3036a3db0cb5526f4dfca50e06
321,A,"7H-4, 90",58.4,P,F,,,,C,C,,,,,,C,,,,,,,,,,A,,C,,,,,C,,,,,,,,,C,,,,,F,,,F,,,,,,,,,R,,,,,,,,,,,,,F,,,,F,C,,F,,,,,,,,,R,,,,,,,4,7,H,90,,U1337,,,321-U1337A-7H-4,5166949ca30ee94db47c81471be91296
321,A,7H-CC,62.86,P,F,,,,C,F,,,,,,F,,,,,,,,,,F,,R,,,,,F,,,,,,,,,R,,,,,F,R,,F,,,,,,,,,R,,,,,,,,,,,,,,,,,F,F,,F,,,,,,,,,,,,,,R,,CC,7,H,,,U1337,,,321-U1337A-7H-CC,98e8715ca30dd83aa27d7fd0e3957ee2
321,A,"8H-2, 119-121",65.19,P,C,,,,C,R,,,,,,F,,,,,,,,,,A,,R,,,,,C,,R,,,,,,,F,,,,,F,,,F,,,,,,,,,R,,,,,,,,,,,,,,,,,F,C,,A,,,,,,,,,,,,,,,,2,8,H,119,121,U1337,,,321-U1337A-8H-2,ddd1897c2b119c1a21a8e648e18cd0d7
321,A,"8H-4, 110",68.1,P,C,,,,C,F,,,,,,F,,,,,,,,,,A,C,,,,,,C,,R,,,,,,,R,,,,,F,,,F,,,,,,,,,R,,,,,,,,,,,,,,,,,,C,,C,,,,,,,,,,,,,,,,4,8,H,110,,U1337,,,321-U1337A-8H-4,49d55b23ee254239305f26fa4f5c0226
321,A,8H-CC,71.55,P,F,,,,C,R,,,,,,C,,,,,,,,,,C,F,,,,,,C,,,,,,,,,F,,,,,F,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,R,C,,C,,,,,,,,,,,,,,,,CC,8,H,,,U1337,,,321-U1337A-8H-CC,3cf76b369c18fe21dd21f9cfa7ee5cc3
321,A,"9H-3, 105",76.05,P-M,C,R,,,C,F,,,,,,C,,,,,,,,,F,A,C,,,,,,C,,R,,,,,,,F,,,,,C,,R,C,,,,,,,,,R,,,,,,,,,,,,,,,,,A,C,,A,,,,,,,,,,,,,,,,3,9,H,105,,U1337,,,321-U1337A-9H-3,78efa578d642f4fa8af9d6064c7ce836
