Exp,Site,Hole,Core,Type,Section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],ostracod,Krithe sp.,Argilloecia sp.,Cytheropteron spp.,A/W,Sample,eodp_id
323,U1344,A,3,H,CC,13,23,28.62,28.72,,F,R,,,323-U1344A-3H-CC-nan,27fdc7574271f0266636726e86fd15c7
323,U1344,A,5,H,CC,44,54,47.51,47.61,P,,,,,323-U1344A-5H-CC-nan,495360ccd1e4c1717d28b9e27d1af4b4
323,U1344,A,22,H,CC,28,38,208.73,208.83,P,,,,,323-U1344A-22H-CC-nan,fbc361f018070564880132e7502a22fb
323,U1344,C,3,H,CC,0,15,26.25,26.4,,R,,,,323-U1344C-3H-CC-nan,ae8c2e6c0ec184125e531065a11cf1ea
323,U1344,C,4,H,CC,35,45,35.45,35.55,,P,,,,323-U1344C-4H-CC-nan,16e003b611ddcd1242b6a0c3940d033a
323,U1344,D,13,H,CC,55,65,116.6,116.7,P,,,,,323-U1344D-13H-CC-nan,84e13c95c21d3a7fe64a84bdba354421
323,U1344,D,14,H,CC,33,43,126.28,126.38,R,,,,,323-U1344D-14H-CC-nan,9b4cc69370a4438cc3cc81aebf75c714
323,U1344,E,5,H,CC,29,39,43.72,43.82,,P,,P,,323-U1344E-5H-CC-nan,b44c5c95948d764b96fd95237412c301
