Exp,Hole,Core,Type,Section,Half,Top [cm],Bottom [cm],Top Depth [m],Preservation,Group abundance,REMARKS,Braarudosphaera bigelowi,Braarudosphaera sp.,Calcidiscus leptoporus,Calcidiscus tropicus,Calcidiscus tropicus (>10 µm),Chiasmolithus altus,Chiasmolithus sp.,Coccolithus formosus,Coccolithus pelagicus,Coccolithus pelagicus f. braarudii,Coccolithus streckeri,Crenalithus doronicoides,Cricolithus jonesii,Cyclicargolithus abisectus (10-11 μm),Cyclicargolithus abisectus (>11 μm),Cyclicargolithus floridanus,Dictyococcites antarcticus,Dictyococcites bisectus,Dictyococcites productellus (<3 μm),Dictyococcites productellus (3-5 μm),Dictyococcites stavensis (10-14 μm),Discoaster deflandrei,Discoaster sp.,Emiliania huxleyi,Emiliania pujosae,Gephyrocapsa aperta,Gephyrocapsa caribbeanica (3-4 μm),Gephyrocapsa caribbeanica (4-5.5 μm),Gephyrocapsa caribbeanica (5.5-6.5 μm),Gephyrocapsa crassipons,Gephryocapsa ericsonii,Gephyrocapsa oceanica (3-4 μm),Gephyrocapsa oceanica (4-5.5 μm),Gephyrocapsa omega,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera inversa,Helicosphaera omanica,Helicosphaera scissura,Helicosphaera cf. sellii,Helicosphaera sellii,Helicosphaera vedderi,Helicosphaera wallichii,Isthmolithus recurvus,Minylitha convalis,Pontosphaera discopora,Pontosphaera japonIca,Pontosphaera multipora,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Pseudoemiliania pacifica,Pseudoemiliania sp.,Pyrociclus sp.,Reticulofenestra ampla,Reticulofenestra daviesi,Reticulofenestra dictyoda,Reticulofenestra filewiczii,Reticulofenestra gelida (8-10 µm),Reticulofenestra gelida (>10 μm),Reticulofenestra haqii (<3 μm),Reticulofenestra haqii (3-5 μm),Reticulofenestra minuta (<3 μm),Reticulofenestra minutula,Reticulofenestra minutula (circular),Reticulofenestra pseudoumbilicus (8-10 μm),Reticulofenestra pseudoumbilicus (>10 μm),Reticulofenestra reticulata,Reticulofenestra rotaria (elliptical),Reticulofenestra sp.,Reticulofenestra umbilicus (10-14 µm),Scyphosphaera sp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus cf. belemnos,Sphenolithus moriformis,Sphenolithus neoabies,Syracosphaera spp.,Thoracosphaera spp.,Transversipontis pulcheroides,Umbilicosphaera cricota,Umbilicosphaera jafarii,Umbilicosphaera rotula,Umbilicosphaera sp.,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Site,Bottom Depth [m],A/W,Sample,eodp_id
317,A,1,H,CC,,,,5.44,G,C,,,,P,,,,,,P,,,R,R,,,,P,,,R,,,,C,R,R,,,,,,F,,?P,R,,,,?P,,,,,,,,,,,,,,,,,P,,,,,P,A,R,P,,,,,,,,,,,,,,,?P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1353,,,317-U1353A-1H-CC-nan,942739dc601574d5e565b6e4c6640388
317,A,2,H,CC,,,,9.18,G,R,,,R,,,,,,,,,,P,,,,,,,,P,,,,R,F,R,,,,,,F,,P,P,,,,,,,,,,,,,,,,,,,,,P,,,,,R,C,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1353,,,317-U1353A-2H-CC-nan,1033619299a5607763cbce057ca63a4d
317,A,3,H,CC,,,,17.95,G,R,,,P,,,,,,,,,,P,,,,,,,,P,,,,R,,F,,,,R,,F,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1353,,,317-U1353A-3H-CC-nan,ff8ff419990977669cea06589ebf1015
317,A,4,H,CC,,,,26.72,G,F,,,,,,,,,,F,F,P,,,,,,,,,,,,,P,,C,F,,,C,,P,,,,,,,?P,,,,,,,,,,,,,,,,,P,,R,,,R,F,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1353,,,317-U1353A-4H-CC-nan,69d4a75ce45be1e1341c62ef2416e1f1
317,A,5,H,CC,,,,34.08,G,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1353,,,317-U1353A-5H-CC-nan,46943115ff29321543926d2754fb9c64
317,A,6,H,CC,,,,41.37,G,F,,,,,,,,,,R,R,P,,,P,,,,,,P,,,,?P,,C,A,,,,,C,,,P,,,,,,,,,,,,,,,,,,,P,,P,,P,,,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1353,,,317-U1353A-6H-CC-nan,10da9384af8f771456878a82c6efb487
317,A,7,H,CC,,,,48.33,G,C,,,,P,,,,,,C,C,P,,,,,,,,,,,P,,,,,C,,,F,,,,,P,,,,,,,,,,,,,,,,,,,P,,P,,,,,R,C,F,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1353,,,317-U1353A-7H-CC-nan,8342e28bf1e215de0682fd311e7623c5
317,A,8,H,CC,,,,55.97,G,A,,,,R,,,P,,,,R,,,R,,,,P,P,,P,,,,,,D,C,,,A,,C,,,R,,F,P,,,,,,,,,P,,,,,?P,,F,,R,,,,,,C,F,,,P,R,,,,,,,,P,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1353,,,317-U1353A-8H-CC-nan,cfd970a7c9daad22cb38e22420a15a60
317,B,1,H,CC,,,,7.94,G,F,,R,,P,,,,,P,P,,,,,,,P,,,,,,,,F,R,C,F,,,,,F,R,F,R,,,R,,,,,,,,,,,,,,,,R,P,P,,P,,R,R,C,F,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1353,,,317-U1353B-1H-CC-nan,885abcb139180b213598c80c5bdf5eed
317,B,2,H,CC,,,,16.9,G,F,,,,R,,,,,,R,R,,,,,,R,,,,,F,,,F,,C,,,,C,F,F,,,R,,,,,,,,,,,,,,,,,,,R,,P,,,,,R,F,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1353,,,317-U1353B-2H-CC-nan,12903fce71c41e8e7bb47121ee40dfa2
