Exp,Site,Hole,Core,Type,Section,Top Depth [m],Bottom Depth [m],Preservation,Picea,Pinus,Trees,Shrubs,Herbs,Total pollen,Spores of Sphagnum,Spores of Pteridophytes,Botryococcus + Pediastrum,Hallodinium,Tintinids,Reworked palynomorphs,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1343,A,1,H,CC,5.4,5.5,G,F,R,C,R,R,C,R,R,F,R,R,R,,,,323-U1343A-1H-CC-nan,174b1f42df9e70d8473a31ff2c9d1730
323,U1343,A,3,H,CC,24.6,24.7,G,C,R,C,R,,C,F,F,R,R,,R,,,,323-U1343A-3H-CC-nan,bebeea8cae9bff5ad7a8f5da6466a5cd
323,U1343,A,5,H,CC,43.9,44.0,G,C,,C,,R,C,F,F,R,,,R,,,,323-U1343A-5H-CC-nan,0f2b6ab5627a25a03b12baad72be7128
323,U1343,A,7,H,CC,62.2,62.3,G,F,R,A,R,,A,C,A,C,,,F,,,,323-U1343A-7H-CC-nan,4e5ccabca7670d1d3c22d97c83bb4dc9
323,U1343,A,8,H,4W,67.3,67.4,G,C,R,C,R,R,C,R,R,R,R,,,,,,323-U1343A-8H-4W-nan,d5f57aeed4bc34aed04eee994b90163f
323,U1343,A,9,H,CC,81.9,82.0,G,C,R,C,R,,C,C,C,,,,R,,,,323-U1343A-9H-CC-nan,a44a2f4adbced5759ce7af2b61d3f692
323,U1343,A,10,H,6W,89.2,89.3,G,R,,R,R,R,F,R,R,R,,,,,,,323-U1343A-10H-6W-nan,c29ba1cc16ecef6346d545f636aad6df
323,U1343,A,11,H,CC,100.5,100.6,G,C,,C,F,,C,C,F,C,,,C,,,,323-U1343A-11H-CC-nan,21057fdef55d24c6b29a45bc51185c77
323,U1343,A,12,H,7W,109.5,109.6,G,F,,F,C,R,C,C,,C,,,R,,,,323-U1343A-12H-7W-nan,43fea85271ed91e11fe0dad27863271d
323,U1343,A,13,H,CC,119.3,119.4,G,C,,C,F,R,C,C,F,F,,,R,,,,323-U1343A-13H-CC-nan,3b9a7a5ca5ad46c30654611e2b8b9c0e
323,U1343,A,15,H,CC,139.1,139.2,M,C,,C,R,R,C,R,R,,,,F,,,,323-U1343A-15H-CC-nan,4bf61c1ba274251e49455fa8746dc573
323,U1343,A,17,H,CC,157.3,157.4,M,,,,R,R,F,R,,F,,,F,,,,323-U1343A-17H-CC-nan,cef99424b02a38d8d89f09a7d0cfe53a
323,U1343,A,19,H,CC,173.8,173.9,P,R,,R,R,R,F,R,R,R,,,R,,,,323-U1343A-19H-CC-nan,15a8a45e2ac489c73d084ec9a1f0855d
323,U1343,A,21,H,CC,191.5,191.6,M,F,,F,R,,F,R,,,,,C,,,,323-U1343A-21H-CC-nan,c648c53b463efc1088bd244f459c0a04
323,U1343,A,22,H,CC,201.7,201.8,M,C,F,C,C,R,C,C,R,C,,,C,,,,323-U1343A-22H-CC-nan,21ea9ef03fc48a79ac3df46c943f73c8
323,U1343,E,2,H,CC,17.7,17.8,G,C,R,C,F,R,C,R,C,R,,,F,,,,323-U1343E-2H-CC-nan,4478925eb31523f43c4967e344a9a6bf
323,U1343,E,4,H,CC,37.1,37.2,G,F,,F,R,R,C,,R,F,,,R,,,,323-U1343E-4H-CC-nan,e8b6afcfefeb254f93fb087995780827
323,U1343,E,6,H,CC,55.5,55.6,M,C,R,C,F,R,C,C,C,F,,,R,,,,323-U1343E-6H-CC-nan,26b7f7bc779660a94a7a4401eeff8c0d
323,U1343,E,8,H,CC,74.8,74.9,M,R,R,R,R,,F,R,R,R,,,R,,,,323-U1343E-8H-CC-nan,fdadf8926e08afeac37ac05cbb7c9626
323,U1343,E,10,H,CC,90.9,91.0,G,F,,C,R,R,C,C,R,C,,R,F,,,,323-U1343E-10H-CC-nan,ba20c18d074d79efb1985ffbc9105c84
323,U1343,E,12,H,CC,106.6,106.7,G,C,,C,R,R,C,R,R,R,,,R,,,,323-U1343E-12H-CC-nan,35a3f809e537a8e32b8ef4fd74e339dc
323,U1343,E,14,H,CC,116.0,116.1,G,C,R,C,R,,C,C,R,R,,,R,,,,323-U1343E-14H-CC-nan,957cc92fdf596994a50db50903ccec3f
323,U1343,E,16,H,CC,129.5,129.6,G,A,R,A,F,,A,F,C,C,,,R,,,,323-U1343E-16H-CC-nan,f839794008eaec37e97e56e254da6cb8
323,U1343,E,18,H,CC,148.2,148.3,G,C,,C,R,R,C,F,R,R,,,R,,,,323-U1343E-18H-CC-nan,8f273460fa0e560490da9ea3a9b46aba
323,U1343,E,20,H,CC,164.9,165.0,M,R,,R,,,R,R,R,R,,,R,,,,323-U1343E-20H-CC-nan,3a559331c6cad9044e9a8a806fec60ce
323,U1343,E,22,H,CC,183.8,183.9,G,,,,R,,R,R,,,,,,,,,323-U1343E-22H-CC-nan,e16bcbbca07d1cac1875ec76e1eb9230
323,U1343,E,24,H,CC,197.5,197.6,G,,,,R,R,F,C,,C,,,R,,,,323-U1343E-24H-CC-nan,9d9539165b8cfbc2c67d881342a45474
323,U1343,E,26,H,CC,217.0,217.1,G,R,R,F,R,,F,F,C,F,,,R,,,,323-U1343E-26H-CC-nan,86a0b1b45d0540de1ee4776d6d109d1d
323,U1343,E,28,H,CC,234.7,234.8,M,F,R,F,R,R,C,F,R,C,,,R,,,,323-U1343E-28H-CC-nan,8c6984fb81313cea0133202941ba3185
323,U1343,E,30,H,CC,254.2,254.3,M,C,,C,F,,C,R,F,R,,,R,,,,323-U1343E-30H-CC-nan,d8a6c746ee1a32cff601724527b70e74
