Exp,Site,Hole,Core,Type,Section,Secton Half,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Abundance,Alabaminella weddellensis,Brizalina cf. spathula,Brizalina earlandi,Brizalina pygmaea,Bulimina aff. exilis,Bulimina aff. mexicana,Bulimina sp.,Cassidulina laevigata var. carinata,Cassidulina sp.,Cassidulinoides tenuis,Cibicidoides cf. subhaidingerii,Cibicidoides sp.,Dentalina sp.,Elphidium cf. batialis,Epistominella pulchella,Fissurina sp,Glandulina sp.,Globobulimina auriculata,Globobulimina pacifica,Globocassidulina sp.,Gyroidinoides soldanii,Islandiella norcrossi,Lagena spp.,Lenticulina sp.,Nodosaria aff. pyrula,Nodosaria spp.,Nonionella labradorica,Nonionella turgida digitata,Oridorsalis umbonatus,Planulina wuellerstorfi,Procerolagena cf. gracillima,Pullenia bulloides,Pullenia sp.,Pygmaeseistron cf. hispida,Pyrgo sp.,Quinqueloculina sp.,Reophax dentaliniformis,Triloculina cf. trihedra,Triloculina sp.,Uvigerina auberiana,Uvigerina cf. peregrina,Valvulineria sp.,Comments,A/W,Sample,eodp_id
323,U1343,E,1,H,1,,0,0,0,0,G,A,,P,P,,P,,,,,,,,,R,,,,,F,,,P,,,,,A,P,,,,P,,P,,,F,,,,P,,MICA,,323-U1343E-1H-1,aa476f6cfd49c6d69c2206f873e6036a
323,U1343,E,1,H,CC,,3,13,8.12,8.22,G,D,,,,,P,,,,,,,,,D,,,,,P,,,A,,,,,F,R,,,,,,,,,,,,,R,,rare sponge spicules,,323-U1343E-1H-CC,cc9b07be740f2cbc2af69f025dee7ce1
323,U1343,E,2,H,CC,,0,10,17.7,17.8,M,A,,,,,,,,,,,,,,A,,P,,,R,,,R,,,,,,,,,,,P,,,,,,,,,,,,323-U1343E-2H-CC,d8cdf3678160e845aa8f8b03264cf9de
323,U1343,E,3,H,CC,,10,20,26.3,26.4,M,A,,,,,,,,,,,,,,A,,P,,,R,,,P,,,,,P,,,,,,,,,,,,,P,,,PYRITE TUBES,,323-U1343E-3H-CC,48a549012564583050b279a43ad057b3
323,U1343,E,4,H,CC,,23,33,37.07,37.17,M,A,,,,,P,,,F,,P,,,,P,,,,P,F,,,F,,,,,R,R,,,,,,,,,,,,,,,"PYRITE TUBES, YELLOW PLANK",,323-U1343E-4H-CC,8898affce5e59fa95110c41f3cfdf071
323,U1343,E,5,H,CC,,17,27,42.96,43.06,G,D,P,,,,A,,,,,A,,,,F,,,,,D,,,F,,,P,,,,,,,,P,,P,,,,,,P,,,,323-U1343E-5H-CC,84bbb73db6c88593cb1c7957286faed7
323,U1343,E,6,H,CC,,23,33,55.45,55.55,M,A,,,,,P,,,,,,,,,A,,,,,,,,F,,,,,,,,,,,P,,,,,,,P,,,"PYRITE TUBES, MUTANTS",,323-U1343E-6H-CC,d296ad1d26ef4ffc9b7b325574914c0d
323,U1343,E,7,H,CC,,45,55,63.9,64,M,D,,,,,F,,,,P,A,,,,A,,,,,F,,,,,,,,F,P,,,,,F,,,,,,,P,F,,"PYRITE TUBES, YELLOW FORAMS",,323-U1343E-7H-CC,b53d6e95f3142f3e1a609da3868c05ef
323,U1343,E,8,H,CC,,25,35,74.79,74.89,M,A,,,,,P,,P,,,,,,,F,,,,,F,,,A,,,,,F,P,,,,,R,,,,,,P,A,,R,"PYRITE TUBES, YELLOW FORAMS",,323-U1343E-8H-CC,11d16750b1ea654237eb91466585d118
323,U1343,E,9,H,CC,,49,59,84.05,84.15,G,D,,,,,F,,,,,F,,,,D,,,,,A,,,A,,,,,F,,,,,,R,,,,,,,F,R,R,PYRITE TUBES,,323-U1343E-9H-CC,572a16abf62ffd359180ced1f5942abd
323,U1343,E,10,H,CC,,25,35,90.98,91.08,M,D,,,,,R,,,,,F,,,,P,,,,,P,,,F,,,,,P,,,,,,P,,,,,,,D,,P,PYRITE TUBES,,323-U1343E-10H-CC,ac56ca3955c0c1b7d35e546c732793f8
323,U1343,E,11,H,CC,,24,34,101.67,101.77,G,A,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SANDY, SOME PYRITE TUBES",,323-U1343E-11H-CC,e212a1fc2ecf10e280b475dbf97a2b35
323,U1343,E,12,H,CC,,39,49,106.59,106.69,G,D,,,,,R,,,,,A,,P,,F,,,,,F,,,F,,,,,F,,,,,,R,,,,,,,F,A,,"PYRITE TUBES, YELLOW FORAMS",,323-U1343E-12H-CC,9b10235b7b7e0d9844bd948169a5f4ea
