Exp,Hole,"Core, section, interval (cm)",Top Depth [m],Presevation,Bathymetry,Abyssamina poagi,Abyssamina quadrata,Alabammina dissonata,Alabamminella weddelensis,Amphicoryna sp.,Anomalinoides cf. globulosus,Anomalinoides sp.A,Anomalinoides? sp.,Astacolus spp.,Astrononion echolsi,Astrononion sp.,Bigenerina sp.,Bolivina huneri,Bolivina sp.,Bulimina alazanensis,Bulimina sp.  A,Bulimina sp. B,Bulimina sp. C,Bulimina sp. indet.,Buliminella parvula,Cassidulina sp. A,Caudamina sp.,Chrysalogonium crassitestum,Chrysalogonium sp. indet.,Cibicidoides eocanus,Cibicidoides grimusdalei,Cibicidoides havanensis,Cibicidoides mundulus,Cibicidoides wuellerstorfi,Cibicidoides sp. A,Cibicidoides sp. B,Cibicidoides sp. indet.,Dentalina spp.,Eggerella bradyi,Eggerella sp. A,Evolvecassidulina cf. howei,Favocassidulina spinifer,Favocassidulina subfavus,Fursenkoina bradyi,Gaudryina spp.,Glandulina spp.,Globocassidulina subglobosa,Globocassidulina sp. A,Glomospira challoides,Glomospira goldialis,Glomospira irregularis,Gyroidinoides soldanii,Gyroidinoides sp. A,Gyroidinoides sp. B,Gyroidinoides sp. C,Gyroidinoides sp. D,Gyroidinoides sp. indet.,Haplophragmoides walteri,Haplophragmoides spp.,Heronallenia sp.,Karreriella chapapotensis,Karrerulina coniformis,Laticarinina pauperata,Lenticulina spp.,Mattinotiella cummunis,Myllostonella spp.,Nodosaria spp.,Nonion affine,Nonion havanensis,Nuttallides truempyi,Nuttallides umbonifer,Oridorsalis umbonatus,Orthomorphina spp.,Osangularia plummerae,Paratrochamminoides spp.,Pleurostomella spp.,Pseudoparrella exigua,Pseudopleurostomella spp.,Pullenia bulloides,Pullenia eocenica,Pullenia osloensis,Pullenia quinqueloba,Pullenia salisburyi,Pullenia subcarinata,Pullenia sp. A,Pyrulina spp.,Quinqueloculina sp.,Recurvoides spp.,Reticulophragmium amplectens,Siphonodosaria antillea,Siphonodosaria spinata,Siphonodosaria sp. indet.,Spheroidina bulloides,Spiroplectammina spectabilis,Spiroplectammina sp. A,Textularia spp.,Turrilina robertsi,Tube-shaped agglutinated form.,Unilocular species,Valvulina spinosa,Agglutinated Foram. gen. et sp. indet.,Calc. Hyaline Foram. gen. et sp. indet.,,,Section,Core,Type,Top [cm],Bottom [cm],Site,Bottom Depth [m],A/W,Sample,eodp_id
320,A,"1H-cc, 12-17 cm",9.95,G,LB-A,,,,,R,,,,R,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,A,,,,R,,R,R,R,R,R,,,,,,,,,,,,,,A,F,,,,R,R,,F,,R,,R,R,,,,,,R,R,F,,,,,,F,F,,R,R,,,cc,1,H,12,17,U1333,,,320-U1333A-1H-cc,c790e74c284b8216097493ade0032d8c
320,A,"2H-cc, 19-24 cm",19.60,M,LB-A,,,,,,,R,,R,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,A,,,,,R,R,,R,R,R,R,,R,R,,,R,,,,,,,A,A,,,,R,R,,R,,,,,,R,R,R,,R,R,R,F,R,R,,R,,,,,,R,,,cc,2,H,19,24,U1333,,,320-U1333A-2H-cc,8849230d80b1df7c9d2c81c641865ee0
320,A,"3H-cc, 29-34 cm",28.90,G,LB-A,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,F,,,,,F,,,,,R,F,R,R,,R,,,,R,,R,,,R,R,,R,,A,F,,,,R,,R,R,,,,,,R,R,R,R,,,,R,R,,,,,,,,,R,,,cc,3,H,29,34,U1333,,,320-U1333A-3H-cc,1cf3c60ae58840f9c53e03bc0f6d79b7
320,A,"4H-cc, 26-31 cm",38.63,G,LB-A,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,R,,R,,,,,R,R,,,,F,,,,,R,R,R,R,R,R,,,R,,,,,,,,,F,,A,A,,,,R,,,,,,,,,R,R,,,,,,,R,,,,,R,R,,,R,,,cc,4,H,26,31,U1333,,,320-U1333A-4H-cc,2745169a395b72e62de8c4433211cdcd
320,A,"5H-cc, 20-25 cm",47.68,G,LB-A,,,,,,,R,,,,,,,,,,,,,,R,,,,,,F,F,,R,,R,,,,,,,,,,R,,,,,R,R,,F,,,,,,,,,,,R,,,R,,A,A,,,,,,,,,R,,,,,R,,,,R,F,R,R,,,,R,,F,R,,,,,cc,5,H,20,25,U1333,,,320-U1333A-5H-cc,7b39fa7298f2ccc7d0257bf4c9048482
320,A,"6H-cc, 27-32 cm",57.30,G,LB-A,,,,,R,,,,,R,,R,,,,,,,,R,,,,,,R,R,F,,,R,F,,,,,,,,,,R,,,,,R,,,R,,,,,R,R,,,,,,R,,R,,F,A,,,,,,,,,,,,R,,R,,R,,R,R,R,R,,,,,R,R,R,,F,,,cc,6,H,27,32,U1333,,,320-U1333A-6H-cc,a0b654154aa7ff07334fe5bfea47d8e0
320,A,"7H-cc, 21-26 cm",66.58,G,LB-A,,,,,,,F,,,,,,,,,,,,,,,,,,,R,,A,,R,,R,,,,,,,,,,A,,,,R,R,R,,R,,,,,,R,,,,,,,,,,R,A,,,,,,,,,,,,,,R,,,,R,,F,R,,,,,,R,R,,R,,,cc,7,H,21,26,U1333,,,320-U1333A-7H-cc,64c0a46f8bbded141c951bf3ebe2be4d
320,A,"8H-cc, 28-33 cm",76.17,G,LB-A,,,,,,,R,,R,,,,,,,,,,,,,,,,,R,,,,F,,R,,,,,,,,,,R,R,,,,R,F,,,R,R,,,,,,,R,,R,,,R,,,R,,,,F,,,,,,,,,R,R,,,,R,F,,,R,,,,R,F,,,F,,,cc,8,H,28,33,U1333,,,320-U1333A-8H-cc,808fa505d6cce86ffdb02b4dfbfde7dc
320,A,"9H-cc, 145-150 cm",85.90,M,LB-A,,,,,,,,,,,R,,,,,,,,,R,,,,,,R,,F,,R,,,,,,,,,,,,F,,,,R,,R,R,R,R,R,,,,,,,,,R,,R,R,,R,A,R,,,R,,,R,,,R,,,R,,,,,,R,F,R,,,,,A,,,,R,,,cc,9,H,145,150,U1333,,,320-U1333A-9H-cc,604ae7b3e8a3663a7f9fbbc5d43fb171
320,A,"10H-cc, 32-37 cm",95.36,M,LB-A,,,,,,,R,,,,,,,,,,,,,,,,,,,,,A,,R,,,,,,,,,,,,F,,,,,R,R,,R,,R,,,,,,,,,R,R,F,R,,,F,,,,,,,R,,,,,,,R,,,,R,R,R,R,,,,R,,R,,,F,,,cc,10,H,32,37,U1333,,,320-U1333A-10H-cc,316a502504a681b08c61519eb70ef6aa
