Exp,"Hole, Core, Section",Top Depth [m],Bottom Depth [m],Preservation,Total radiolarians,Actinomma boreale,Amphimelissa setosa,Axoprunum acquilonium,Botryostrobus aquilonaris,Ceratospyris borealis,Cycladophora cornutoides,Cycladophora davisiana,Dictyophimus hirundo,Larcopyle buetschlii,Lychnocanomma nipponica sakaii,Sphaeropyle langii/robusta group,Spongodiscus sp. (Ling 1973),Spongopyle osculosa,Spongotrochus glacialis,Spongurus pylomaticus,Stylatractus universus,Stylochlamydium venustum,Stylodictya validispina,Unnamed: 24,Unnamed: 25,Unnamed: 26,Hole,Core,Section,Type,Site,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1339A 1H-CC,4.82,4.94,G,F,,,,,F,,C,,F,,,,,,,,F,F,,,,A,1,CC,H,U1339,,,,323-U1339A-1H-CC,43ba1f9dc7a8994406f2a8806c22f653
323,U1339A 2H-CC,14.64,14.74,G,F,F,,,,F,,C,F,F,,,,,,,,F,F,,,,A,2,CC,H,U1339,,,,323-U1339A-2H-CC,1fbcb7ab242ea0aca13aa55ad0cc1e0a
323,U1339A 3H-CC,24.23,24.33,G,F,F,,,,F,,F,,,F,,,,,,,,F,,,,A,3,CC,H,U1339,,,,323-U1339A-3H-CC,adfa6daa8845de10e0e08c7f596dc475
323,U1339A 4H-CC,33.79,33.89,G,C,F,,,F,C,,F,,,C,,,,,,,F,F,,,,A,4,CC,H,U1339,,,,323-U1339A-4H-CC,88fd9aeb3fa07b9ef1da02fc9a0d970f
323,U1339B 1H-CC,3.91,4.01,G,F,,,,,,,F,,,,,,F,,,,F,F,,,,B,1,CC,H,U1339,,,,323-U1339B-1H-CC,694ea67d211e3ca52277dc991d1231c1
323,U1339B 2H-CC,13.65,13.75,G,F,,,,,F,,C,F,F,,,,,F,,,F,F,,,,B,2,CC,H,U1339,,,,323-U1339B-2H-CC,ace004fb0316b18c978a77c4fc6deeb4
323,U1339B 3H-CC,23.36,23.36,G,F,,,,,F,,F,F,,F,,,,F,,,F,F,,,,B,3,CC,H,U1339,,,,323-U1339B-3H-CC,30eeb4e6987467bdf9dde308800b36a7
323,U1339B 4H-CC,32.91,33.01,G,C,,,,F,F,,F,F,F,C,,,,,F,,F,F,,,,B,4,CC,H,U1339,,,,323-U1339B-4H-CC,32080e090de69fa645dcc9a7c237ead7
323,U1339B 5H-CC,42.17,42.27,G,F,,F,,,F,,F,F,,C,,,,,F,,,,,,,B,5,CC,H,U1339,,,,323-U1339B-5H-CC,bdcd21e49cbf3e96d2dd534b73522a5d
323,U1339B 6H-CC,52.23,52.33,G,F,,F,,,F,,C,F,F,F,,,,,,,F,F,,,,B,6,CC,H,U1339,,,,323-U1339B-6H-CC,e1cba51d9c082ce3ccfba92efe2d9bdb
323,U1339B 7H-CC,61.50,61.60,G,F,,,,,,,F,,,F,,,,,,,,,,,,B,7,CC,H,U1339,,,,323-U1339B-7H-CC,2839d6a5fe46d98747ada715c79fa9d4
323,U1339B 8H-CC,70.85,70.95,G,F,F,,,,,,C,F,,F,,,,,,,,,,,,B,8,CC,H,U1339,,,,323-U1339B-8H-CC,61c170d4c17933f720197e07c49a5553
323,U1339B 9H-CC,80.37,80.47,G,F,F,F,,,,,C,,,F,F,C,,F,,,,F,,,,B,9,CC,H,U1339,,,,323-U1339B-9H-CC,412da58ec7058bcf16db0bc1a2b651d1
323,U1339B 10H-CC,89.88,89.98,G,F,F,,,,F,,F,,,,F,F,,,F,,,F,,,,B,10,CC,H,U1339,,,,323-U1339B-10H-CC,ed36e97e903a4d3264668e58363c591d
323,U1339B 11H-CC,99.25,99.35,G,F,,,,,,,F,,,,,F,,,,,,F,,,,B,11,CC,H,U1339,,,,323-U1339B-11H-CC,b29497e02e25a01f2ff3859ad4e96b7c
323,U1339B 12H-CC,108.40,108.48,M,F,F,,,,F,,,,,,F,F,,,,,,,,,,B,12,CC,H,U1339,,,,323-U1339B-12H-CC,9a6f1181198d5c0bfc3654f6cbce8796
323,U1339B 13H-CC,108.89,108.99,G,F,F,,,,F,,C,,F,,F,F,,,,,,F,,,,B,13,CC,H,U1339,,,,323-U1339B-13H-CC,fc5d21b1a1cfb26668a6f9809309f0c5
323,U1339B 14H-CC,120.47,120.57,G,F,,,,,,,F,F,F,,,F,,F,,,,,,,,B,14,CC,H,U1339,,,,323-U1339B-14H-CC,8f2362149d14b6384ceb84d1aefa6ae6
323,U1339B 15H-CC,130.02,130.12,G,F,,,F,,,,C,F,F,,,F,,F,,,,,,,,B,15,CC,H,U1339,,,,323-U1339B-15H-CC,550165c2430d402194f8d3a9ed491794
323,U1339B 16H-CC,139.41,139.51,G,F,,,F,,,,,,,,,,,,,,,,,,,B,16,CC,H,U1339,,,,323-U1339B-16H-CC,b75e7c2b99a417a3fd554b14aae015a9
323,U1339B 17H-CC,148.57,148.67,G,F,F,,,,C,,F,,F,,F,C,,,,,,,,,,B,17,CC,H,U1339,,,,323-U1339B-17H-CC,3773a30d113a25b588f7c5c85826a41b
323,U1339B 18H-CC,158.79,158.89,G,F,F,,F,,F,,C,F,,,F,F,,F,,,,F,,,,B,18,CC,H,U1339,,,,323-U1339B-18H-CC,88758f9401c94a1b506939f0655c8713
323,U1339B 19H-CC,167.86,167.96,M,C,F,,F,F,C,,,F,,,F,F,,F,,F,,F,,,,B,19,CC,H,U1339,,,,323-U1339B-19H-CC,5a471973d9f3fdfd6aac5a2f6cd3988b
323,U1339B 20H-CC,177.31,177.41,G,C,C,,F,,C,F,C,C,,,,C,,F,,,,F,,,,B,20,CC,H,U1339,,,,323-U1339B-20H-CC,9b495d9864de63dc62231044f55daaac
323,U1339B 21H-CC,187.60,187.70,G,F,C,,,,F,F,A,F,F,,C,F,,F,F,F,,,,,,B,21,CC,H,U1339,,,,323-U1339B-21H-CC,57854cf0dc94c1bc105c036858b736bb
323,U1339B 22H-CC,196.83,196.93,G,F,,,F,,F,F,A,F,,,F,F,,F,,F,,,,,,B,22,CC,H,U1339,,,,323-U1339B-22H-CC,c70fb05e1e2a5bf7663843225decb2d8
323,U1339C 1H-CC,9.68,9.78,G,C,F,,,,C,,C,F,F,,F,,,F,,,F,F,,,,C,1,CC,H,U1339,,,,323-U1339C-1H-CC,c0feb84e46561b418c8ffdd912444ca5
323,U1339C 2H-CC,19.42,19.52,G,C,F,,,,F,,C,F,,C,,,,F,,,F,F,,,,C,2,CC,H,U1339,,,,323-U1339C-2H-CC,2779a651096bbdd54df5697e3e58c5dc
323,U1339C 3H-CC,29.09,29.19,G,C,F,,,F,F,,C,F,F,F,,,,,,,F,,,,,C,3,CC,H,U1339,,,,323-U1339C-3H-CC,9f6507f28b672fa83757a5c22e79c63a
323,U1339C 4H-CC,38.86,38.96,G,F,F,F,,,F,,C,,,F,,,,F,,,,,,,,C,4,CC,H,U1339,,,,323-U1339C-4H-CC,6c9b84a4bcd6211dee39805133c17d56
323,U1339C 5H-CC,48.39,48.39,G,C,,F,,,F,,C,F,F,C,F,,,F,,,,F,,,,C,5,CC,H,U1339,,,,323-U1339C-5H-CC,8a188512394c64cf9ef2f7cc583ae8d0
323,U1339C 6H-CC,57.84,57.94,G,C,,F,,,C,,C,F,F,F,,,,,,,F,F,,,,C,6,CC,H,U1339,,,,323-U1339C-6H-CC,440bb830c897fffe04209a0733490059
323,U1339C 7H-CC,66.55,66.65,G,F,,,,,F,,F,,F,F,,,,F,,,F,F,,,,C,7,CC,H,U1339,,,,323-U1339C-7H-CC,e03cdd555da030eed631852117f154ee
323,U1339C 8H-CC,76.53,76.63,G,F,F,F,,,F,,F,F,,F,F,,,F,F,,F,,,,,C,8,CC,H,U1339,,,,323-U1339C-8H-CC,4f27bc2c33d5ccbaf7acdd16e00e1dbc
323,U1339C 9H-CC,85.24,85.34,M,C,F,,,,F,,F,F,F,,,C,,F,,,,F,,,,C,9,CC,H,U1339,,,,323-U1339C-9H-CC,d364c51a5d9da691b17916327fdfd90e
323,U1339C 10H-CC,95.01,95.11,G,F,,,F,F,F,,,,,,,C,,,,,,F,,,,C,10,CC,H,U1339,,,,323-U1339C-10H-CC,f5b169e60862901365485c3cc3a86ddc
323,U1339C 11H-CC,104.43,104.53,G,C,F,,F,,F,,C,,,,,C,,,F,,,,,,,C,11,CC,H,U1339,,,,323-U1339C-11H-CC,4cf2e0527433e17218dc096f5152a0bc
323,U1339C 12H-CC,114.36,114.46,G,F,F,,F,,F,,C,.,.,,F,F,,F,,F,,F,,,,C,12,CC,H,U1339,,,,323-U1339C-12H-CC,23ad002a52cf68d98f7ab42552f7bcc7
323,U1339C 13H-CC,123.71,123.81,G,C,C,,F,,C,,,F,F,,F,F,,F,,,,F,,,,C,13,CC,H,U1339,,,,323-U1339C-13H-CC,cb4e47d65e13266c6ccf05cbd8eae4d8
323,U1339C 14H-CC,133.99,134.09,G,F,F,,,F,,,,,,,F,,,F,,,,F,,,,C,14,CC,H,U1339,,,,323-U1339C-14H-CC,0d6ee84c199153a6925a3400649e5743
323,U1339C 15H-CC,142.92,143.02,G,F,,,,,,,F,F,,,,F,,,,F,,,,,,C,15,CC,H,U1339,,,,323-U1339C-15H-CC,f24adf70f2d3195e4d160ebc6b60fdb2
