Exp,Site,Hole,Core,Type,Section,Section Half,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone,Abundance,Preservation,E. huxleyi,P. lacunosa,Gephyrocapsa (medium),Gephyrocapsa (small),C. pelagicus,C. braarudii,R. minutula,R. minuta,C. leptoporus,C. leptoporus (small),Comments,A/W,Sample,eodp_id
323,U1345,A,1,H,1,A,101.5,101.5,1.015,1.015,,A,M,C,,F,,A,R,,,,,Sample from the Sedimentology collection. Light green lamina. Large and small E. huxleyi,,323-U1345A-1H-1,391cf2bbc8eec3ffdfc7b20b607728b7
323,U1345,A,1,H,1,A,102,102,1.02,1.02,,A,G,C,,,,A,,,,,,Sample from the Sedimentology collection. Light grey lamina. Large and small E. huxleyi,,323-U1345A-1H-1,9954d58de7c4e76fb44ac8339d7654db
323,U1345,A,1,H,1,A,119.5,119.5,1.195,1.195,,A,G,A,,,,A,F,,,,,Sample from the Sedimentology collection. Grey lamina,,323-U1345A-1H-1,6cba607953a542f2ae1e415a6372f076
323,U1345,A,1,H,2,A,44.5,44.5,1.945,1.945,,B,,,,,,,,,,,,Sample from the Sedimentology collection. Dark green lamina,,323-U1345A-1H-2,cc38b9e832d5fccc0a610324d669cd47
323,U1345,A,1,H,2,A,44.7,44.7,1.947,1.947,,B,,,,,,,,,,,,Sample from the Sedimentology collection. Light green lamina,,323-U1345A-1H-2,d6f342aa2b29459915609248f8d7d399
323,U1345,A,1,H,2,A,45,45,1.95,1.95,,R,M-G,,,R,,,,,,,,,,323-U1345A-1H-2,144cd1bf1e8ae7fe0fc23bcf8db6e65c
323,U1345,A,1,H,CC,,4,14,4.29,4.39,,A,G,D,,,F,A,F,,,,,Large (>4 microns) and small E. huxleyi types are present and well preserved,,323-U1345A-1H-CC,c2b32f768ca4520f4650cf67361fff23
323,U1345,A,2,H,1,A,113.5,113.5,5.535,5.535,,R,M,R,,,,R,,,,,,"Sample from the Sedimentology collection. Grey lamina, coarse grains",,323-U1345A-2H-1,663cc6a65de70dd258bd276866b9f066
323,U1345,A,2,H,1,A,113.6,113.6,5.536,5.536,,F,G,,,,,F,R,,,,,Sample from the Sedimentology collection. Dark grey lamina,,323-U1345A-2H-1,3c299380bd9f09194a78072306788ac1
323,U1345,A,2,H,1,A,114,114,5.54,5.54,,C,M-G,F,,,,C,R,,,,,Sample from the Sedimentology collection. Light green lamina. Large and small E. huxleyi,,323-U1345A-2H-1,b4e130a8be9ffa0fcded2016bd10329d
