Sample,Top [cm],Bottom [cm],Datum name,Datum type,Datum age average (Ma),Biozone name (short),Biozone name,Preservation,Group abundance,Emiliania huxleyi,Gephyrocapsa caribbeanica,Gephyrocapsa oceanica,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (closed >4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Reticulofenestra sp. (>7 microns),Reticulofenestra sp. (5-7 microns),Reticulofenestra sp. (3-5 microns),Reticulofenestra sp. (<3 microns),Reticulofenestra asanoi,Reticulofenestra pseudoumbilicus,Cyclicargolithus floridanus,Coccolithus pelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Helicosphaera carteri,Helicosphaera sellii,Helicosphaera spp.,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera sp.,Scyphosphaera spp.,Rhabdosphaera clavigera,Syracosphaera pulchra,Syracosphaera spp.,Braarudosphaera bigelowii,Discosphaera tubifera,Umbellosphaera irregularis,Umbellosphaera tenuis,Calciosolenia murrayi,Discoaster brouweri,Discoaster asymmetricus,Discoaster tamalis,Discoaster triradiatus,Discoaster surculus,Discoaster variabilis,Discoaster pentaradiatus,Discoaster quinqueramus,Discoaster challengeri,Discoaster spp.,Sphenolithus abies,Sphenolithus spp.,Ceratolithus cristatus,Ceratolithus armatus,Ceratolithus acutus,Ceratolithus rugosus,Ceratolithus spp.,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Amaurolithus spp.,Nicklithus amplificus,Triquetrorhabdulus rugosus,Florisphaera profunda,Reworked species,Nannofossil comment,Top Depth [m],Bottom Depth [m],Exp,Site,Hole,Core,Type,Section,A/W
361-U1479B-1H-1-PAL Mudline-NANNO,0,0,,,,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G,A,,A,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not sure of E huxleyi in the mudline,,,361,U1479,B,1,H,1,PAL
361-U1479B-1H-1-W 75/75-NANNO,0.75,0.75,,,,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G,A,A,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,361,U1479,B,1,H,1,W
361-U1479B-1H-2-W 50/50-NANNO,2,2,,,,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",M,A,C,,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,U1479,B,1,H,2,W
361-U1479B-1H-3-W 75/75-NANNO,3.75,3.75,,,,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",M,A,F,,C,A,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,U1479,B,1,H,3,W
361-U1479B-1H-4-W 40/40-NANNO,4.9,4.9,"B Emiliania huxleyi (Gradstein et al., 2012)",B,0.29,NN20 - NN21,"NN20 - Gephyrocapsa oceanica (Gradstein et al., 2012) to NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G,A,F,,C,A,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,U1479,B,1,H,4,W
361-U1479B-1H-CC-PAL-NANNO,6.2,6.25,,,,NN20,"NN20 - Gephyrocapsa oceanica (Gradstein et al., 2012)",G,A,,A,,A,,A,,,R,R,,C,,,,C,,,C,,,,,,,R,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,,,361,U1479,B,1,H,CC,PAL
361-U1479B-2H-1-W 75/75-NANNO,6.95,6.95,,,,NN20,"NN20 - Gephyrocapsa oceanica (Gradstein et al., 2012)",G,A,,,F,A,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,361,U1479,B,2,H,1,W
361-U1479B-2H-3-W 75/75-NANNO,8.98,8.98,,,,NN20,"NN20 - Gephyrocapsa oceanica (Gradstein et al., 2012)",G,A,,,,A,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,361,U1479,B,2,H,3,W
361-U1479B-2H-4-W 75/75-NANNO,10.44,10.44,,,,NN20,"NN20 - Gephyrocapsa oceanica (Gradstein et al., 2012)",G,A,,C,,A,,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,361,U1479,B,2,H,4,W
361-U1479B-2H-5-W 75/75-NANNO,11.95,11.95,,,,NN20,"NN20 - Gephyrocapsa oceanica (Gradstein et al., 2012)",G,A,,,,A,,C,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,361,U1479,B,2,H,5,W
361-U1479B-2H-CC-PAL-NANNO,13.7,13.75,,,,NN20,"NN20 - Gephyrocapsa oceanica (Gradstein et al., 2012)",G,A,,C,,A,,C,,F,,,,,R,P,,,R,,F,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,361,U1479,B,2,H,CC,PAL
361-U1479B-3H-1-W 75/75-NANNO,16.45,16.45,"T Pseudoemiliania lacunosa (Gradstein et al., 2012)",T,0.44,NN19 - NN20,"NN19 - Pseudoemiliania lacunosa - NN20 - Gephyrocapsa oceanica (Gradstein et al., 2012)",G,A,,F,,A,,F,,F,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,361,U1479,B,3,H,1,W
361-U1479B-3H-2-W 75/75-NANNO,17.95,17.95,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,A,,F,,C,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,361,U1479,B,3,H,2,W
361-U1479B-3H-3-W 75/75-NANNO,19.45,19.45,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,A,,C,F,C,,,,,R,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,361,U1479,B,3,H,3,W
361-U1479B-3H-4-W 75/75-NANNO,20.95,20.95,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,A,,,F,C,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,361,U1479,B,3,H,4,W
361-U1479B-3H-5-W 75/75-NANNO,22.45,22.45,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,A,,A,,C,,,,,R,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,U1479,B,3,H,5,W
361-U1479B-3H-CC-PAL-NANNO,24.1,24.15,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,C,,,,C,F,C,F,C,A,,C,F,,C,R,,C,,F,,,C,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,361,U1479,B,3,H,CC,PAL
361-U1479B-4H-2-W 75/75-NANNO,27.45,27.45,,,,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,A,,A,,C,,,,,F,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,361,U1479,B,4,H,2,W
