Exp,Site,Hole,Core,Type,Section,Top Depth [m],Bottom Depth [m],Preservation,Dinocysts,Org .linnings of foraminifers,Bitectatodinium tepikiense,Brigantedinium cariacoense,Brigantedinium simplex,Brigantedinium spp.,Filisphaera filifera,Impagidinium spp.,Islandinium imnutum,Islandinium Morphtype Cesare,Islandinium ium cf. brevispinosum,Lejeunecysta spp.,Operculodinium centrocarpum,O. centrocarpum-Arctic morphotype,O. centrocarpum var. short processes,Pentapharsodinium dalei,Polykrikos - Arctic morphotype,Polykrikos schwartzii,Protoperidinium americanum,Quinquecuspis concreta,Selenopemphix nephroides,Spiniferites ramosus,Spiniferites elongatus,Spiniferites frigidus,Trinovantedinium variabile,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1344,A,1,H,CC,9.0,9.1,G,A,,,,F,F,,R,D,,,,R,R,R,,R,,R,,,,R,,,,,,323-U1344A-1H-CC-nan,e513993dd4e83e759e12c956f39c333e
323,U1344,A,2,H,CC,18.7,18.8,G,A,F,,,F,D,,,D,,,,R,R,,R,R,,,,R,,,,,,,,323-U1344A-2H-CC-nan,dde0718025ce357c2b186a1c1d683ceb
323,U1344,A,3,H,CC,28.6,28.7,G,C,R,,R,A,D,,,A,,,,A,,,,,,R,,,,,,,,,,323-U1344A-3H-CC-nan,13744deae2b02c5e709bafcecc144c38
323,U1344,A,4,H,CC,38.1,38.2,G,C,R,,R,A,D,,,A,,,,,,,,R,,,,,,R,,,,,,323-U1344A-4H-CC-nan,e17ddd908f5de4bfd06a0500fe1e6528
323,U1344,A,5,H,CC,47.5,47.6,G,A,R,,F,A,D,,,F,,,,R,,,R,,,,,,,,,,,,,323-U1344A-5H-CC-nan,5ab04d16617ff640171c0eb2946d4fa6
323,U1344,A,6,H,CC,57.2,57.3,M,C,R,,R,F,D,,,F,,,,R,,,,R,,,R,,,,,,,,,323-U1344A-6H-CC-nan,7f48f4a5d682cadc4fa3e153bf6c4b9c
323,U1344,A,7,H,CC,66.6,66.7,G,C,R,,F,D,D,,,F,,,,,,,,,,,,,,,,,,,,323-U1344A-7H-CC-nan,39475f56a386cced10c5c022d0fd43ff
323,U1344,A,8,H,CC,75.2,75.3,G,C,R,,,A,D,,,R,,,,,,,,,,,R,,,,,,,,,323-U1344A-8H-CC-nan,b075f26532487224628083f38bda5d3b
323,U1344,A,9,H,CC,85.1,85.2,G,A,R,,F,D,D,,,F,,,,,,,,R,,,,,,,,,,,,323-U1344A-9H-CC-nan,03d05b41864b623792ff7baf0c9b072b
323,U1344,A,10,H,CC,95.1,95.2,G,C,R,,F,F,D,,,A,,,R,F,,,,,,,,,,R,,,,,,323-U1344A-10H-CC-nan,9bffe4ce1de8b520aa2949d7970c6715
323,U1344,A,12,H,CC,113.9,114.0,G,C,R,,F,A,D,,R,F,,,,R,,,A,,,,R,,,,,,,,,323-U1344A-12H-CC-nan,6ca3798876f0d4f31eafb3ffd4aa9793
323,U1344,A,14,H,CC,132.8,132.9,G,A,R,,R,A,D,,,R,,,,A,R,R,R,,,,,,,R,,,,,,323-U1344A-14H-CC-nan,d6a0c649b55b5d4b03daa5dc138364fe
323,U1344,A,16,H,CC,152.1,152.2,M,A,F,,F,A,D,,,A,,,,R,,,,,R,,,,,,,,,,,323-U1344A-16H-CC-nan,c35a0c823da654d9ece067df2221aa49
323,U1344,A,18,H,CC,171.2,171.3,G,A,R,,R,R,D,,,D,,,,A,R,F,,,,,,,,,R,,,,,323-U1344A-18H-CC-nan,a65252cb7ac6bb8f3603efab6a96275d
323,U1344,A,20,H,CC,190.3,190.4,M,C,F,,A,A,D,,,R,,,,,,,,,,,,,,,,,,,,323-U1344A-20H-CC-nan,927438a1f717e884016f5d7c6610675b
323,U1344,A,22,H,CC,208.7,208.8,M,C,,,,A,D,,,A,,,,,,,,,,,,,,,,,,,,323-U1344A-22H-CC-nan,985bcc8eadfeb5e579b0b3e8c684683e
323,U1344,A,24,H,CC,226.6,226.7,M,C,R,,R,A,D,,,R,,,,R,,,,,,,,,,,,,,,,323-U1344A-24H-CC-nan,df2ff1107cbb75074c094a7a2d15bf2d
323,U1344,A,26,H,CC,245.4,245.5,M,C,R,,R,A,D,,,D,,,,,,,,,,,R,,,,,,,,,323-U1344A-26H-CC-nan,de4f016aa71ce82bddc07392898acc4d
323,U1344,A,28,X,CC,263.7,263.8,M,C,R,,R,A,D,,,A,,,,,,,,,,,,,,,,,,,,323-U1344A-28X-CC-nan,689114414fa12f1e5d986c684267b394
