Sample,Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calciosolenia brasiliensis,Ceratolithus cristatus,Chiasmolithus bidens,Chiasmolithus solitus,Chiasmolithus spp.,Clausicoccus fenestratus,Clausicoccus subdistichus,Coccolithus formosus,Coccolithus pelagicus,Coccolithus pelagicus (w/bar),Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster deflandrei,Discoaster kuepperi,Discoaster lodoensis,Discoaster pentaradiatus,Discoaster saipanensis,Discoaster spp.,Discoaster spp. (five-rayed),Discoaster spp. (six-rayed),Discoaster surculus,Discoaster variabilis,Fasciculithus spp.,Gephyrocapsa spp. (large >5.5 µm),Gephyrocapsa spp. (medium 4-5.5 µm),Gephyrocapsa spp. (small <3.5 µm),Helicosphaera bramlettei,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera intermedia,Helicosphaera sellii,Helicosphaera spp.,Isthmolithus recurvus,Minylitha convallis,Neococcolithes spp.,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera pulchra,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra bisecta,Reticulofenestra daviesii,Reticulofenestra gelida,Reticulofenestra haqii,Reticulofenestra lockeri,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra perplexa,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 µm),Reticulofenestra pseudoumbilicus (5-7 µm),Reticulofenestra reticulata,Reticulofenestra stavensis,Reticulofenestra umbilicus,Rhabdosphaera clavigera,Scyphosphaera ventriosa,Seribiscutum primitivum,Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus radians,Sphenolithus spp.,Syracosphaera pulchra,Toweius callosus,Toweius eminens,Toweius occultatus,Toweius pertusus,Toweius tovae,Umbilicosphaera jordanii,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus,Top [cm],Bottom [cm],Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
372-U1517C-1H-CC,5.65,5.7,M,C,,F,*,,F,,,,,,*,,,C,C,,*,*,,,,,,,*,,*,,,,C,*,F,,,*,R,,,,,R,R,R,,R,,*,,*,C,,A,C,F,C,*,*,,*,,F,,,,,*,,,,,,*,,,,F,,*,,,372,U1517,C,1,H,CC,,3c31c0c4f4f70b5527f3c95685e062fb
372-U1517C-2H-CC,15.15,15.2,M-P,C,R,F,,*,F,,,*,,,,,*,C,,,*,*,,,,,,,*,,,,,,C,,F,,R,*,R,,*,,,,,R,,,,*,,*,C,,C,C,F,C,*,*,*,*,*,,,,*,*,*,,*,,,,,,,,R,R,,,,372,U1517,C,2,H,CC,,6aba1b21bdcdddbc43b815a21e32bce4
372-U1517C-3F-CC,19.85,19.9,M-P,C,,F,,*,R,,,,,*,,,*,C,F,,*,*,,,,,*,,*,,*,,,R,F,,F,,,*,,,,,*,,R,F,,F,,*,,*,C,,A,C,F,C,*,*,*,*,,,,,,*,*,,,R,,,,,,,F,,,,,372,U1517,C,3,F,CC,,75505d01b1feb54681c4613bb8f9cdcd
372-U1517C-4F-CC,24.55,24.6,M-P,C,,C,,*,R,R,,,,,,,*,C,,,*,*,,,,,,,*,,*,,,,C,,C,,R,,R,,,,,,R,R,,,,,,*,C,,A,C,R,C,*,*,*,*,*,,,,,*,*,,,R,*,,,,,,F,,,,,372,U1517,C,4,F,CC,,85090960ef18cd32b15fc62594c5600d
372-U1517C-5F-CC,29.25,29.3,M-P,C,,F,,,F,,,,,*,*,,,C,F,,*,*,,,,*,,,*,,*,,,F,C,,F,,R,*,R,,,?,,,,R,,,R,*,,*,C,*,A,F,C,C,*,*,*,*,*,,,,*,*,*,,,R,,,*,,,,F,,,,,372,U1517,C,5,F,CC,,b4ebec1f225daba8ba33bc405a0771d7
372-U1517C-6F-CC,33.93,33.98,M-P,C,,F,,*,F,,,,,,*,,*,C,F,*,*,*,,,,,*,,*,,*,,,,C,,F,,R,,,,*,,,,R,R,,,,*,*,*,C,*,C,F,F,C,*,*,*,*,,F,,,*,*,*,,*,F,,,*,,,,F,,*,,,372,U1517,C,6,F,CC,,fcacfd95de87bc3313c13d2e2dd1c2df
372-U1517C-7F-CC,38.66,38.7,M-P,C,,F,*,,,,,,*,,,*,*,C,R,,*,*,,,,,*,,*,,,,,,C,,F,*,R,,R,,*,,,,,R,,,F,*,*,*,C,*,C,F,F,C,*,*,,*,*,,,,*,,*,*,*,,,*,*,*,,,F,,*,,,372,U1517,C,7,F,CC,,150bb919b514eeee70dc2526b15cd8f4
372-U1517C-8F-CC,43.35,43.4,M-P,C,,F,*,,R,R,,,,*,,,,C,R,,*,,*,,*,,,,,,*,,,F,C,,F,,R,,F,,*,,,,R,F,*,,F,*,,*,C,,C,C,F,C,*,*,,*,,,,,,,*,,*,R,,,,,,,F,,,,,372,U1517,C,8,F,CC,,3a5a1bfc16ad5f678b0913bdbd37d355
372-U1517C-9F-CC,47.97,48.02,M-P,C,,F,*,,R,,,*,,,,,*,C,F,,*,*,,,,,,,*,,*,,,,C,,F,,,,R,,,,,,R,R,*,F,,*,*,*,C,,A,C,F,C,*,*,,*,*,,,,,,*,,*,,*,,,,,,F,,*,,,372,U1517,C,9,F,CC,,fbfe8708c3fd7add8171f2573314d9c1
372-U1517C-10F-CC,52.75,52.8,M-P,C,,F,,,R,,,*,*,,,,*,C,F,,*,,,,,,,,*,,,,,R,C,,C,,,F,F,F,*,,,,,R,,,F,,,*,C,,C,C,F,C,*,*,*,*,,R,,,*,*,*,,*,,,,,,,,F,,,,,372,U1517,C,10,F,CC,,f058caa9205f9e271035184db161ae68
372-U1517C-12F-CC,61.65,61.7,M,F,R,F,,,R,,,,,,,,,C,R,,*,*,,,,,,,,,*,,,,C,,F,,,,R,,,,,,R,F,,,F,*,*,*,C,,C,C,,C,*,*,,,,,,,,*,*,,*,,,,*,,,*,,,,,,372,U1517,C,12,F,CC,,5a13fbcea0bf5a0ce3f97557eb22b230
372-U1517C-14F-CC,71.55,71.6,M,C,,C,,,F,R,,,,,,,*,C,R,,*,*,,*,,,,,*,,*,*,,C,A,,F,,,,R,R,*,,,,R,R,,R,F,*,*,*,C,*,A,C,F,C,*,*,,,*,,,*,,,*,,,F,,,,,,,F,R,,,,372,U1517,C,14,F,CC,,a137e10dcc51fc888818e0dcef399467
372-U1517C-16H-CC,90.55,90.6,M,C,,C,*,,F,,R,,*,*,,,*,C,F,,*,,,,,,,*,*,,*,,,C,A,,F,,,,,R,,,,R,,,,R,F,*,*,*,C,*,A,C,F,C,*,*,,*,,R,,,*,*,*,,*,F,,,*,,,*,R,,,,,372,U1517,C,16,H,CC,,b5f15cde360758c1afbebc7f3eddc63d
372-U1517C-18H-CC,108.25,108.3,M,C,R,C,*,,R,F,,,*,,,,*,C,F,,*,,,,,,*,,,,*,,,F,A,,F,,R,,R,R,,,,,R,F,,R,F,*,*,*,C,,A,C,F,C,*,*,*,*,,,,,,,*,,*,R,,,,,,,R,,*,,,372,U1517,C,18,H,CC,,639b1f9828797b0b919ab838cd8bc476
372-U1517C-20F-CC,117.66,117.7,M-P,C,,C,*,,F,,R,,,*,,,,C,C,,*,*,,,,,,,*,*,,,,F,A,,F,,,,F,F,,,,F,R,R,,R,F,*,*,*,C,,A,C,F,C,*,*,,*,,R,,,*,,*,,,F,,,,,,,R,,,,,372,U1517,C,20,F,CC,,ee458d8f22d0a44af8079a24b24192c3
372-U1517C-22F-CC,127.05,127.1,M-P,A,,C,*,,F,F,,,,,,,,C,F,,*,,,,,,,,*,,*,,,A,D,,C,,F,,F,F,,,,F,F,,,F,,,,*,C,*,C,C,F,C,*,*,,*,,F,,,*,,*,,*,F,,,,,,,F,,*,,,372,U1517,C,22,F,CC,,0e206db037365526cd6485fb90ef802f
372-U1517C-24F-CC,136.46,136.5,M-P,C,,F,*,*,R,R,,,,*,,,,C,F,,*,*,,,,,,,,,,,,F,C,,F,,,,F,F,,,,,,R,,R,R,*,*,*,C,,A,C,F,C,*,*,,,,,,,*,,*,,,R,,,,,,,F,,,,,372,U1517,C,24,F,CC,,3e33e02d617ad5bf379c6ab8f59a4c9a
372-U1517C-26F-CC,144.91,144.96,M-P,C,,C,,,F,,,,*,,,,,C,F,,*,,,,,,,*,*,,*,,,,C,,F,,,F,F,,,,,R,,R,,,R,*,*,*,C,*,C,C,C,C,*,*,,*,,,,,*,,*,,,,,,,,,,F,,,,,372,U1517,C,26,F,CC,,a31217641e318ecc8fd75536fde3e516
372-U1517C-28F-CC,154.75,154.8,M-P,C,,C,*,,R,F,F,,*,,,,,C,C,,*,,,,,,,,*,,*,,,C,A,,F,,F,,R,,,,,,,,,F,R,*,*,*,C,*,A,C,F,F,,*,,*,*,R,*,,*,,*,,,F,,,,,,,F,,,,,372,U1517,C,28,F,CC,,073f83540b241d4eb9ce308b665afae6
372-U1517C-30F-CC,159.92,159.97,M-P,F,,C,*,,,R,,,,,,,,C,F,,*,*,,,,,,,*,,,,,C,C,,R,,R,,,,,,,,,,,,R,,,*,C,,C,C,R,C,,*,,,,R,,,,,*,,*,F,,,,,,,,,,,,372,U1517,C,30,F,CC,,b14075d6379ccc465ab442bad0a324ae
372-U1517C-32F-CC,167.13,167.18,M,A,,C,,,R,R,,,,,,,,C,F,,*,,,,,,,,*,,,,,C,A,,F,,,,F,F,,,,,R,,,R,R,*,,*,C,,A,C,F,C,*,*,,,,,,,,,*,,*,F,,,,,,,R,R,,,,372,U1517,C,32,F,CC,,e930c9c81373c2a70d1ebb504f22c511
372-U1517C-34F-CC,174.65,174.7,M,A,,C,*,,R,,,,,*,,,,C,F,,*,*,,,,,,,*,,*,,?,C,A,,F,,R,,F,,,,,R,F,F,,,,,,*,C,,C,C,C,C,*,*,,,*,R,,,,*,*,,,C,,*,,,*,,F,,,,,372,U1517,C,34,F,CC,,4c52b3298b2ca2c10be44799273ef4bb
372-U1517C-36F-CC,187.53,187.58,M,C,,C,,,R,,R,,,,,,,C,C,,*,*,,,,,,,,,,,,F,A,,F,,,,,,,,,,,,,,,*,,*,F,,C,C,R,C,*,*,,*,,R,,,,,*,,,F,,,,,,,F,,,,,372,U1517,C,36,F,CC,,c9ff9a6de8e1192fb40badb09b3657fc
