Exp,Site,Hole,Core,Section,interval (cm),Top Depth [m],Zone,Preservation,Abundance (%),Acarinina bullbrooki,Acarinina praetopilensis,Acarinina subsphaerica,Acarinina wilcoxensis,Acarinina spp.,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis,Clavigerinella eocenica,Clavigerinella spp. (fragments),Dentoglobigerina galavisi,Dentoglobigerina globularis,Dentoglobigerina tripartita,Dentoglobigerina pseudovenezuelana,Dentoglobigerina spp.,Globigerina anguliofficinalis,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina officinalis,Globigerinoides primordius,Globoquadrina euapertura,Globoquadrina praedehiscens,Globoquardina rohri,Globoquadrina sellii,Globoquadrina spp.,Globoquadrina tapuriensis,Globoquadrina venezuelana,Paragloborotalia continuosa,Parasubbotina griffinae,Paragloborotalia griffinoides,Paragloborotalia kugleri,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia pseudocontinuosa,Paragloborotalia pseudokugleri,Paragloborotalia semivera,Paragloborotalia siakensis/mayeri,Parasubbotina varianta,Paragloborotalia spp.,Subbotina angiporoides,Subbotina corpulenta,Subbotina eoceana,Subbotina hagni,Subbotina linaperta,Subbotina patagonica,Subbotina senni,Subbotina utilisindex,Subbotina spp.,Turborotalia ampliapertura,Turborotalia increbescens,Tenuitellinata angustiumbilicata,Tenuitutella spp.,Top [cm],Bottom [cm],Type,Bottom Depth [m],A/W,Sample,eodp_id
320,U1333,A,1,3,38-40,3.38,M1a,M,15,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,P,,,,,,,,,P,,,,,,,,,,,,,,,,,38,40,H,,,320-U1333A-1H-3,0479efb6a5cc0364f8ea69e85575bd9e
320,U1333,A,1,CC,,9.92,M1a,G,<1,,,,,,P,P,,,,,,,,,,,,,,,P,P,,P,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1333A-1H-CC,13ced9d2099234eb5ef924ddb2404274
320,U1333,A,2,2,38-40,11.38,M1a,G,60,,,,,,P,P,,,,,,,,,,,,,,,,P,,,P,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,38,40,H,,,320-U1333A-2H-2,ca18c50b450817e6fde8d87507ae43bd
320,U1333,A,2,4,38-40,14.38,O6–M1?,M,10,,,,,,P,P,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,40,H,,,320-U1333A-2H-4,96c7d285d7b780e850a5dc62b4bc3afe
320,U1333,A,2,CC,,19.57,O6,G,5,,,,,,P,P,,,,,,P,,,,,,,,,,,,,,,P,,,,,P,,,,P,P,,,,,,,,,,,,,,,,,,H,,,320-U1333A-2H-CC,ef19793edfcafa0edfc4ff98d7cdd640
320,U1333,A,3,2,38-40,20.88,O6,M,2,,,,,,,P,,,,,,P,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,38,40,H,,,320-U1333A-3H-2,7ed991b2b6c4ecc4e6aba9e378ce8345
320,U1333,A,3,4,38-40,23.88,O6,M,5,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,38,40,H,,,320-U1333A-3H-4,789a75b3a872603d982e97732a4d09f9
320,U1333,A,3,CC,,28.87,O6,G,15,,,,,,,P,,,,,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,P,,,,,H,,,320-U1333A-3H-CC,4eb59c6745aace3fd73b2a97ec5356a8
320,U1333,A,4,3,94-96,32.44,O6,M,35,,,,,,P,,,,,,,,,,,P,,P,,,,,,,,,P,,,,,,,,,P,P,,,,,,,,,,,,,,,,94,96,H,,,320-U1333A-4H-3,1245d1d0cc12c0e3bf89b3d4d3fac162
320,U1333,A,4,6,20-22,36.2,O6,P,5,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,22,H,,,320-U1333A-4H-6,2e872e4342bb24f3e6d5dac7ac105e44
320,U1333,A,4,CC,,38.60,O6,G,10,,,,,,P,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1333A-4H-CC,ecac0e81b555d35ed13f93b310f97ee5
320,U1333,A,5,2,38-40,39.88,O6,M,20,,,,,,,P,,,,,,P,P,,,,,,,,,,,,,,,P,,,,P,,,P,,P,,,,,,,,,,,,,,P,,38,40,H,,,320-U1333A-5H-2,5a8d362e37168df4d1b957bfd420c1b3
320,U1333,A,5,4,38-40,42.88,O6,G,30,,,,,,P,P,,,,,,P,,,P,,,,,,P,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,P,,,38,40,H,,,320-U1333A-5H-4,9be3c6e48c8ab9f885ce65c2aabc6d32
320,U1333,A,5,CC,,47.65,O6,G,20,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1333A-5H-CC,fd3ff6113f2e7dce105e33617ffd81b8
320,U1333,A,6,3,38-40,50.88,O4–O5,M,40,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,38,40,H,,,320-U1333A-6H-3,cee2074544b1f626034f8e1d3836eadb
320,U1333,A,6,5,38-40,53.88,O4–O5,M,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,P,,,,P,,,,,,,,,,,,,,,,38,40,H,,,320-U1333A-6H-5,7186e45a83e753300a74256db779f02a
320,U1333,A,6,CC,,57.27,O4–O5,G,20,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1333A-6H-CC,4afa5d64b37ca5a42d1486cd8ac2203c
320,U1333,A,7,3,38-40,60.38,O4–O5,M,40,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,P,P,,,,,,,,,,,,,,,,,,,,38,40,H,,,320-U1333A-7H-3,4fd73d7d1f93a03387152947369f0217
320,U1333,A,7,5,38-40,63.38,O4–O5,M,30,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,,38,40,H,,,320-U1333A-7H-5,1ed0acd840ee51d8afc317a3556551ea
320,U1333,A,7,CC,,66.55,O4–O5,G,20,,,,,,,,,,,,,,,P,,P,,,,,,,,P,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1333A-7H-CC,d7c35602a034bd34780045ef0a073c4d
320,U1333,A,8,2,38-40,68.18,O4–O5,M,50,,,,,,,P,,,,,P,,,,,P,,,,,P,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,38,40,H,,,320-U1333A-8H-2,84149d5b867821c49116e68345300820
320,U1333,A,8,4,38-40,71.18,O3,M,<10,,,,,,P,P,,,,,,,,,,,,,,,P,,,,,,P,,,,,P,P,P,,,,,,,,,,,,,,,,,,,38,40,H,,,320-U1333A-8H-4,38cb1fbeb6c3e100ea0cb670c7050cdf
320,U1333,A,8,CC,,76.14,O3,M,25,,,,,,P,P,,,,,,P,,,,,,P,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,,,,H,,,320-U1333A-8H-CC,56e6444480d58b41f719bcdba1960547
320,U1333,A,9,2,52-53,78.02,E15–O2,M,15,,,,,,P,P,,,,,,,P,,,,,,P,,P,,,,,,P,,,,,P,,,,,,,,P,,,,,,,P,,,,,,52,53,H,,,320-U1333A-9H-2,244b2ff4d471503384507a5663f2d051
320,U1333,A,9,4,52-53,81.02,E15–O2,M,5,,,,,,P,P,,,,P,,,P,P,,,,,,,P,,,,,,P,,,,,P,,,,,,,,P,,,,,,,,,,,,,52,53,H,,,320-U1333A-9H-4,e8e20ec35ca4025be653af54d99af0fc
320,U1333,A,9,CC,,85.87,E15–O2,M,5,,,,,,,P,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,H,,,320-U1333A-9H-CC,04d64b5035ea50f67d1bdbdb68d3ad2c
320,U1333,A,10,2,38-40,87.38,E15–O2,M,2,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,38,40,H,,,320-U1333A-10H-2,f2ae22559dc8e20e88ef672fd35b0707
320,U1333,A,10,4,38-40,90.38,E15–O2,M,10,,,,,,P,P,,,,P,,P,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,P,,,,,,38,40,H,,,320-U1333A-10H-4,c900b473fe98946e7996ee09864c1deb
320,U1333,A,10,CC,,95.33,E15–O2,M,15,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,H,,,320-U1333A-10H-CC,a7cef033c06cf3569cb4d026783d0ea2
320,U1333,A,11,2,38-40,96.88,E15–O2,G,40,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,P,,,P,,P,,,P,38,40,X,,,320-U1333A-11X-2,b6104e84b5053939b648d2e026d5d91c
320,U1333,A,11,4,38-40,99.88,E15–O2,P,<1,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,40,X,,,320-U1333A-11X-4,3862abe1ebe52395838f9246bd426be8
320,U1333,A,11,CC,,101.17,E15–O2,M,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,X,,,320-U1333A-11X-CC,75eb10e7a36ebceaf85c153e0fe42f2d
320,U1333,A,12,2,,102.58,E15–O2,M,15,,,,,,,P,,,,P,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,320-U1333A-12X-2,e99df09ee439653cfa307c69d1a9bf17
320,U1333,A,12,4,38-40,105.58,E15–O2,G,65,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,38,40,X,,,320-U1333A-12X-4,99454952120e11bbc301b297d91bb51b
320,U1333,A,12,CC,,107.99,E15–O2,M,15,,,,,,P,P,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,P,,,P,,,,,,,,X,,,320-U1333A-12X-CC,683c20c4c940bb31b0611ee4634f7a83
320,U1333,A,13,2,38-39,112.18,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,39,X,,,320-U1333A-13X-2,6f321b1e7fc79f349614a34e93db95a9
320,U1333,A,13,4,39-40,115.19,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,40,X,,,320-U1333A-13X-4,b6a3420188bd7b12de10b52e78cba19b
320,U1333,A,13,CC,,119.93,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,320-U1333A-13X-CC,d1766e832bcf8ab136d24ad3305a28bd
320,U1333,A,14,2,38-40,121.88,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,40,X,,,320-U1333A-14X-2,96269183a102cac6825dbafa3df495c2
320,U1333,A,14,5,39-41,126.39,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,41,X,,,320-U1333A-14X-5,ba850a0c6f93875ac879370d7700ab17
320,U1333,A,14,CC,,129.80,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,320-U1333A-14X-CC,53cd67b1effbdee49f057b1dc43a4d70
320,U1333,A,15,2,38-40,131.48,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,40,X,,,320-U1333A-15X-2,073d09b1f07efe3ea639077ba39d1e12
320,U1333,A,15,4,38-40,134.48,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,40,X,,,320-U1333A-15X-4,e7e54eeebf306a0fd2baf26f040cd793
320,U1333,A,15,CC,,139.14,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,320-U1333A-15X-CC,230481237586810d1137f2ced5f1567c
320,U1333,A,16,6,128-130,147.98,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,130,X,,,320-U1333A-16X-6,5a8364be32183ca27e1b96c160eccf8c
320,U1333,A,16,CC,,149.09,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,320-U1333A-16X-CC,5725e5af807ca8faeeaa65b56424d73b
320,U1333,A,17,2,10-12,150.40,E15–O2,M,1,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,P,,,,,10,12,X,,,320-U1333A-17X-2,7036299e8f4c1c77ed77427935978933
320,U1333,A,17,4,26-28,153.56,E7–E16,M,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,26,28,X,,,320-U1333A-17X-4,a5f143ad118f17ad6a088ef02f64ae98
320,U1333,A,17,CC,,158.46,B,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,320-U1333A-17X-CC,f2e75dd64b9b7544bc9b549664c18bdc
320,U1333,A,18,2,38-40,160.28,E7–E16,P,<1,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,P,,,,,P,,,,,,,38,40,X,,,320-U1333A-18X-2,f0879faec76caeff92b20bfabcc5db3c
320,U1333,A,18,4,38-40,162.62,E7–E16,M,2,,,P,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,40,X,,,320-U1333A-18X-4,b7ca239ebbd70b1518664f166ea117db
320,U1333,A,18,CC,,163.86,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,320-U1333A-18X-CC,32e8eb1f6d8e833e24c67461b85d0d15
320,U1333,A,19,2,38-40,169.88,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,40,X,,,320-U1333A-19X-2,b7351ac0d6534d1580a7cdef4484f5f6
320,U1333,A,19,4,25-27,172.75,E7–E16,P,2,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,25,27,X,,,320-U1333A-19X-4,e5709f72c28d58c44884c0535aa357d7
320,U1333,A,19,CC,,174.70,B,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,320-U1333A-19X-CC,f0706032c0f9a957721394e5e14b6b9e
320,U1333,A,20,2,42-44,179.52,E7,M,10,P,P,,,P,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,P,,,,,42,44,X,,,320-U1333A-20X-2,405b399bc09b8f7d6b95e90383c4f8cb
320,U1333,B,1,3,38-40,3.38,O6–M1a?,M,5,,,,,,P,,,,,,,P,,,,,,,,,P,,,P,,,,,,,,P,,,,P,P,,,,,,,,,,,,,,,,38,40,H,,,320-U1333B-1H-3,28b81fb0025f3c2e6e3ed8bbc95767a4
320,U1333,B,1,CC,,7.68,O6–M1a?,M,10,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,H,,,320-U1333B-1H-CC,cabf6c369fb8de42b7586cc0e1bee054
320,U1333,B,2,CC,,17.60,O6,P,2,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,H,,,320-U1333B-2H-CC,ab19020bae6322a54eab3074d0f9211c
320,U1333,B,3,CC,,27.18,O6,P,<1,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1333B-3H-CC,28ea2978dd206d34bf227db8402a1403
320,U1333,B,4,CC,,36.61,O6,P,1,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1333B-4H-CC,d3e0583e1d6fc2a13772d0dfd3a54d4b
320,U1333,B,5,CC,,45.85,O6,M,5,,,,,,P,P,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1333B-5H-CC,06409b9d362a25c29f975ee97500aa8e
320,U1333,B,6,CC,,55.55,O2–O5,G,70,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,P,,,,,P,P,,,P,,,,,,,,,,,,,,,,,,,H,,,320-U1333B-6H-CC,f86efc857c28377e8983487697deda26
320,U1333,B,7,CC,,65.11,O2–O5,G,60,,,,,,,P,,,,,,P,,,,,,,,,P,,,P,,,P,,,,,P,P,P,,,,,,,,,,,,,,,,,,,,,H,,,320-U1333B-7H-CC,72e78f35a00f893f401cb62d18ca5a37
320,U1333,B,8,CC,,74.5,O2–O5,G,70,,,,,,,P,,,,,,P,,,,,,,,,P,,,,,,P,,,,,P,P,P,,,,,,,,,,,,,,,,P,,P,,,H,,,320-U1333B-8H-CC,ad191c99335c903d7c76aa0a0ad61631
320,U1333,B,9,CC,,83.13,O2–O5,G,40,,,,,,,P,,,,P,,P,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,P,,,H,,,320-U1333B-9H-CC,694df5449b4e1b81aac92721e0d538a7
320,U1333,B,10,CC,,93.43,E14–O2,M,2,,,,,,,P,,,,P,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1333B-10H-CC,e60114f66d9dab9bb7595230df088770
320,U1333,B,11,CC,,103.25,E14–O2,M,10,,,,,,P,P,,,,,,P,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1333B-11H-CC,9408dfc56ad5959be61841e8532329ef
320,U1333,B,12,CC,,112.31,E14–O2,M,15,,,,,,,P,,,,P,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,P,,P,,,,,H,,,320-U1333B-12H-CC,f2fbd0a13704e0766dfa9d7b3222b5c3
320,U1333,B,13,CC,,122.14,Eoc.–Olig.,M,<1,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1333B-13H-CC,d8e8864f4018f404382531196fa69da5
320,U1333,B,14,CC,,131.43,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1333B-14H-CC,b57991ef1a3b0efcd6b65b0ba86478f7
320,U1333,B,15,CC,,139.77,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1333B-15H-CC,8bc9ecd3b4d779ab38a0a9228807011c
320,U1333,B,16,CC,,149.77,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1333B-16H-CC,6cb34cb6222b4cc121d66e48a9b5d3c8
320,U1333,B,17,CC,,158.53,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,320-U1333B-17H-CC,bbb4640cccfc7928c6ec19344c77eb4c
