Exp,Site,Hole,Core,Section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Bradleya sp.,Cytheropteron sp.,Henryhowella sp.,Type,A/W,Sample,eodp_id
323,U1341,A,1,1,0,0,0,0,,,,H,,323-U1341A-1H-1,0e7b8080a069c4bc5970a1ead256679a
323,U1341,A,1,CC,,,2.92,3.02,,,,H,,323-U1341A-1H-CC,10ca6e17a698bb649833164b95d3b408
323,U1341,A,2,CC,,,12.54,12.64,,,,H,,323-U1341A-2H-CC,5e0f8805386c28a65ad3c9df7d6bfdb4
323,U1341,A,3,CC,,,22.33,22.43,,,,H,,323-U1341A-3H-CC,2f829206fc130d5fbf5434e136880bcf
323,U1341,A,4,CC,,,31.67,31.77,,,,H,,323-U1341A-4H-CC,b717964f2ff3e88241d60aecf06a09bc
323,U1341,A,5,CC,,,41.22,41.32,,,,H,,323-U1341A-5H-CC,f2a106c75fd4bc83ed9508dbf4cec044
323,U1341,A,6,CC,,,50.85,50.95,,,,H,,323-U1341A-6H-CC,643e82432b1ba341f11ec089dd775f0e
323,U1341,A,7,CC,,,60.41,60.51,,,,H,,323-U1341A-7H-CC,7c9e7adbf7662496fe0199b28ecb6db7
323,U1341,A,8,CC,,,69.31,69.41,,,,H,,323-U1341A-8H-CC,3b41d9755c3e0705949f7801304ef489
323,U1341,A,9,CC,,,79.56,79.66,P,P,P,H,,323-U1341A-9H-CC,87ffe3f42042d2919f1fa31685eda007
323,U1341,A,10,CC,,,89.02,89.12,,,,H,,323-U1341A-10H-CC,3538b221c807029c8d6ab23ef85229af
323,U1341,A,11,CC,,,98.41,98.51,,,,H,,323-U1341A-11H-CC,65724fe684e2b30e8a8be87e660a110d
323,U1341,A,12,CC,,,108.06,108.16,,,,H,,323-U1341A-12H-CC,be2ca3032172a20622a300d6aec621af
323,U1341,A,13,CC,,,117.6,117.7,,,,H,,323-U1341A-13H-CC,787b0029b22f27bfe07dead3baa2e7cc
323,U1341,A,14,CC,,,127,127.1,,,,H,,323-U1341A-14H-CC,2485dda3511fe10fb1b50f71f3419c45
323,U1341,A,15,CC,,,136.16,136.26,,,,H,,323-U1341A-15H-CC,b936db3bf817a79a361956b5a3d90d8b
323,U1341,A,16,CC,,,145.97,146.07,,,,H,,323-U1341A-16H-CC,7e1310ecc58b7165e36647e7cb1c42c7
323,U1341,A,17,CC,,,155.53,155.63,,,,H,,323-U1341A-17H-CC,27002a5584e6b873064cf31865d8d131
323,U1341,A,18,CC,,,164.92,165.02,,,,H,,323-U1341A-18H-CC,7f5b923e424c6f9ca158c47f85d90c60
323,U1341,A,19,CC,,,174.39,174.49,,,,H,,323-U1341A-19H-CC,21f77dbde13ad43e1d98e70345b7374a
323,U1341,A,20,CC,,,183.82,183.92,,,,H,,323-U1341A-20H-CC,4d1a31f0386fb3b4fe6f4ec9687ee16e
323,U1341,A,21,CC,,,193.25,193.35,,,,H,,323-U1341A-21H-CC,0acf14502f3ee1d40838b403d216f83e
323,U1341,A,22,CC,,,203.03,203.13,,,,H,,323-U1341A-22H-CC,bb92d77865a626d75380e251853d7be5
323,U1341,A,23,CC,,,212.53,212.63,,,,H,,323-U1341A-23H-CC,1af8e2bc3c0ddde966d2506621b3b9bb
323,U1341,A,24,CC,,,221.34,221.44,,,,H,,323-U1341A-24H-CC,83cdd877853a8848981c08315d2606b0
323,U1341,A,25,CC,,,231.33,231.43,,,,H,,323-U1341A-25H-CC,3f68bce07665a5cc73c7bc4d0a320527
323,U1341,A,26,CC,,,233.11,233.21,,,,H,,323-U1341A-26H-CC,d28e09171d90da46227283934015cef8
323,U1341,A,27,CC,,,241.4,241.5,,,,H,,323-U1341A-27H-CC,a8df6b871429e67a9a24882be68b5009
323,U1341,A,28,CC,,,252.44,252.54,,,,H,,323-U1341A-28H-CC,c81105c3b00686a787baf85bf8c8ff3e
323,U1341,A,29,CC,,,262.14,262.24,,,,H,,323-U1341A-29H-CC,c3dcd7ddef833f840c67742aa4c9552e
323,U1341,A,30,CC,,,271.72,271.82,,,,H,,323-U1341A-30H-CC,bf138e945e2c2e359729e0ae4e8d3500
323,U1341,A,31,CC,,,281.2,281.3,,,,H,,323-U1341A-31H-CC,57bcd450cfd279be7172cade6df5f2cf
323,U1341,A,32,CC,,,290.51,290.61,,,,H,,323-U1341A-32H-CC,84f178489fe94aff47df1aa11e4edfcf
323,U1341,A,33,CC,,,300.09,300.19,,,,H,,323-U1341A-33H-CC,153b3c308e8c25f51f70189e3fd48c88
323,U1341,A,34,CC,,,309.42,309.52,,,,H,,323-U1341A-34H-CC,49c56e94cbe42fa283f0b35d94a8334f
323,U1341,A,35,CC,,,318.92,319.02,,,R,H,,323-U1341A-35H-CC,a75c21d63308844e9da714f4451a8267
323,U1341,A,36,CC,,,328.09,328.19,,,,H,,323-U1341A-36H-CC,0a60d687f46f0f6b4dcabeee13968bf3
323,U1341,A,37,CC,,,332.71,332.81,,,,H,,323-U1341A-37H-CC,796e1de0f6355c5f23097f93940037b7
323,U1341,A,38,CC,,,342.16,342.26,,,,H,,323-U1341A-38H-CC,d6be1d68c1863608d7bfe60d6d2d3851
323,U1341,A,39,CC,,,351.93,352.03,,,,H,,323-U1341A-39H-CC,f81d9997c7c2cc3a387b46708a7afcd7
323,U1341,A,40,CC,,,356.68,356.78,,,,H,,323-U1341A-40H-CC,83ee4ead812dcc907e68dcb9a0cbfe3d
323,U1341,A,41,CC,,,359.02,359.12,,,,H,,323-U1341A-41H-CC,53357451d58967ce3ba59138b26df912
