Exp,Hole,"Core, section, interval (cm)",Top Depth [m],Presevation,Bathymetry,Abyssamina poagi,Abyssamina quadrata,Alabammina dissonata,Amphicoryna sp.,Anomalinoides sp.,Astacolus sp.,Astrononion echolsi,Bigenerina sp.,Buliminella parvula,Chrysalogonium crassitestum,Chrysalogonium sp. indet.,Cibicidoides eocanus,Cibicidoides grimusdalei,Cibicidoides havannsis,Cibicidoides mundulus,Cibicidoides premundulus,Cibicidoides sp. A,Cibicidoides sp. indet.,Cystammina pauciloculata,Dentalina spp.,Eggerella bradyi,Eggerella sp.,Favocassidulina spinifer,Gaudryina sp. indet,Glandulina sp.,Globocassidulina subglobosa,Globocassidulina sp.,Glomospira goldialis,Glomospira irregularis,Gyroidinoides soldanii,Gyroidinoides sp. A,Gyroidinoides sp. B,Gyroidinoides sp. C,Gyroidinoides sp. D,Gyroidinoides sp. indet.,Haplophragmoides walteri,Haplophragmoides sp. indet.,Karreriella chapapotensis,Karrerulina coniformis,Lenticulina spp.,Mattinotiella cummunis,Myllostonella spp.,Nodosaria spp.,Nonion affine,Nonion havanensis,Nuttallides truempyi,Nuttallides umbonifer,Oridorsalis umbonatus,Paratrochamminoides spp.,Pleurostomella sp.,Pullenia sp. A,Pyrulina spp.,Pseudoparrella exigua,Pseudopleurostomella spp.,Pullenia bulloides,Pullenia eocenica,Pullenia osloensis,Pullenia quinqueloba,Pullenia salisburyi,Pullenia subcarinata,Quadrimorphina profunda,Quinqueloculina sp.,Recurvoides spp.,Reticulophragmium amplectens,Reophax sp.,Siphonodosaria antillea,Siphonodosaria spinata,Siphonodosaria sp. indet.,Spheroidina bulloides,Spiroplectammina spectabilis,Textularia sp.,Trochamminoides? sp.,Tube-shaped agglutinated form.,Unilocular species,Valvulina spinosa,Agglutinated Foram. gen. et sp. indet.,Calc. Hyaline Foram. gen. et sp. indet.,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Section,Core,Type,Top [cm],Bottom [cm],Site,Bottom Depth [m],A/W,Sample,eodp_id
320,A,"1H-cc, 12-17 cm",3.86,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,1,H,12,17,U1332,,,320-U1332A-1H-cc,c464f8213f2d14b41183a8536d7261eb
320,A,"2H-cc, 19-24 cm",13.62,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,2,H,19,24,U1332,,,320-U1332A-2H-cc,de926e63df6aacbefd2baa0c8ba7990f
320,A,"3H-cc, 29-34 cm",23.51,M,LB-A,,,,,,,,,R,,,,R,R,R,,,,,,,,R,,,A,,,,,F,R,R,R,R,,,R,,,,,,R,,,A,F,R,R,R,,R,,R,,,R,,R,,R,,,,R,R,A,R,,R,,,R,,R,R,,,,,cc,3,H,29,34,U1332,,,320-U1332A-3H-cc,7cd192967dd7bffb197663d6d4898362
320,A,"4H-cc, 26-31 cm",32.95,G,LB-A,,,,R,,,,R,,,,,,,,,F,,,R,,,,,,F,,,R,R,F,R,F,,R,,,R,,,,,F,,R,,A,F,,F,,,,,,,R,,,R,,,,,,,,F,R,R,,,R,,R,R,R,,,,,cc,4,H,26,31,U1332,,,320-U1332A-4H-cc,f7121ee328e457a0756f39287f26223e
320,A,"5H-cc, 20-25 cm",42.47,VG,LB-A,,,,,,,,,,R,,,R,R,,,F,F,,,,,,,,,,,R,R,R,,,,,,,F,,R,R,,R,R,,,F,A,,R,,,,,,,,,,,,R,,,,R,,R,R,,,R,R,R,R,,F,,,,,cc,5,H,20,25,U1332,,,320-U1332A-5H-cc,7061ffaf3db41cc5e152bb2ef61219bb
320,A,"6H-cc, 27-32 cm",51.97,VG,LB-A,,,,R,R,R,,,,,,,,F,F,R,R,F,R,R,,,,,,R,R,,,,R,R,R,,,,R,R,,,,,R,,R,,R,A,R,R,R,R,,,R,,,,,,,,R,,,R,R,,R,R,,,R,R,,,,,,,,cc,6,H,27,32,U1332,,,320-U1332A-6H-cc,fd788b4c3a6ecf07b7150e6c8b13f584
320,A,"7H-cc, 21-26 cm",61.49,G,LB-A,,,,,R,,,,,,,,R,,A,,R,R,,,,,,,,F,,,,F,R,,,,R,,R,R,,,,,R,,,,R,A,R,F,R,F,,,R,,,,,,,,,,,R,R,R,F,R,,,,R,R,,F,,,,,cc,7,H,21,26,U1332,,,320-U1332A-7H-cc,9516fc2533294912aa0696a52f2d480e
320,A,"8H-cc, 28-33 cm",71.00,M,LB-A,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,A,F,F,,,,,,,,,,,,,,,,A,,F,,,,,,,F,,,,,,,,,,,A,,,,,F,,,,,,,,,cc,8,H,28,33,U1332,,,320-U1332A-8H-cc,ad9afaada8912599c22da8c976dd634b
320,A,"9H-cc, 145-150 cm",81.67,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,P,,,,,,cc,9,H,145,150,U1332,,,320-U1332A-9H-cc,6071badec4a6f4a43653d8578ee51e75
320,A,"10H-cc, 32-37 cm",89.89,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,P,,,,,,,,,cc,10,H,32,37,U1332,,,320-U1332A-10H-cc,fbbafe16bb5390ea462ab84d2f89afc5
320,A,"11H-cc, 27-32 cm",98.52,P,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,-,,,,,,-,,,,,,,,-,,,P,,P,,,,,,,,,,,,,,,,,,P,,,,P,,,P,,,,,,,,,cc,11,H,27,32,U1332,,,320-U1332A-11H-cc,4b0b25ca4dcfa5f6c4af6a2a77308cde
320,A,"12H-cc, 21-26 cm",108.45,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,12,H,21,26,U1332,,,320-U1332A-12H-cc,f0b79c29d7ff7b84b6c842d84a5fbb7a
320,A,"13H-cc, 20-25 cm",118.38,P,LB-A,R,,,,,,,,,,,F,,,,,,R,,,,,,R,,R,,,R,,F,R,,,,R,,,,,,,,,,A,,A,,R,,,,,,,,,,,,,,,,R,,,,,,,,F,R,,,,,,,cc,13,H,20,25,U1332,,,320-U1332A-13H-cc,12837b4dd48eb65fae72815de1070f9c
320,A,"14H-cc, 25-30 cm",126.28,P,,-,,,,,,,,,,,P,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,P,,,-,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,14,H,25,30,U1332,,,320-U1332A-14H-cc,4eaf6c833143771cbe0e4d315ef23446
320,A,"15X-cc, 13-18 cm",132.93,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,15,X,13,18,U1332,,,320-U1332A-15X-cc,4e29559c5cb38489034fe486f0e57a9a
320,B,"1H-cc, 15-20 cm",2.05,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,cc,1,H,15,20,U1332,,,320-U1332B-1H-cc,0275d5fed68d050e2c2832bb874dbb7e
320,B,"2H-cc, 35-40 cm",12.09,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,2,H,35,40,U1332,,,320-U1332B-2H-cc,28f221135f3b5c0a631e5099741cea7a
320,B,"3H-cc, 38-43 cm",19.97,G,LB-A,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,A,,,,,,R,,D,R,,A,F,,,,,cc,3,H,38,43,U1332,,,320-U1332B-3H-cc,6948bb28d574f93e044b1a169ab91069
320,B,"4H-cc, 23-28 cm",29.61,G,LB-A,,,,,,,,,,,F,,F,F,,,,F,,,R,,,,,F,,,,R,,,F,,,,,R,,,,,,,R,,A,F,,,F,,,,,,,,,,,,,R,,,,,R,,,,,,,F,F,,,,,cc,4,H,23,28,U1332,,,320-U1332B-4H-cc,de438dfba103d60ebe1e440ed792d04a
