Exp,Hole,"Core, section, interval (cm)",Top Depth [m],Presevation,Bathymetry,Alabaminella weddelensis,Ammodiscus latus,Amphicoryna sp.,Anomalinoides globulosus,Anomalinoides cf. globulosus,Anomalinoides sp. A,Anomalinoides sp. B,Anomalinoides sp. indet.,Astacolus spp.,Astrononion echolsi,Astrononion sp.,Bigenerina sp.,Bolivina huneri,Bolivina sp. A,Bolivina spp.,Brizalina pussilla,Brizalina sp.,Buliminella parvula,Cassidulina sp. A,Cassidulina sp. indet.,Cassidulina? sp.,Chilostomella sp.,Chrysalogonium crassitestum,Chrysalogonium sp. indet.,Cibicidoides eocanus,Cibicidoides grimusdalei,Cibicidoides havanensis,Cibicidoides micrus,Cibicidoides mundulus,Cibicidoides wuellerstorfi,Cibicidoides sp. A,Cibicidoides sp. B,Cibicidoides sp. C,Cibicidoides sp. indet.,Cystammina pauciloculata,Dentalina spp.,Eggerella bradyi,Eggerella sp.,Ehrenbergina histrix,Epistominella sp. A,Epistominella sp.,Evolvecassidulina cf. howei,Favocassidulina favus,Favocassidulina spinifer,Favocassidulina subfavus,Fistulose? sp.,Fursenkoina bradyi,Fursenkoina spp.,Globobulimina sp.,Globocassidulina subglobosa,Glomospira irregularis,Gyroidinoides soldanii,Gyroidinoides sp. A,Gyroidinoides sp. B,Gyroidinoides sp. C,Gyroidinoides sp. D,Gyroidinoides sp. indet.,Haplophragmoides spp.,Heronallenia sp.,Karreriella chapapotensis,Karreriella sp.,Laticarinina pauperata,Lenticulina spp.,Mattinotiella cummunis,Melonis baeleanuum,Melonis pomplioides,Myllostonella spp.,Neoeponides campester,Nodosaria spp.,Nonion affine,Nonion havanensis,Nonion sp.,Nuttallides umbonifer,Oridorsalis umbonatus,Orthomorphina spp.,Paracassidulina spp.,Planulina costata,Planulina renzi,Pleurostomella spp.,Pseudoparrella exigua,Pseudopleurostomella spp.,Pullenia bulloides,Pullenia osloensis,Pullenia quinqueloba,Pullenia salisburyi,Pullenia subcarinata,Pullenia sp. A,Pullenia sp. B,Pullenia sp. indet.,Pyrgo murrhina,Pyrgo sp. B,Pyrgo sp.,Pyrulina spp.,Quadrimorphina? sp.,Quinqueloculina sp.,Rectouvigerina senni,Recurvoides spp.,Reticulophragmium amplectens,Reussella spinulosa,Siphonodosaria antillea,Siphonodosaria spinata,Siphonodosaria sp. indet.,Spheroidina bulloides,Spiroloculina spp.,Spiroplectammina spectabilis,Stilostomella spp.,Textularia spp.,Turrilina brevispira,Turrilina robertsi,Turrilina sp. indet.,Tube-shaped agglutinated form.,Unilocular species,Uvigerina hispida,Uvigerina peregrina pradyiana,Uvigerina proboscidea,Valvulina spinosa,Agglutinated Foram. gen. et sp. indet.,Calc. Hyaline Foram. gen. et sp. indet.,Section,Core,Type,Top [cm],Bottom [cm],Site,Bottom Depth [m],A/W,Sample
320,A,"1H-cc, 13-18 cm",8.84,M,LB-A,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,R,R,,,,R,,,R,,,,R,R,,,,,,,,,,,R,R,,,F,,,,,,R,,R,F,,F,,,,,,A,,,,,,R,,R,,R,,,F,,R,,,F,,,R,,,,R,,,,F,,,,,,,,,F,,,,,,R,cc,1,H,13,18,U1335,,,320-U1335A-1H-cc-nan
320,A,"2H-cc, 20-25 cm",18.88,M,LB-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,R,,,R,,R,,,,,,,,R,,F,,,,,R,,,,,R,,,R,R,,,,,,R,R,F,,,,,,A,,F,,,,,A,,R,,,R,,,,,,,,R,,R,,,,,,,,,,R,,,,,R,R,cc,2,H,20,25,U1335,,,320-U1335A-2H-cc-nan
320,A,"3H-cc, 13-18 cm",28.16,M,LB-A,,,,,,R,,,R,R,,,,,,,,,,,,R,,,,,,,A,,,,R,R,,,,,,,,R,,,,,,,,R,,R,,R,,,R,,,,,R,,,R,R,,,,,,,F,A,,,,,R,R,,F,,,,,R,,,,R,R,,,R,,,,,,,,R,,,,,,,,,R,,,,,,R,cc,3,H,13,18,U1335,,,320-U1335A-3H-cc-nan
320,A,"4H-cc, 13-18 cm",37.83,G,LB-A,,,,,,R,,,,R,,,,,,,,,,,,R,,,,,,,F,,,,,R,,R,,,R,,,R,,,,,R,R,,,,R,R,R,,,,,,R,,R,,R,F,R,,,R,,,,R,R,,,,,,,,R,R,,,,,R,,R,R,,R,,R,,R,,,,,R,,,,R,R,,,,,,,,,,,F,cc,4,H,13,18,U1335,,,320-U1335A-4H-cc-nan
320,A,"5H-cc, 12-17 cm",46.48,M,LB-A,,,,,,R,,R,,,,,,,,,,,,,,F,,,,,,,A,,,,R,,,,,,,,,,,,,,R,,,F,,R,F,R,,R,,,,F,,R,,R,,,R,,,,,,R,A,,,,,,,,,,,,,R,,,R,,,,R,R,,,,,,,,,,,,,R,R,,,R,,,,,,R,cc,5,H,12,17,U1335,,,320-U1335A-5H-cc-nan
320,A,"6H-cc, 17-22 cm",56.48,M,LB-A,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,R,,,R,,R,,R,,R,F,,,,,R,,,,,,,,,,,R,A,,,,,R,R,R,F,,,,,R,,,,,,,,F,,,,,,,,R,,,,,R,R,,,R,,,,,,,cc,6,H,17,22,U1335,,,320-U1335A-6H-cc-nan
320,A,"7H-cc, 22-27 cm",66.27,M,LB-A,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,A,,,,R,,,,,,R,,,,,,,,,,,R,,R,R,,R,R,R,,,,,A,,,,R,,,,,,,R,F,,,,,,F,R,,R,,,,R,,,R,,,R,,R,,,,,R,,R,R,,,,R,,,,,F,,,,,,R,cc,7,H,22,27,U1335,,,320-U1335A-7H-cc-nan
320,A,"8H-cc, 22-27 cm",75.89,G,LB-A,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,A,,,,,,,,,,,,,R,,,,,R,R,R,,,R,R,R,F,R,R,,,,,R,,,R,R,,,,,,,R,A,,,,,,R,R,R,,,,,,,,F,,,R,,A,,,,,,,,,,,,,,,,,R,,,,,,R,cc,8,H,22,27,U1335,,,320-U1335A-8H-cc-nan
320,A,"9H-cc, 14-19 cm",85.05,G,LB-A,,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,A,,,,R,,,R,R,,,,,,,,,,R,R,,R,,,F,,R,R,R,R,,,,F,,R,,R,,,,,,,R,A,,,,,R,,,R,,,,R,R,,,,,,,R,F,,,,,,,,R,,,,,,R,,,F,,,,,,,cc,9,H,14,19,U1335,,,320-U1335A-9H-cc-nan
320,A,"10H-cc, 18-23 cm",94.97,G,LB-A,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,A,R,,,,R,,,,,,,,,,,,,,,,R,,,F,,R,R,,,,,,R,,,,,,,,,,,F,A,,,,,,F,,,,,,,F,,,,,,R,,F,,R,R,,,,F,R,,,,,,,,,F,,,,,,,cc,10,H,18,23,U1335,,,320-U1335A-10H-cc-nan
