Sample,Top Depth [m],Bottom Depth [m],Radiolarian zone/subzone,Abundance,Preservation,Mixing,Acrobotrys tritubus,Amphirhopalum ypsilon,Anthocyrtidium angulare,Anthocyrtidum pliocenica,Botryostrobus miralestensis,Calocycletta caepa,Carpocanopsis cristata,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Diartus hughesi,Diartus petterssoni,Didymocyrtis antipenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis penultima,Didymocyrtis tetratharamus,Lamaprocyrtis heteroporos,Lamaprocyrtis neoheteroporos,Lamaprocyrtis nigriniae,Lithopera neotera,Lychnodictyum audax,Nephrospyris renila,Phormostichoartus doliolum,Phormostichoartus fistula,Pterocanium prismatium,Solenosphaera omnitubus,Spongaster berminghami,Spongaster tetras tetras,Stichocorys delmontensis,Stichocorys johnsoni,Stichocorys pergrina,Stichocorys wolffii,Stylatractus universus,Theocorythium trachelium,Theocorythium vetulum,Top [cm],Bottom [cm],Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
321-U1337B-1H-CC,7.37,7.41,RN 14,A,M,,,F,,,,,,R,,,,,,,,,,F,,,R,,,R,,,,,,C,,,,,R,F,,,,321,U1337,B,1,H,CC,,c7e1007bc19bcbf887dd30681f0f3383
321-U1337B-2H-CC,20.26,20.3,RN 13,A,M,,,R,R,,,,,F,,,,,,,,,,C,,R,R,,,R,,,,,,C,,,,,R,F,R,,,321,U1337,B,2,H,CC,,7d6b9b2c10f672f0a72f18431db187e0
321-U1337B-3H-CC,29.69,29.72,RN 12b,A,M,,,R,,,,,,R,,,,,,,,,,C,R,R,,,,R,,,R,,,C,,,,,R,,R,,,321,U1337,B,3,H,CC,,fb88cb47eb59a88c5dd34ee848a256eb
321-U1337B-4H-CC,39.39,39.44,RN 11b,A,M,,,R,,R,,,,,,,,,,,R,,,C,,,,,,R,,,R,,,F,,,R,,R,,R,,,321,U1337,B,4,H,CC,,67f767cda703746df3cae22889953798
321-U1337B-5H-CC,48.96,49.01,RN 11a,A,M,,,R,,R,,,,,,,,,,,R,,,C,,,,,,R,,R,R,,,F,,,C,,R,,R,,,321,U1337,B,5,H,CC,,10ad804e4d81b17bf7e1d74429fdc9f3
321-U1337B-6H-CC,58.3,58.35,RN10,A,M,,,,,R,,,,,,,,,,,R,,,C,,,,,,R,,R,R,,,F,,,C,,,,R,,,321,U1337,B,6,H,CC,,a76f9005a0974656dae548c65dd34270
321-U1337B-7H-CC,67.46,67.51,RN10,A,M,,,,,R,,,,,,,,,,,R,,,F,,,,,,R,R,R,R,,,,,,C,,,,R,,,321,U1337,B,7,H,CC,,d7cd31597ca81ed63ccadda7d9bbe33d
321-U1337B-8H-CC,76.99,77.04,RN9,A,M,,,,,R,,,,,,,,,,,R,,R,R,,,,,R,,R,R,R,,,,,,C,,,,R,,,321,U1337,B,8,H,CC,,4f0d28dd9056c787ec41ae5e3f670de2
321-U1337B-9H-CC,86.95,87,RN9,A,M,,,,,R,,,,,,,,,,,R,,R,R,,,,,R,,R,R,,,,,,,C,,,,R,,,321,U1337,B,9,H,CC,,4c144b9593ec675897a7deb90995be59
321-U1337B-10H-CC,96.17,96.22,RN9,A,M,,,,,R,,,,,,,,,,,R,,R,R,,,,,,,R,R,,R,R,,,,C,,,,,,,321,U1337,B,10,H,CC,,0c36f7c20fbf2f56af8f3875910e6699
