Sample,Top Depth [m],Zone name (short),Preservation,Group abundance,Acarinina cf. medizzi,Catapsydrax dissimilis,Catapsydrax unicavus,Catapsydrax spp.,Chiloguembelina cubensis,Chiloguembelina otara,Clavigerinella spp. (fragments),Dentoglobigerina altispira,Dentoglobigerina baroemoensis,Dentoglobigerina galavisi,Dentoglobigerina globularis,Dentoglobigerina tripartita,Dentoglobigerina pseudovenezuelana,Dentoglobigerina spp.,Globigerina angulisuturalis,Globigerina ciperoensis,Globigerina officianilis,Globigerina praebulloides,Globigerina spp.,Globigerinoides altiapertura,Globigerinoides immaturus,Globigerinoides primordius,Globigerinoides spp.,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina euapertura,Globoquadrina praedehiscens,Globoquadrina rohri,Globoquadrina sellii,Globoquadrina spp.,Globoquadrina tapuriensis,Globoquadrina venezuelana,Globorotalia (Fohsella) fohsi lobata,Globorotalia (Fohsella) fohsi robusta,Globorotalia (Hirsutella) scitula,Globoturborotalita anguliofficinalis,Globoturborotalita brazeri,Globoturborotalita ouachitaensis,Globoturborotalita woodi,Paragloborotalia bella,Paragloborotalia continuosa,Paragloborotalia nana,Paragloborotalia griffinoides,Paragloborotalia kugleri,Paragloborotalia opima,Paragloborotalia opima-nana transition,Paragloborotalia pseudocontinuosa,Paragloborotalia pseudokugleri,Paragloborotalia semivera,Paragloborotalia siakensis/mayeri,"Parasubbotina varianta
Paragloborotalia spp.",Parasubbotina griffinae,Praeorbulina sicana,Spharoidinellopsis disjuncta,Subbotina angiporoides,Subbotina eoceana,Subbotina linaperta,Subbotina utilisindex,Subbotina spp.,Turborotalia ampliapertura,Turborotalia increbescans,Turborotalia pomeroli,Turborotalia spp.,Tenuitellinata angustiumbilicata,Tenuitella munda,Tenuitutella spp.,Unnamed: 71,Top [cm],Bottom [cm],Bottom Depth [m],Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
"320-U1334A-1H-1, 37–39",0.37,B,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,1,H,1,,b921932cacee98bf8218a63b0a92b75a
320-U1334A-1H-CC,8.19,B,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,1,H,CC,,ddc559b3335d66ff904db829f70550c5
"320-U1334A-2H-2, 38–40",10.08,B,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,2,H,2,,bf0a432591556e1ac474ffd2e8547d35
"320-U1334A-2H-6, 120–122",16.90,M9b,G,30,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,320,U1334,A,2,H,6,,6771b93fec2e62e268916368ca65f058
320-U1334A-2H-CC,18.11,M9b,G,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,P,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,320,U1334,A,2,H,CC,,757ca3f04d02afd9563198f60a7938e5
"320-U1334A-3H-2, 38–40",19.58,M8–M9a,P,<1,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,320,U1334,A,3,H,2,,c3591586e878e7ee880be57f8af1cc82
"320-U1334A-3H-4, 38–40",22.58,M8–M9a,M,15,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,320,U1334,A,3,H,4,,6e5e96757ccb3a621d8f68eb8124637d
320-U1334A-3H-CC,27.65,M6–M8,M,15,,,P,,,,,,P,,P,P,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,320,U1334,A,3,H,CC,,7c9afa1410aa51d1941f5e90500be475
"320-U1334A-4H-2, 38–40",29.08,M5–M6,G,30,,,P,,,,,,,,P,,,,,,,,,,P,P,,,,,,,,,,P,,,,,,,,,,P,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,320,U1334,A,4,H,2,,21f4d2a10e91b5c869aaf60ad5260aa9
"320-U1334A-4H-5, 38–40",33.58,M2,M,<10,,,,,,,,,,,,P,,,,,,,,,,P,,,P,,P,P,P,,F,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,320,U1334,A,4,H,5,,7cfb913434732814f2f3795605f828f5
