Exp,Site,Hole,Core,Type,Section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Picea,Pinus,Trees,Shrubs,Herbs,Total pollen,Spores of Sphagnum,Spores of Pteridophytes,Botryococcus + Pediastrum,Hallodinium,Reworked palynomorphs,A/W,Sample,eodp_id
323,U1345,B,1,H,1,0,0,0,0,G,C,,C,R,R,C,R,R,R,C,,,323-U1345B-1H-1-nan,4ef9843ed68fb5fee7edd56395a40700
323,U1345,A,1,H,CC,,,4.3,4.4,G,F,,F,R,R,C,C,F,F,,R,,323-U1345A-1H-CC-nan,6282b6c5ce7e500a923c563955e1844c
323,U1345,A,2,H,CC,,,14.0,14.1,G,R,R,F,,R,F,R,F,F,,R,,323-U1345A-2H-CC-nan,e521e4f7d0a70794449f1bd6a3543556
323,U1345,A,3,H,CC,,,23.8,23.9,G,C,R,C,R,R,C,F,C,F,,R,,323-U1345A-3H-CC-nan,09d797b481aa98126be2a19d7e8db05a
323,U1345,A,4,H,CC,,,33.3,33.4,G,C,R,C,R,,C,R,C,,,R,,323-U1345A-4H-CC-nan,b38c75db3fbf66fb7d28383478b50964
323,U1345,A,5,H,CC,,,42.9,43.0,G,F,,C,,,C,R,R,F,,R,,323-U1345A-5H-CC-nan,39949cae99448e099d5006832cd81299
323,U1345,A,6,H,CC,,,51.5,51.6,G,C,R,C,F,R,C,C,C,C,,R,,323-U1345A-6H-CC-nan,3141c59627a63d1be9834fc75cf9ca70
323,U1345,A,7,H,CC,,,61.7,61.8,M,C,F,C,,,C,C,C,C,,F,,323-U1345A-7H-CC-nan,9e111c6cce85f83318ae7ef842a37a98
323,U1345,A,8,H,CC,,,71.0,71.1,G,R,R,F,R,,F,F,R,R,,R,,323-U1345A-8H-CC-nan,e31384832d60f5a6bc311f7269ea6627
323,U1345,A,9,H,CC,,,80.5,80.6,G,F,,F,R,,F,F,,R,,R,,323-U1345A-9H-CC-nan,1ff187259bfcdc67afa9de0f8c9987e8
323,U1345,A,10,H,CC,,,88.3,88.4,G,C,R,C,R,R,C,F,C,C,,R,,323-U1345A-10H-CC-nan,34a57030d0194b51c6c04511216fd8be
323,U1345,A,11,H,CC,,,98.4,98.5,M,C,,C,,,C,,R,F,,R,,323-U1345A-11H-CC-nan,35a9e10f61de9e3b49e0e951af6e6365
323,U1345,A,12,H,CC,,,108.4,108.5,G,F,,F,R,,F,R,R,R,,,,323-U1345A-12H-CC-nan,2df8de80950200f37c4ba66144657f3d
323,U1345,A,13,H,CC,,,118.9,119.0,G,F,,F,,R,C,C,F,F,,,,323-U1345A-13H-CC-nan,6a05659ae797a373c1a9a6c16b45e3fd
323,U1345,A,14,H,CC,,,128.0,128.1,M,C,,C,,,C,,F,R,,R,,323-U1345A-14H-CC-nan,8bc1f0736f21951fb0cd433c4f9cd73c
323,U1345,A,15,H,CC,,,138.0,138.1,G,C,,C,,,C,C,F,F,,,,323-U1345A-15H-CC-nan,7d3f0c249225c5f2e968108d5d4e7c78
323,U1345,A,16,H,CC,,,147.3,147.4,G,C,R,C,,,C,,F,F,,C,,323-U1345A-16H-CC-nan,294b95bf74b94d1dcf81b0fddc5cf794
323,U1345,C,2,H,CC,,,15.7,15.8,G,R,,R,,,R,R,R,R,,R,,323-U1345C-2H-CC-nan,f9b6f87e5362c29634f22feb94ef067c
323,U1345,C,4,H,CC,,,35.0,35.1,G,R,,R,,,R,,R,F,,R,,323-U1345C-4H-CC-nan,e4d7b1eedd3ec2447b71116174b73b17
323,U1345,C,6,H,CC,,,53.8,53.9,G,R,,R,R,,F,,R,R,,R,,323-U1345C-6H-CC-nan,a4ca736e01ae1487b618cb37d3de2c85
323,U1345,C,8,H,CC,,,72.5,72.6,M,R,,R,,,R,,R,,,R,,323-U1345C-8H-CC-nan,c8489561f81389c720c82da8ca88c1eb
323,U1345,C,10,H,CC,,,91.8,91.9,G,R,R,R,R,,R,R,R,R,,,,323-U1345C-10H-CC-nan,8b18ed33da1ac25d89fe07edb76dfcbd
323,U1345,C,12,H,CC,,,111.0,111.1,M,C,F,C,R,,C,C,R,F,,R,,323-U1345C-12H-CC-nan,6377ca417d7c48447d6f76bd2f3c6d02
323,U1345,C,14,H,CC,,,129.8,129.9,G,R,,R,,,R,R,R,R,,C,,323-U1345C-14H-CC-nan,d8e4188d13da7108300ea861865fa8f8
323,U1345,C,16,H,CC,,,148.4,148.5,M,C,,C,R,,C,F,,R,,F,,323-U1345C-16H-CC-nan,cd3b2b09eb75b1d2416935b5fe9c6bfc
