Exp,Site,Hole,"Core, section",Top Depth [m],Bottom Depth [m],Abundance,Preservation,Dictyocha subarctios,Distephanus boliviensis,Distephanus jimlingii,Distephanus medianoctisol,Distephanus medianoctisol with short radial spines,Distephanus octangulatus,Distephanus octonarius,Distephanus quinquangellus,Distephanus speculum,Distephanus speculum with short radial spines,Aberrant silicoflagellates,Ammodochium rectangulare,Silicoflagellate Zone in Ling (1992),Core,Section,Type,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1341,B,3H-CC,28.08,28.18,F,G,,,,T,,T,,,R,F,,,Undefined (Ds. octonarius-Dc. subarctios),3,CC,H,,,,323-U1341B-3H-CC-nan,cec363fb36a49289bb7842c1896de60f
323,U1341,B,4H-CC,37.6,37.7,F,G,,,,,,,R,,R,R,,,Undefined (Ds. octonarius-Dc. subarctios),4,CC,H,,,,323-U1341B-4H-CC-nan,8576cf81962d884c5cfd4beeed1a3d82
323,U1341,B,5H-CC,47.04,47.18,T,M,,,,T,,,,,,,,,Undefined (Ds. octonarius-Dc. subarctios),5,CC,H,,,,323-U1341B-5H-CC-nan,f2d82a528370fad2e932da23fbc77c5f
323,U1341,B,6H-CC,56.58,56.68,R,G,R,,,T,,T,T,,,,,,Undefined (Ds. octonarius-Dc. subarctios),6,CC,H,,,,323-U1341B-6H-CC-nan,5d82b6d18568c9ae8cc0cd6e7a3fb06c
323,U1341,B,7H-CC,66.08,66.18,C,G,,,,C,R,,R,,R,T,,,Undefined (Ds. octonarius-Dc. subarctios),7,CC,H,,,,323-U1341B-7H-CC-nan,9bf6a921d2d3e30a60b45ebf29303014
323,U1341,B,8H-CC,75.65,75.75,C,G,R,,,R,,,C,,,,,,Undefined (Ds. octonarius-Dc. subarctios),8,CC,H,,,,323-U1341B-8H-CC-nan,00cd63e7fec8e3766f8b9f1c4ca4a4dd
323,U1341,B,9H-CC,85.14,85.24,A,G,,T,,C,T,,T,T,A,R,R,,Undefined (Ds. octonarius-Dc. subarctios),9,CC,H,,,,323-U1341B-9H-CC-nan,85782e4045416d871a53b49144f5d998
323,U1341,B,10H-CC,94.1,94.2,A,G,,,,C,R,,C,,F,F,T,,Undefined (Ds. octonarius-Dc. subarctios),10,CC,H,,,,323-U1341B-10H-CC-nan,c307a6d1b049320fe9b21b6f432aeb5e
323,U1341,B,23H-CC,209.68,209.78,T,P,,,,,,,,,,T,,,Undefined (Ds. octonarius-Dc. subarctios),23,CC,H,,,,323-U1341B-23H-CC-nan,ebc8ffad667a18c72c3581e2141b8fea
323,U1341,B,24H-CC,218.83,218.93,F,M,,,,,,,,,F,R,,,Undefined (Ds. octonarius-Dc. subarctios),24,CC,H,,,,323-U1341B-24H-CC-nan,c8f783e8e029c9e4aee0ae13545c6a54
323,U1341,B,25H-CC,228.42,228.52,R,M,,T,,,,,,,R,T,,,Undefined (Ds. octonarius-Dc. subarctios),25,CC,H,,,,323-U1341B-25H-CC-nan,761f3857dcb10a8b04aad118d8faf425
323,U1341,B,26H-CC,238.11,238.21,C,M,,,,,,,,,R,F,,R,Am. rectangulare,26,CC,H,,,,323-U1341B-26H-CC-nan,d134232abff443f9ae63c5e1329856d0
323,U1341,B,27H-CC,247.5,247.6,F,G,,,,T,,,,,F,R,T,R,Am. rectangulare,27,CC,H,,,,323-U1341B-27H-CC-nan,06378168bebbcb7b052509eb83527314
323,U1341,B,28H-CC,257.09,257.19,F,G,,,,,,,,,F,R,,T,Am. rectangulare,28,CC,H,,,,323-U1341B-28H-CC-nan,8e85b5cd4091492417188da12385dd54
323,U1341,B,29H-CC,265.92,266.02,C,G,,,T,T,,,,,F,C,,R,Am. rectangulare,29,CC,H,,,,323-U1341B-29H-CC-nan,5daaa3997e23f10113807cfa59376782
323,U1341,B,30H-CC,276.09,276.19,F,G,,,,T,,,,,F,,,,Am. rectangulare,30,CC,H,,,,323-U1341B-30H-CC-nan,bfa003ca87c9acb471b294e3faaeeb85
323,U1341,B,34H-CC,307.22,307.32,R,G,,,,,,,,,R,,,,Am. rectangulare,34,CC,H,,,,323-U1341B-34H-CC-nan,9a19c7d603588b353b410783a688fb5c
323,U1341,B,35H-CC,316.65,316.75,F,G,,,,T,,,,,F,T,,,Am. rectangulare,35,CC,H,,,,323-U1341B-35H-CC-nan,5afdc0cc91eafbad58996f627d605541
323,U1341,B,36H-CC,325.83,325.93,A,G,,,,A,T,,,,R,T,R,,Am. rectangulare,36,CC,H,,,,323-U1341B-36H-CC-nan,1ffdde33857e963760be0dd3f026e94d
323,U1341,B,37H-CC,335.18,335.28,A,G,,,,A,C,,R,,F,R,T,T,Ebr. antiqua antiqua,37,CC,H,,,,323-U1341B-37H-CC-nan,1b8b9b8c87956dad6e83231b31f9b2f1
323,U1341,B,38H-CC,345.68,345.78,A,G,,,T,C,T,,T,,C,F,,,Ds. jimlingii,38,CC,H,,,,323-U1341B-38H-CC-nan,f3888c9dab82eb60cde0dba1710151a0
323,U1341,B,39H-CC,354.99,355.09,A,G,,,,A,,,F,,R,,,R,Ds. jimlingii,39,CC,H,,,,323-U1341B-39H-CC-nan,e14ca39414d5771e0936d3ef9b872f3c
323,U1341,B,40H-CC,358.01,358.11,A,G,,,R,A,T,,T,,C,R,,,Ds. jimlingii,40,CC,H,,,,323-U1341B-40H-CC-nan,04473a64eb75e38a6315033ed965b4c2
323,U1341,B,41H-CC,366.14,366.24,A,G,,,R,C,T,,T,,R,R,,T,Ds. jimlingii,41,CC,H,,,,323-U1341B-41H-CC-nan,9cddb4b31b2513fd31b58d572f6c8146
323,U1341,B,55H-CC,458.3,458.36,F,G,,,R,,,,,R,R,T,,,Ds. jimlingii,55,CC,H,,,,323-U1341B-55H-CC-nan,e03b58cd29b78a825bd22dc7cf241599
323,U1341,B,71X-CC,601.77,601.87,C,M,,,R,,,,,R,R,F,,,Ds. jimlingii,71,CC,X,,,,323-U1341B-71X-CC-nan,0473e1fab1c2fa06fc671fdfbc930c23
