Sample,Top Depth [m],Zone name (short),Preservation,Group abundance,Acarinina cf. medizzi,Catapsydrax dissimilis,Catapsydrax unicavus,Catapsydrax spp.,Chiloguembelina cubensis,Chiloguembelina otara,Clavigerinella spp. (fragments),Dentoglobigerina altispira,Dentoglobigerina baroemoensis,Dentoglobigerina galavisi,Dentoglobigerina globularis,Dentoglobigerina tripartita,Dentoglobigerina pseudovenezuelana,Dentoglobigerina spp.,Globigerina angulisuturalis,Globigerina ciperoensis,Globigerina officianilis,Globigerina praebulloides,Globigerina spp.,Globigerinoides altiapertura,Globigerinoides immaturus,Globigerinoides primordius,Globigerinoides spp.,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina euapertura,Globoquadrina praedehiscens,Globoquadrina rohri,Globoquadrina sellii,Globoquadrina spp.,Globoquadrina tapuriensis,Globoquadrina venezuelana,Globorotalia (Fohsella) fohsi lobata,Globorotalia (Fohsella) fohsi robusta,Globorotalia (Hirsutella) scitula,Globoturborotalita anguliofficinalis,Globoturborotalita brazeri,Globoturborotalita ouachitaensis,Globoturborotalita woodi,Paragloborotalia bella,Paragloborotalia continuosa,Paragloborotalia nana,Paragloborotalia griffinoides,Paragloborotalia kugleri,Paragloborotalia opima,Paragloborotalia opima-nana transition,Paragloborotalia pseudocontinuosa,Paragloborotalia pseudokugleri,Paragloborotalia semivera,Paragloborotalia siakensis/mayeri,"Parasubbotina varianta
Paragloborotalia spp.",Parasubbotina griffinae,Praeorbulina sicana,Spharoidinellopsis disjuncta,Subbotina angiporoides,Subbotina eoceana,Subbotina linaperta,Subbotina utilisindex,Subbotina spp.,Turborotalia ampliapertura,Turborotalia increbescans,Turborotalia pomeroli,Turborotalia spp.,Tenuitellinata angustiumbilicata,Tenuitella munda,Tenuitutella spp.,Top [cm],Bottom [cm],Bottom Depth [m],Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
320-U1334C-1H-CC,9.78,B,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,C,1,H,CC,,18ff157883e775a98ac08a04e3d8ccfc
320-U1334C-2H-CC,18.67,M6–M8,P,<10,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,320,U1334,C,2,H,CC,,d68aac5b044368d0b7bb92cf2eb7a17e
320-U1334C-3H-CC,28.07,M2/M3,M,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,320,U1334,C,3,H,CC,,b0003cef8f190a1e6f5b575950e4765c
320-U1334C-4H-CC,38.28,M2/M3,P,<1,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,U1334,C,4,H,CC,,aa42f2ea99a70a6f0c4528ea01c880ec
320-U1334C-5H-CC,48,M2,G,70,,,P,,,,,,,,P,,,,,,,,,,,P,P,,P,,P,P,,,R,P,,,,,,,,P,,R,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,320,U1334,C,5,H,CC,,76b88268fe67b791008fc64461cf9c96
320-U1334C-6H-CC,57.25,M2,M,>50,,P,,,,,,,,,P,,,,,,,P,,,,,,P,P,,,P,,,R,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,320,U1334,C,6,H,CC,,91c32603fe5a5c2931fce6c4e7b7dc10
320-U1334C-7H-CC,66.61,M1,G,30,,P,P,,,,,,,P,,P,,P,P,P,,P,,,,,,,,P,,P,P,,,P,,,,P,,,,,P,P,,P,,,,P,P,P,,,,,,,,,,,,,,,,,,,,320,U1334,C,7,H,CC,,daaed698f03bcd542341b0cbc69611a7
320-U1334C-8H-CC,76.33,M1a,M,<10,,P,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,P,,,,,,,,,,,,P,,,P,P,P,,,,,,,,,,,,,,,,,,,,,320,U1334,C,8,H,CC,,f19be09f6457d3b12fd9f747d0be5378
320-U1334C-9H-CC,85.79,M1a,M,30,,P,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,P,,P,,,,P,P,,,,,,,,,,,,,,,,,,,,,320,U1334,C,9,H,CC,,84f3e0ef137fdbf922ed249ae6b82281
320-U1334C-10H-CC,95.14,O6,G,20,,,P,,,,,,,,,P,,P,,,,,,,,,,,,P,,,,,P,P,,,,,,,,,,P,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,320,U1334,C,10,H,CC,,f59804289f14b88cb8cd3bedb372398d
