Exp,Site,Hole,Core,Type,Section,Secton Half,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone,Abundance,Preservation,E. huxleyi,P. lacunosa,Gephyrocapsa (medium),Gephyrocapsa (small),C. pelagicus,R. minuta,C. leptoporus,Comments,A/W,Sample,eodp_id
323,U1342,A,1,H,CC,,10,20,1.65,1.75,NN21,A,G,F,,,,A,,,,,323-U1342A-1H-CC,72dc22583f17c41532a30eb49a2352c1
323,U1342,A,2,H,CC,,12,22,11.31,11.41,,R,M-G,,,R,R,R,,,,,323-U1342A-2H-CC,4af210bf1779b5654ba67d6c91c23397
323,U1342,A,3,H,CC,,11,21,20.91,21.01,NN19,C,M-G,,R,F,F,F,,,,,323-U1342A-3H-CC,0b046edc40172fd3b873e483023cad25
323,U1342,A,4,H,CC,,17,27,30.65,30.75,,B,,,,,,,,,,,323-U1342A-4H-CC,839cca4429a5cec1589037747df05cd4
323,U1342,A,5,H,CC,,12,22,40.12,40.22,,R,G,,,,,R,,,,,323-U1342A-5H-CC,8536e6d49a2a15a2dad54966f4ee1b8c
323,U1342,A,6,H,CC,,0,10,48.25,48.35,,B,,,,,,,,,,,323-U1342A-6H-CC,6cbe6651b9bb22daca628742e613a5bd
323,U1342,A,7,H,CC,,0,10,55.64,55.74,,B,,,,,,,,,,,323-U1342A-7H-CC,0d958de26afda6113cc624cde32966b3
323,U1342,B,1,H,CC,,9,19,5.23,5.33,,A,M-G,,,R,F,A,R,,,,323-U1342B-1H-CC,bbd3754c377d69228b8fcacac2de5836
323,U1342,B,2,H,CC,,17,27,14.98,15.08,,B,,,,,,,,,,,323-U1342B-2H-CC,9f5314db63eafbf20d825e75cb6dd45b
323,U1342,B,3,H,CC,,25,35,24.71,24.81,,B,,,,,,,,,,,323-U1342B-3H-CC,7bf9dba28795d4acbfff676948eb3fff
323,U1342,B,4,H,CC,,17,27,33.97,34.07,,B,,,,,,,,,,,323-U1342B-4H-CC,6a685fb1e9d9af0a5e3185981c0ff73b
323,U1342,B,5,H,CC,,14,24,43.64,43.74,,B,,,,,,,,,,,323-U1342B-5H-CC,ed2c6880e96597f26467087427963a81
323,U1342,C,1,H,CC,,0,10,7.09,7.19,,B,,,,,,,,,,,323-U1342C-1H-CC,ba7779db6cc1ac7fef42fda9552a6801
323,U1342,C,2,H,CC,,9,19,16.94,17.04,,R,G,,,,,R,,,,,323-U1342C-2H-CC,a2e066afb40a29d84385c00b0ae313b0
323,U1342,C,3,H,CC,,23,33,26.6,26.7,,R,M,,,,R,,,,,,323-U1342C-3H-CC,6e978c2245905b3ad49db14803afcf1a
323,U1342,C,4,H,CC,,15,25,35.9,36,,B,,,,,,,,,,,323-U1342C-4H-CC,a2a9388c7f3aa0f2959fe50683a72261
323,U1342,C,5,H,CC,,26,36,45.58,45.68,,B,,,,,,,,,,,323-U1342C-5H-CC,01df7b0d54e34a735b505cb21b3af108
323,U1342,C,6,H,CC,,17,22,45.37,45.42,,B,,,,,,,,,,,323-U1342C-6H-CC,620dc3273b6c048b9fbc16147dd6cad7
323,U1342,D,1,H,CC,,6,16,6.01,6.11,,F,M-G,R,,R,R,F,,,reworked specimens (Dictyococcites spp. and Discoaster spp. ),,323-U1342D-1H-CC,bdc4342694057e789f6d75518af88ee7
323,U1342,D,2,H,CC,,4,14,15.73,15.83,NN21,F,M-G,R,,,R,F,,R,reworked specimens (Reticulofenestra asanoi and C. pelagicus ),,323-U1342D-2H-CC,6daf1d1b23f814623d55151247a3992a
323,U1342,D,3,H,CC,,8,18,25.02,25.12,,R,M-G,,,,R,R,,,,,323-U1342D-3H-CC,f3c9df9b0e4f0ea7163d8f131462ff57
323,U1342,D,4,H,CC,,11,21,34.73,34.83,,C,M-G,,,,,C,,,reworked specimens (C. pelagicus and C. miopelagicus),,323-U1342D-4H-CC,0938d3053f89b4e32c24a3f798dca85a
323,U1342,D,5,H,CC,,12,22,44.3,44.4,,B,,,,,,,,,,,323-U1342D-5H-CC,5c68962b10566e2d5951ea6413851f8d
