Exp,Hole,"Core, section, interval (cm)",Top Depth [m],Presevation,Bathymetry,Abyssamina poagi,Abyssamina quadrata,Alabammina dissonata,Ammodiscus latus,Amphicoryna sp.,Anomalinoides cf. globulosus,Anomalinoides sp. A,Astacolus sp.,Astrononion echolsi,Astrononion sp.,Bolivina spp.,Bulimina alazanensis,Bulimina sp.,Buliminella parvula,Cassidulina sp. A,Chrysalogonium crassitestum,Chrysalogonium sp. indet.,Cibicidoides eocanus,Cibicidoides grimusdalei,Cibicidoides havanensis,Cibicidoides micrus,Cibicidoides mundulus,Cibicidoides wuellerstorfi,Cibicidoides sp. A,Cibicidoides sp. B,Cibicidoides sp. indet.,Cystammina pauciloculata,Dentalina spp.,Eggerella bradyi,Eggerella sp.,Ehrenbergina histrix,Evolvecassidulina cf. howei,Favocassidulina favus,Favocassidulina spinifer,Favocassidulina subfavus,Fursenkoina bradyi,Gaudryina sp.,Glandulina sp.,Globocassidulina subglobosa,Globocassidulina sp. A,Globocassidulina sp. B,Glomospira challoides,Glomospira goldialis,Glomospira irregularis,Guttulina sp.,Gyroidinoides soldanii,Gyroidinoides sp. A,Gyroidinoides sp. B,Gyroidinoides sp. C,Gyroidinoides sp. D,Gyroidinoides sp. indet.,Haplophragmoides walteri,Haplophragmoides sp. indet.,Heronallenia sp.,Karreriella chapapotensis,Karrerulina coniformis,Laticarinina pauperata,Lenticulina spp.,Mattinotiella cummunis,Melonis baeleanuum,Melonis pomplioides,Myllostonella spp.,Nodosaria spp.,Nonion affine,Nonion havanensis,Nuttallides truempyi,Nuttallides umbonifer,Oridorsalis umbonatus,Orthomorphina spp.,Osangularia plummerae,Paracassidulina sp.,Paratrochamminoides spp.,Planulina? sp.,Pleurostomella spp.,Pseudoparrella exigua,Pseudopleurostomella spp.,Pullenia bulloides,Pullenia eocenica,Pullenia osloensis,Pullenia quinqueloba,Pullenia salisburyi,Pullenia subcarinata,Pullenia sp. A,Pyrgo sp.,Pyrulina spp.,Quadrimorphina profunda,Quinqueloculina sp.,Recurvoides spp.,Reophax spp.,Reticulophragmium amplectens,Siphonodosaria antillea,Siphonodosaria spinata,Siphonodosaria sp. indet.,Spheroidina bulloides,Spiroloculina sp.,Spiroplectammina spectabilis,Spiroplectammina sp. A,Stilostomella spp.,Spirosigmoillina compressa,Textularia spp.,Trochamminoides? sp.,Turrilina robertsi,Tube-shaped agglutinated form.,Unilocular species,Uvigerina peregrina pradyiana,Valvulina spinosa,Agglutinated Foram. gen. et sp. indet.,Calc. Hyaline Foram. gen. et sp. indet.,Section,Core,Type,Top [cm],Bottom [cm],Site,Bottom Depth [m],A/W,Sample,eodp_id
320,A,"1H-cc, 16-21 cm",8.22,P,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,cc,1,H,16,21,U1334,,,320-U1334A-1H-cc-nan,7e146b534bba14c172749c12aff9c1e9
320,A,"2H-cc, 16-21 cm",18.14,G,LB-A,,,,,,R,,,,,,,,,,,,,R,R,,A,R,,,R,,,,R,,,,,,,,,R,,,,,,,R,R,,,R,,,R,,,,F,,,R,R,,,,,,R,F,,,,,,,R,,,,,,,,R,R,,,R,R,,,,,,,,,,,,,,,R,R,,,,F,cc,2,H,16,21,U1334,,,320-U1334A-2H-cc-nan,b2a2f9f2b10a12d45e061f9bae507701
320,A,"3H-cc, 18-23 cm",27.68,P,LB-A,,,,,,R,,,,R,,,,,,,,,,R,,F,,,,,,,,,,,,,,,A,,R,,,,,,,,,,R,,,,,,,,A,,,,,,,,,,A,,,,,,,,R,,R,,R,,,,R,,R,,R,R,,,R,,R,F,,,,,,,,,,,,,,F,cc,3,H,18,23,U1334,,,320-U1334A-3H-cc-nan,58df64f03b8d4f9b5cbde215e13e1e3e
320,A,"4H-cc, 17-23 cm",37.21,P,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,cc,4,H,17,23,U1334,,,320-U1334A-4H-cc-nan,6c54d60754e759e2c7ce480428744448
320,A,"5H-cc, 27-32 cm",46.81,G,LB-A,,,,,R,,P,,R,,,,,,,,,,P,,,P,,R,,,,R,P,,,,,,,,,P,R,,,,,,,P,R,R,,P,R,,R,,P,,,P,,,,,P,,,,R,A,R,,,,,R,P,,R,,,P,,R,R,,R,,P,P,,,P,R,R,R,,P,,,,,,R,F,R,,P,,R,cc,5,H,27,32,U1334,,,320-U1334A-5H-cc-nan,ecf1f75974d4c3426b6ca7ffb8740ba8
320,A,"6H-cc, 20-25 cm",56.23,G,LB-A,,,,,,,,,F,,,,,R,,,,,R,,,,R,R,,,,,R,,,,,,,,,,A,,,,,,R,,R,R,,R,R,,,,,,,,,,,,,,,,F,A,,,,R,,R,R,R,R,,R,,,,R,,R,,,,,,,R,R,R,,,,,,R,R,,F,R,,R,,R,cc,6,H,20,25,U1334,,,320-U1334A-6H-cc-nan,90748ffbc56145ba9c5debb5c7f9b738
320,A,"7H-cc, 25-30 cm",65.69,G,LB-A,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,R,,,,R,,,,,,,,,R,,R,R,,,,,,,,,,,,,,,,A,A,,,,,,R,,,,,,,,R,F,,F,,R,,,R,,,R,F,,,,,,,,,F,F,,,,F,cc,7,H,25,30,U1334,,,320-U1334A-7H-cc-nan,d59dce5562d800f0bee0ba6aa39a287d
320,A,"8H-cc, 22-27 cm",75.09,G,LB-A,,,,,,,,,,,,,,,,,,,,,,F,,,,R,,,,,,,,,R,,,,F,,,,,,,R,R,R,R,R,,,,,,,,,,,,,,R,,,A,A,,,,,,,R,,R,,,,R,R,R,,,,R,R,R,,,,F,F,,,,,,,,,F,R,,,,R,cc,8,H,22,27,U1334,,,320-U1334A-8H-cc-nan,28cee5867fc805e16d0b06ccfb533b9e
320,A,"9H-cc, 24-29 cm",84.77,M,LB-A,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,R,,,,,P,,,,,,,,,,,R,,,,,,P,,R,,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,,,,P,cc,9,H,24,29,U1334,,,320-U1334A-9H-cc-nan,d23937e206475c4504b38827381d7bea
320,A,"10H-cc, 20-25 cm",93.98,G,LB-A,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,R,,,,,R,,,,,,,,R,R,,R,,,,,,,,R,,,,,,,,,A,F,,,,,,,R,R,R,R,R,,,,R,,R,,,R,,,,F,F,R,,,,,,,,,,R,,,,F,cc,10,H,20,25,U1334,,,320-U1334A-10H-cc-nan,966aec044a50a07aa88bbad693d9c9a7
