Exp,Site,Hole,"Core,    section",Top CSF-A (m),Bottom CSF-A (m),Abundance,Preservation,Actinocyclus curvatulus,Actinocyclus ochotensis,Actinocyclus oculatus,Actinoptychus senarius,Amphora spp.,Asteromphalus brookei,Bacterosira fragilis,Cocconeis californica cf. kerguerensis,Cocconeis costata,Cocconeis placentula,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Delphineis cf. angustata,Delphineis kippae,Delphineis surirella,Detonula confervacea,Diploneis spp.,Encyonema spp.,Eunotia spp.,Fragilaria sp.,Fragilariopsis cylindrus,Fragilariopsis oceanica,Navicula distans,Navicula spp.,Neodenticula kamtschatica,Neodenticula seminae,Nitzschia spp.,Odontella aurita,Paralia sol,Paralia sulcata,Pinnularia spp.,Porosira glacialis,Proboscia curvirostris,Pyxidicula spp.,Pyxidicula turris,Rhizosolenia barboi,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. hiemalis,Rhizosolenia hebetata f. semispina,Rhizosolenia spp.,Stauroneis spp.,Thalassionema bacillaris,Thalassionema nitzschioides,Thalassiosira antarctica spores,Thalassiosira cf. leptopus,Thalassiosira gravida,Thalassiosira hyalina,Thalassiosira jouseae,Thalassiosira lacustris,Thalassiosira latimarginata,Thalassiosira nordenskioeldii,Thalassiosira oestrupii,Thalassiothrix longissima,Thalassiosira hyalina,Thalassiosira jouseae,Thalassiosira latimarginata,Thalassiosira lineata,Thalassiosira nordenskioeldii,Thalassiosira oestrupii,Thalassiosira spp.,Thalassiothrix longissima,Diatom Zone (NPD) in Yanagisawa and Akiba (1998)
323,U1344,E,1H-CC,5.24,5.34,C,M,R,,,,C,,R,,,,,,C,,C,,R,,,,C,C,,,,R,F,R,,A,,R,,,,,,,,,R,,F,C,,,,,F,C,,,,C,,C,,C,C,F,,Neodenticula seminae (NPD12)
323,U1344,E,2H-CC,14.92,15.02,A,G,C,,,,,,C,,,,,,,,C,,,,,,,F,R,,,C,,R,R,F,,,,,R,,,,,,,,,A,,R,,,,C,,,,,,C,,,R,,,Neodenticula seminae (NPD12)
323,U1344,E,3H-CC,24.75,24.85,C,M,C,,,,,,R,,,,,,,,R,,,,,,,F,,,,F,,R,,,,R,,,,,,,,,,,,D,,,,,,C,,,R,R,,C,,C,R,R,,Neodenticula seminae (NPD12)
323,U1344,E,4H-CC,34.58,34.68,A,G,F,,,,,,F,R,,,,,,,F,,,,,,,C,,,,C,F,F,F,,,,,,,,,,,,,,,D,,R,,,,C,,,,,,A,,,,,F,Neodenticula seminae (NPD12)
323,U1344,E,5H-CC,43.72,43.82,C,M-G,,,,R,,,F,,,R,,,,,F,,,,,,,C,,,,C,,F,,,,,,,,,,R,,,,,C,A,,,,R,,C,,,R,,,C,,,R,R,R,Neodenticula seminae (NPD12)
323,U1344,E,6H-CC,53.28,53.38,C,M-G,F,,,,,,F,,,,,,,,,,,,,,C,A,R,,,F,C,R,,,,,,,,,,R,,,,,C,A,R,,,,,F,,,R,F,,C,,R,R,,,Neodenticula seminae (NPD12)
323,U1344,E,7H-CC,62.00,62.10,C,M,C,,,,,,R,,,,R,,,,F,,,,,,F,C,,,,C,,R,F,A,,F,,,,,,,,,F,,C,A,,,,,,C,,,R,R,,C,,,,,F,Neodenticula seminae (NPD12)
323,U1344,E,8H-CC,71.95,72.05,C,M,,,,R,,,F,,,,,,,,R,,,,,,C,C,,,,F,F,R,R,C,,F,,,,,F,,,,,,F,A,R,R,F,,,F,,,R,R,,C,,R,,,R,Neodenticula seminae (NPD12)
323,U1344,E,9H-CC,81.27,81.37,C,M-G,F,,,,,,,,,,,,,,,,,,,,,C,,F,,C,,R,,C,,,,,,,,,R,,,,C,A,,,,,,C,R,F,,,R,C,,,,,,Neodenticula seminae (NPD12)
323,U1344,E,10H-CC,90.75,90.85,C,M-G,F,,,R,,,C,,,,,,R,,F,,,,,,F,A,,,,,C,R,,F,,R,,,,,R,,,,,R,C,C,,,,,,,,,R,,,,,R,,,,Neodenticula seminae (NPD12)
323,U1344,E,12H-CC,102.95,103.05,C,M,F,,,,,,R,,R,,C,,,,F,R,,,,,,C,,,,R,,R,F,C,,,,F,,R,F,R,,F,,,F,A,,,,,,C,,,F,,F,C,,,,F,,Proboscia curvirostris (NPD11)
323,U1344,E,13H-CC,112.80,112.90,C,M-G,C,,,,,,,,,,,,,F,,,,,,,,F,,F,,A,F,R,R,F,R,,,,,,R,,,,,,,A,,,,,,C,,F,,R,C,C,,,R,,F,Proboscia curvirostris (NPD11)
323,U1344,E,14H-CC,122.36,122.46,C,G,F,,,F,,,R,,,,,,,C,,,,,,,F,C,,,,F,C,R,,C,,,R,,,,R,,R,,,,C,A,,,,,,F,,C,F,F,A,C,,R,F,C,,Proboscia curvirostris (NPD11)
323,U1344,E,15H-CC,127.00,127.10,C,M-G,C,,,,,,,,,,R,,,R,,,,,,,,C,,,,C,C,R,F,F,R,,R,,R,,,R,F,,,,F,A,,,,F,,C,,F,,,,F,,,,F,F,Proboscia curvirostris (NPD11)
323,U1344,E,16H-CC,136.41,136.51,C,M-G,F,R,,,,R,R,,,,,,,,,,,,,,,C,,R,R,C,C,R,R,,,,,,,,,,R,,,,C,D,,,,R,,C,,F,,,F,C,,,,,,Proboscia curvirostris (NPD11)
323,U1344,E,17H-CC,144.93,145.03,C,M-G,F,,,F,,,F,,,,,,R,C,C,,,,,,R,F,,,F,C,C,F,F,A,F,,R,,,,F,,,,,,C,C,,,,R,,F,,F,,R,C,C,,,F,F,R,Proboscia curvirostris (NPD11)
323,U1344,E,18H-CC,155.39,155.49,C,M-G,C,,,F,,R,C,,,,,,,,,,,,,,,F,,,,C,F,R,,,,,,,,,,,,,,,F,D,,,R,R,,C,,,R,,F,F,,,C,R,R,Proboscia curvirostris (NPD11)
323,U1344,E,19H-CC,165.34,165.44,C,M-G,F,F,,,,,C,,R,,,F,,F,,R,,F,C,F,R,,,F,,C,F,R,,R,R,,,,R,,R,R,F,,,,,A,,,,C,,,F,R,,,F,C,R,,,,F,Proboscia curvirostris (NPD11)
323,U1344,E,20H-CC,174.18,174.28,A,G,R,,,R,,,C,,,,C,,,,R,,,,,,R,,,,,F,,F,,A,,,R,,,,,,F,,,,R,A,,,,F,,C,,F,,,C,C,,,,C,R,Proboscia curvirostris (NPD11)
323,U1344,E,21H-CC,182.52,182.62,A,G,F,,F,R,,,C,,,,R,,F,F,,,,,,,,,,R,,C,,F,,A,R,,F,,,,F,,F,,,,,C,,,,R,,C,F,,,,R,F,,,,R,R,Proboscia curvirostris (NPD11)
