"Expedition, site, hole, core, section, interval (cm):",Bottom Depth [m],Top Depth [m],Age:,Bryozoan fragments,Echinoid fragments indet.,Echinoid plate fragments,Echinoid spines,Holothurian spicules,Fish scales,Fish teeth,Microbivalves,Microgastropods,Ostracods,Otoliths,Radiolarians,Shell (bivalve) fragments,Shell (gastropod) fragments,Shell (scaphopod) fragments,Sample,Top [cm],Bottom [cm],Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
"372-U1517C-1H-1, 20-25",0.25,0.2,Holocene,,,,F,,X,,,,F,,X,,,,372-U1517C-1H-1,20,25,372,U1517,C,1,H,1,,ce7c6eac5b9d4aa07caa8baa88fd5e3d
"372-U1517C-1H-2, 106-111",2.61,2.56,,,,,F,,,,,,,,,,,,372-U1517C-1H-2,106,111,372,U1517,C,1,H,2,,ab9901cd0caa6863fec4d46e95d99c43
"372-U1517C-1H-13, 29-34",3.34,3.29,,,,,F,,,,X,,,,,,,,372-U1517C-1H-13,29,34,372,U1517,C,1,H,13,,faf887795e06662ba1c37a4a9c2c9a1b
"372-U1517C-1H-4, 42-47",4.97,4.92,Late Pleistocene,X,,X,X,,,,,,X,,X,F,,,372-U1517C-1H-4,42,47,372,U1517,C,1,H,4,,f4b086f39bb844508587b4214a734a8e
"372-U1517C-1H-CC, 28-33",5.7,5.65,,,,,X,,,,,,X,,F,,,,372-U1517C-1H-CC,28,33,372,U1517,C,1,H,CC,,4aaf6cac8494e664e19ee85b5050cc56
"372-U1517C-2H-CC, 33-38",15.2,15.15,,,,,X,,,,,,,,F,,,,372-U1517C-2H-CC,33,38,372,U1517,C,2,H,CC,,64adfdae754501ccac5a529723f33d67
"372-U1517C-3F-CC, 25-30",19.9,19.85,,,,,F,,,,,,X,,,,,,372-U1517C-3F-CC,25,30,372,U1517,C,3,F,CC,,26f9e28cf8601fb7a39ec38992c8596c
"372-U1517C-4F-CC, 24-29",24.6,24.55,,,,,F,,,,,,,,X,,,,372-U1517C-4F-CC,24,29,372,U1517,C,4,F,CC,,fcaaa340dbfb1458d0e55548ccb9f2f4
"372-U1517C-5F-CC, 24-29",29.3,29.25,,,,,,,,,,,,,,,,,372-U1517C-5F-CC,24,29,372,U1517,C,5,F,CC,,270781d19ce93188841f9acbb63ba6f3
"372-U1517C-6F-CC, 21-26",33.98,33.93,,,,,,,,,,,X,,X,,,,372-U1517C-6F-CC,21,26,372,U1517,C,6,F,CC,,8d8b4226a4cde3974eb9f49c0179a1c9
