Sample,Top Depth [m],Bottom Depth [m],Radiolarian zone,Abundance,Preservation,Mixing,Acrocubus octopylus,Amphirhopalum ypsilon,Anthocyrtidium angulare,Anthocyrtidum pliocenica,Botryostrobus miralestensis,Calocycletta caepa,Calocycletta costata,Calocycletta robusta,Calocycletta virginis,Carpocanopsis bramlettei,Carpocanopsis cingulata,Carpocanopsis cristata,Centrobotris petrushevskayae,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Diartus petterssoni,Didymocyrtis bassanii,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis prismatica,Didymocyrtis tetratharamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris scambos,Eucyrtidium diaphanes,Lamaprocyrtis nigriniae,Liriospyris parkerae,Liriospyris stauropora,Lithopera neotera,Lithopera renzae,Lychnocanoma elongata,Lychnodictyum audax,Nephrospyris renila,Phormostichoartus doliolum,Phormostichoartus fistula,Spongaster tetras tetras,Stichocorys armata,Stichocorys delmontensis,Stichocorys wolffii,Theocorythium trachelium,Top [cm],Bottom [cm],Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
321-U1337C-1H-CC,1.87,1.92,RN 14,A,G,,,R,,,,,,,,,,,,R,,,,,,,,,C,,,,,,,R,,,,,,,,,,C,,,,R,,,321,U1337,C,1,H,CC,,97ade1c21799fb840d94726d57a60b93
321-U1337C-2H-CC,11.54,11.59,RN13,C,M,,,R,R,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,R,,,R,,,,R,,,321,U1337,C,2,H,CC,,b33e5a7e4f2c486a35410876f0c0eea9
321-U1337C-4H-CC,178.8,178.85,RN6,C,M,,,,,,R,R,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,R,,R,,,,R,R,,,,321,U1337,C,4,H,CC,,b2932df8883d551e80d91977fe68bacf
321-U1337C-5H-CC,188.88,188.93,RN6,C,M,,,,,,R,R,,,,,,,,,,R,,R,,R,,,,,,,,,,,,,R,,,,,,,,,R,R,,,,321,U1337,C,5,H,CC,,ff955f1d019c740cd64866e88b396026
321-U1337C-6H-CC,192.78,192.83,RN6,R,G,,,,,R,,R,,,,,,,,,,R,,R,,R,,,,,,,,,,,,,R,,,,,,,,,R,R,,,,321,U1337,C,6,H,CC,,8f3613da66d41691140c240a30df9edf
321-U1337C-7H-CC,202.62,202.67,RN6,A,G,,,,,R,R,R,,,,,,,,,,R,,R,,R,,,,,,,,,,,,,F,,,R,,R,R,,,C,R,,,,321,U1337,C,7,H,CC,,98e60bef7747f16c69dc66d1ebd4031a
321-U1337C-8H-CC,212.12,212.17,RN6,A,G,,,,,R,R,R,,,,,,,,,,R,,R,,R,,,,,,,,,,,,,R,,,R,,,R,,,C,R,,,,321,U1337,C,8,H,CC,,4e77ebbce5671f574c88b4e73264571c
321-U1337C-9H-CC,221.66,221.71,RN6,A,G,,,,,,R,R,,,,,,R,,,,C,,R,,R,,,,,,,,,,,,,F,,,,,R,,,,C,R,,,,321,U1337,C,9,H,CC,,9f9798099d00608529853a45dd8ff3bf
321-U1337C-10X-CC,230.65,230.7,RN6,A,M,,,,,R,R,R,,,,,,,,,,R,,R,,R,,,,,,,,,,,,,R,,,R,,R,R,,,C,R,,,,321,U1337,C,10,X,CC,,339df620e978bf83b372b4bddf8f54a0
321-U1337C-11X-CC,238.91,238.96,RN6,C,G,,,,,R,,,,,,,,R,,,R,R,R,R,,,,,,,,,,,,,,,,,,R,,,,,,R,R,,,,321,U1337,C,11,X,CC,,07bd9261c821e09f9f16b43fd6898a7b
321-U1337C-12X-CC,249.49,249.54,RN5,A,G,,,,,R,R,R,,,,,,,,,R,,R,,,R,,,,,,,,,,,,,,R,,R,,R,R,,,R,R,,,,321,U1337,C,12,X,CC,,b39992d21567c3ef452583e84e26d4c7
321-U1337C-13X-CC,259.61,259.66,RN5,A,G,,,,,,R,R,,,,,,R,,,,,C,,,R,,,,,,,,,,,,,R,R,,,,R,,,,C,R,,,,321,U1337,C,13,X,CC,,1208c239ce2309cebb9727ba559e1ddd
321-U1337C-14X-CC,269.1,269.15,RN5,A,G,,,,,R,F,R,,,,,,R,,,R,,C,,,R,,,,,,,,,,,,,R,R,,R,,R,R,,,C,R,,,,321,U1337,C,14,X,CC,,1cefe41a049f64c912319494bf408054
321-U1337C-15X-CC,276.52,276.57,RN5,A,G,,,,,R,F,R,,,,,,R,,,R,,C,,,,,,,,,,,,,,,,,R,,R,,,,,,C,,,,,321,U1337,C,15,X,CC,,0b4476327d8e2671b093a4ec0e9f2147
321-U1337C-16X-CC,287,287.05,RN5,A,M,,,,,R,,R,,R,,,,R,,,,,C,,,R,R,,,,,,,,,,R,,,R,,,,,R,,,C,R,,,,321,U1337,C,16,X,CC,,d8e9cb8c4495d116cc33806dadb38fd8
321-U1337C-17X-CC,297.97,298.16,RN5,A,M,,,,,R,R,R,,R,,,,R,,,R,,C,,,,R,,,,,,,,,,R,,,R,,,,R,R,,,C,,,,,321,U1337,C,17,X,CC,,875443c0e3a1bc0b86d63fa983313dfa
321-U1337C-18X-CC,307.59,307.64,RN4,A,G,,R,,,,R,R,R,R,R,R,,R,,,,,C,,,,R,,,R,R,R,,,,,R,,,,,R,,R,R,,,R,,,,,321,U1337,C,18,X,CC,,9d142af4a37f042cb2af99a60860370b
321-U1337C-19X-CC,316.84,316.89,RN4,C,M,,R,,,,,,R,R,R,,,R,,,R,,C,,,,R,,,R,R,R,,,,,R,,,,,,,R,R,,R,R,,,,,321,U1337,C,19,X,CC,,1c1a4bc04db8677c40bd96feb9a6f1c3
321-U1337C-20X-CC,326.87,326.92,RN4,C,M,,,,,,R,,R,R,R,,R,,,,R,,C,,,,R,R,,R,R,,,,,,,R,,,,R,,,,,,R,,,,,321,U1337,C,20,X,CC,,ace7d6d85c806d238ba542bbf62c8a89
321-U1337C-21X-CC,336.38,336.43,RN4,A,M,,,,,,R,,R,R,R,R,R,,,,R,,C,,,,,R,,,R,R,,,,,,,,,,R,,R,R,,,C,R,,,,321,U1337,C,21,X,CC,,bce2cf5fe71193811e2131295eb45b74
321-U1337C-22X-CC,345.88,345.93,RN4,A,M,,,,,,,,R,R,R,R,R,,,,R,,C,,R,,,R,,R,R,R,,,,,,R,,,,,,R,R,,,C,,,,,321,U1337,C,22,X,CC,,291fd74e1e47c6e33b08b7362eedebe5
321-U1337C-23X-CC,354.26,354.31,RN4,A,M,,,,,,,,R,R,R,R,R,,,,R,,C,,,,,R,,R,R,R,R,,,,,R,,,,R,,R,,,,R,R,,,,321,U1337,C,23,X,CC,,3e21fd37833da25b75bf7b6cd13bdf2e
321-U1337C-24X-CC,365.31,365.36,RN3,A,M,,,,,,R,,,R,R,,,,R,,R,,C,,R,,,R,,R,R,,R,,,,,,,,R,,,R,,,,F,R,,,,321,U1337,C,24,X,CC,,b67b45a8ba5b15a9c8c2b1c672d33f31
321-U1337C-25X-CC,374.87,374.92,RN3,A,M,,,,,R,,,,R,,,R,,,,R,,R,,,,,R,,R,R,,,,,,,,,,R,,,R,,,,F,R,,,,321,U1337,C,25,X,CC,,245ddbd01aebe91e69badbee6bdbe632
321-U1337C-26X-CC,384.37,384.42,RN2,A,M,,,,,R,R,,,R,R,,R,,,,R,,R,,,,,R,,R,,,,,,,,,,,R,,,,,,,F,,,,,321,U1337,C,26,X,CC,,9babc854521d14e4e6db09b0948fcfe9
321-U1337C-27X-CC,391.14,391.19,RN2,A,M,,,,,R,,,,R,R,,R,,,,F,,C,,R,,,R,,R,,,,R,,,,,,,R,,,R,,,,F,,,,,321,U1337,C,27,X,CC,,11d3849c238103b11df3514f41f686e8
321-U1337C-28X-CC,403.26,403.31,RN2,A,M,,,,,R,R,,,R,R,,R,,,,F,,F,,R,,,R,,R,,,,R,R,,,,,,R,,,,,,,F,,,,,321,U1337,C,28,X,CC,,42e310588ff7a892242ad98a3a6ebd2f
321-U1337C-29X-CC,412.86,412.91,RN2,A,M,,,,,R,R,,,R,,,,,,,R,,R,,,,,R,,,,,,R,R,,,,,,R,R,,R,,,,F,,,,,321,U1337,C,29,X,CC,,2e7199119945e3c984a07bc1996d9f6c
321-U1337C-30X-CC,420.27,420.32,RN2,A,M,,,,,R,,,,R,,,,,,,F,,R,,R,,,R,,,,,,R,R,,,,,,R,,,,,,,,,,,,321,U1337,C,30,X,CC,,5239caed2a56652618a34fe2f8712ac4
321-U1337C-31X-CC,432.01,432.06,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,U1337,C,31,X,CC,,b08886db8d40b58e235b8883aa1f6669
321-U1337C-32X-CC,437.57,437.62,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,U1337,C,32,X,CC,,14ebc30943d5012ddedecc154f845803
