Exp,Site,Hole,Core,Type,Section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Abundance,Preservation,E. huxleyi,P. lacunosa,Gephyrocapsa (medium),Gephyrocapsa (large),Gephyrocapsa (small),C. pelagicus,Dictyococcites spp. (small),Dictyococcites spp. (medium),R. minutula,R. minuta,C. leptoporus,C. leptoporus (small),Comments,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,A/W,Sample,eodp_id
323,U1344,E,1,H,CC,16,26,5.24,5.34,R,M-G,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1344E-1H-CC-nan,3cb8f495e0730729eb1659cb29a05fa1
323,U1344,E,2,H,CC,11,21,14.92,15.02,R,M,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1344E-2H-CC-nan,468716b35d6f47fd4522e9dc45d18997
323,U1344,E,3,H,CC,14,24,24.75,24.85,R,M,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1344E-3H-CC-nan,577851c366126bd288542a16a41c0048
323,U1344,E,4,H,CC,20,30,34.58,34.68,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1344E-4H-CC-nan,588fcf957782a3dde9701194979cd573
323,U1344,E,5,H,CC,29,39,43.72,43.82,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1344E-5H-CC-nan,b4638603f98834b2a2b250110fc51691
323,U1344,E,6,H,CC,30,40,53.28,53.38,A,M,,,R,,R,A,,,,,R,,"Dissolution and overgrowth. Scattered large acicular minerals, low birrefringence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1344E-6H-CC-nan,b3270bd98f625233b52c62ef10e2e93d
323,U1344,E,7,H,CC,35,45,62,62.1,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1344E-7H-CC-nan,cf56f3cbb3f5393abc9c130c035c88b7
323,U1344,E,8,H,CC,24,34,71.95,72.05,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1344E-8H-CC-nan,2818055ba927ded1010c952adc2acbad
323,U1344,E,9,H,CC,30,40,81.27,81.37,F,M,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1344E-9H-CC-nan,21ba7c42594631a7244cc3e31a4191b0
323,U1344,E,10,H,CC,39,49,90.75,90.85,F,M-G,,,,,,F,,,,,,,Syracosphaera spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1344E-10H-CC-nan,9fceedf854c34c985a6d8f9974c9b5da
323,U1344,E,12,H,CC,34,44,102.95,103.05,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1344E-12H-CC-nan,8091ef59b3c523ee05c548eb2f4bade4
323,U1344,E,13,H,CC,25,35,112.8,112.9,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1344E-13H-CC-nan,60032ce9c639f3b2ac61ae34d0c9385b
323,U1344,E,14,H,CC,24,34,122.36,122.46,R,M-G,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1344E-14H-CC-nan,2741e725ad5f28c8633d4228a18f759b
323,U1344,E,15,H,CC,20,30,127,127.1,F,P,,,F,,R,,,,,,F,R,"Authigenic minerals, acicular shape, low birrefringence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1344E-15H-CC-nan,d75c832177c4ef81a0dbb963e1568af5
323,U1344,E,16,H,CC,26,36,136.41,136.51,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1344E-16H-CC-nan,1ecfed000b6160dc6ffb7e27085b804a
323,U1344,E,17,H,CC,18,28,144.93,145.03,F,M-G,,,F,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1344E-17H-CC-nan,6c18c9db978835b2855c7a4615fe1da4
323,U1344,E,18,H,CC,35,45,155.39,155.49,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1344E-18H-CC-nan,e96017ae2e959f5bb08f080e15538d0f
323,U1344,E,19,H,CC,30,40,165.34,165.44,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1344E-19H-CC-nan,dabcb22d56a6f1a6f3aaff3aaf9cc35f
323,U1344,E,20,H,CC,33,43,174.18,174.28,A,M-G,,,F,,C,R,,,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1344E-20H-CC-nan,7f5eccca78530abdf1dc391fd503c1a5
323,U1344,E,21,H,CC,22,32,182.52,182.62,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1344E-21H-CC-nan,9e21c9fff0a0a12417b07914ce11413d
323,U1344,E,22,H,CC,16,26,193.75,193.85,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1344E-22H-CC-nan,1bc2e9a4d0ed6ed6e755630f1114fde2
323,U1344,E,23,H,CC,28,38,202.69,202.79,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1344E-23H-CC-nan,401b1a8e2ae516923a4dbe9d69064308
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-nannan-nannan-nan-nan,b4a6b64374982ccb605038d1f53eb742
