Sample,Top Depth [m],Bottom Depth [m],Radiolarian zone/subzone,Abundance,Preservation,Mixing,Acrocubus octopylus,Amphirhopalum ypsilon,Anthocyrtidium angulare,Anthocyrtidum pliocenica,Botryostrobus miralestensis,Calocycletta caepa,Calocycletta costata,Calocycletta robusta,Calocycletta virginis,Carpocanopsis bramlettei,Carpocanopsis cingulata,Carpocanopsis cristata,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Diartus hughesi,Diartus petterssoni,Didymocyrtis antipenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetratharamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris dentata,Dorcadospyris forcipata,Lamaprocyrtis heteroporos,Lamaprocyrtis nigriniae,Liriospyris parkerae,Lithopera neotera,Lithopera renzae,Lychnocanoma elongata,Lychnodictyum audax,Nephrospyris renila,Phormostichoartus doliolum,Phormostichoartus fistula,Pterocanium prismatium,Solenosphaera omnitubus,Spongaster berminghami,Spongaster pentas,Spongaster tetras tetras,Stichocorys delmontensis,Stichocorys pergrina,Stichocorys wolffii,Stylatractus universus,Theocorythium trachelium,Theocorythium vetulum,Top [cm],Bottom [cm],Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
321-U1337D-1H-CC,7.93,7.98,RN14,C,M,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,C,,,,R,,,,,321,U1337,D,1,H,CC,,7337634a676ff38763fedcc0210c7117
321-U1337D-2H-CC,16.6,16.68,RN13,A,M,,,R,R,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,C,,,,R,R,R,,,321,U1337,D,2,H,CC,,b928c3cc693648721e0bae9d48e07085
321-U1337D-3H-CC,27.19,27.24,RN12b,A,M,,,R,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,R,,,,C,,,,R,,R,,,321,U1337,D,3,H,CC,,7911bb02d411632bee10e1460d8a1188
321-U1337D-4H-CC,35.64,35.7,RN12b,A,M,,,R,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,R,,,R,,,,F,,,,,,R,,,321,U1337,D,4,H,CC,,2686e4a77a695f3260479cb588ed69f8
321-U1337D-5H-CC,46.39,46.44,RN 11b,A,M,,,R,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,R,,,F,,,,R,,C,,,,R,,,321,U1337,D,5,H,CC,,ea0ac12f67251c9506411e00e8cb59ad
321-U1337D-6H-CC,55.25,55.28,RN 11a,A,M,,,R,,R,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,R,,R,F,,,,F,,C,,R,,R,,,321,U1337,D,6,H,CC,,99c17a6615818068d5adcf276fb7be51
321-U1337D-7H-CC,65.14,65.19,RN 10,A,M,,,,,R,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,R,R,R,,F,,,,R,,F,,,,,,,321,U1337,D,7,H,CC,,f5f59975e79a01a0b47630bc4f904fce
321-U1337D-8H-CC,73.66,73.71,RN9,A,M,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,R,R,R,R,,,R,,,R,,,,R,,,321,U1337,D,8,H,CC,,4401fc2aeee416b71e5166dab679ae19
321-U1337D-9H-CC,84.06,84.11,RN9,A,M,,,,,F,,,,,,,,,,,,,,,R,,,R,,R,,,,,,,,,,,,R,R,R,R,R,,R,,,R,,,,R,,,321,U1337,D,9,H,CC,,a6ed69552038593a45d8b39c23d4025f
321-U1337D-10H-CC,93.79,93.84,RN9,A,M,,,,,R,,,,,,,,,,,,,,,R,,,F,,R,,,,,,,,,,,,,R,R,,,R,R,,,F,,,,,,,321,U1337,D,10,H,CC,,d1d5b7d6d55c71b8e7b39ad5c4cbadbb
321-U1337D-11H-CC,103.5,103.55,RN9,A,M,,,,,R,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,R,R,,R,R,,,,F,,,,,,,321,U1337,D,11,H,CC,,ed8e0a68736400accbd9d4d9515f75ec
321-U1337D-12H-CC,112.43,112.48,RN9,A,M,,,,,R,,R,,,,,,,,,,,,R,,,,R,,R,,,,,,,,,,,R,,R,R,,R,R,,,F,C,,,,,,,321,U1337,D,12,H,CC,,8402a8f1649965d524273c2632b95016
321-U1337D-13H-CC,122.45,122.5,RN9,A,G,,,,,R,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,R,,R,R,,R,R,,,F,F,,,,,,,321,U1337,D,13,H,CC,,f30ceeb4dc980cf2d774ad13027b34cf
321-U1337D-14H-CC,131.14,131.35,RN 8,A,G,,,,,R,,R,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,R,R,,,,,,F,,,,,,,,321,U1337,D,14,H,CC,,05d61b74cfb11bb279e0b312c77b6dca
321-U1337D-15H-CC,141.53,141.58,RN7,A,G,,,,,,,R,,,,,,,,,,R,,R,,R,,,,,,,,,,,,,,,,,R,,,,R,,,F,,,,,,,,321,U1337,D,15,H,CC,,a0ee1c01c5a3ed687db5fa8089be7438
321-U1337D-16H-CC,150.25,150.3,RN7,A,G,,,,,R,,R,,,,,,,,,,R,,R,,R,,,,,,,,,,,,,,,R,,R,,,,,,,F,,,,,,,,321,U1337,D,16,H,CC,,ec0887716082fdf76da1bcfeb94173e3
321-U1337D-17H-CC,160.51,160.56,RN7,A,G,,,,,,R,R,,,,,,,,,,R,,R,,R,,,,,,,,,,,,,,,,,R,,,,,,,F,,,,,,,,321,U1337,D,17,H,CC,,81979ab98641509d5cf51ac99d628c5e
321-U1337D-18H-CC,169.92,169.97,RN6,A,M,,,,,,R,R,,,,,,,,,,,F,R,,R,,,,,,,,,,,,,,,,,R,,,,,,,C,,R,,,,,,321,U1337,D,18,H,CC,,82b83fb01126b86feed2588c1ee709a1
321-U1337D-19H-CC,179.4,179.45,RN6,A,M,,,,,,R,R,,,,,,,,,,,F,,,R,,,,,,,,,,,,,,,R,,R,R,,,,,,C,,R,,,,,,321,U1337,D,19,H,CC,,6fce9f06afeb2b2c11587836d3251520
321-U1337D-20H-CC,189.01,189.06,RN6,A,M,,,,,,R,R,,,,,,,,F,,,F,,,R,,,,,,,,,,,,,,,,,R,R,,,,,,C,,R,,,,,,321,U1337,D,20,H,CC,,e72b4657fbd81ed02b95cf817a94acd1
321-U1337D-21H-CC,195.17,195.21,RN6,R,G,,,,,,R,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,321,U1337,D,21,H,CC,,3fde03ca4e86818f4cec9bdddcaa369d
321-U1337D-22H-CC,199.71,199.76,RN6,A,G,,,,,,R,R,,,,,,,,R,,,R,,,R,,,,,,,,,,,,,,,R,,R,R,,,,,,F,,R,,,,,,321,U1337,D,22,H,CC,,1148d394b920f175079a94dbfbe00cfd
321-U1337D-23H-CC,209.54,209.59,RN6,A,G,,,,,,R,R,,,,,,R,,R,,,R,,,R,,,,,,,,,,,,,,,R,,,R,,,,,,F,,R,,,,,,321,U1337,D,23,H,CC,,4c17336b61f7d1d858b428fbb8d53381
321-U1337D-24H-CC,219.4,219.45,RN6,A,G,,,,,,R,R,,,,,,R,,R,,,R,,,R,,,,,,,,,,,,R,,,,,R,R,,,,,,F,,R,,,,,,321,U1337,D,24,H,CC,,2acef0c6370076b2684ab2e6d0de1a1a
321-U1337D-25H-CC,228.24,228.29,RN6,A,G,,,,,,R,R,,,,,,,R,R,,,R,,,R,,,,,,,,,,,,R,,,,,R,,,,,,,F,,R,,,,,,321,U1337,D,25,H,CC,,0f0b36d36475b3ffef29e9f31952d702
321-U1337D-26H-CC,237.56,237.61,RN6,A,G,,,,,,R,R,,,,,,R,R,,R,,R,,,R,,,,,,,,,,,,R,,,,,R,,,,,,,F,,R,,,,,,321,U1337,D,26,H,CC,,7f466f669ae0215aec681436bd6515d4
321-U1337D-27X-CC,239.88,239.93,RN6,R,G,,,,,,,,,,,,,,R,,R,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,321,U1337,D,27,X,CC,,05d3484011bd6c29330716c265ee7db1
