Exp,Site,Hole,"Core, section",interval (cm),Top Depth [m],Bottom Depth [m],Abundance,Preservation,Actinocyclus curvatulus,Actinocyclus ochotensis,Actinocyclus oculatus,Actinoptychus senarius,Asteromphalus brookei,Asteromphalus robustus,Aulacoseira spp.,Bacterosira fragilis,Cocconeis costata,Cocconeis scutellum,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Delphineis cf. angustata,Delphineis kippae,Delphineis surirella,Detonula confervacea,Diploneis spp.,Encyonema lacustre,Eunotia spp.,Fragilaria sp.,Fragilariopsis cylindrus,Fragilariopsis oceanica,Grammatophora angulata,Navicula distans,Navicula spp.,Neodenticula koizumii,Neodenticula seminae,Neodenticula sp. A,Neodenticula spp.,Nitzschia spp.,Odontella aurita,Paralia sol,Paralia sulcata,Porosira glacialis,Proboscia curvirostris,Pyxidicula horridus,Pyxidicula pustulatus,Pyxidicula turris,Pyxidicula spp.,Raphoneis amphiceros,Rhabdonema sp.,Rhizosolenia barboi,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. hiemalis,Rhizosolenia hebetata f. semispina,Rhizosolenia styliformis,Rhizosolenia spp.,Stauroneis spp.,Stellarima microtrias,Thalassionema bacillaris,Thalassionema nitzschioides,Thalassiosira antarctica Spores,Thalassiosira antiqua,Thalassiosira decipiens,Thalassiosira eccentrica,Thalassiosira gravida,Thalassiosira hyalina,Thalassiosira jouseae,Thalassiosira latimarginata,Thalassiosira lineata,Thalassiosira nordenskioeldii,Thalassiosira oestrupii,Thalassiosira poroseriata,Thalassiosira spp.,Thalassiothrix longissima,Diatom Zone (NPD) in Yanagisawa and Akiba (1998),Top [cm],Bottom [cm],Core,Section,Type,A/W,Sample,eodp_id
323,U1344,A,1H-CC,,9.04,9.14,A,G,F,,,,,,,,,,,,,,C,F,F,,,,C,C,,,C,,F,,,,,,F,R,,,,,,,,,,,,,,,,,F,A,,,R,,,R,F,,,F,,,F,Neodenticula seminae (NPD12),,,1,CC,H,,323-U1344A-1H-CC,28a78687f8ecbb166720653ba5b70dfe
323,U1344,A,2H-CC,,18.65,18.75,A,M-G,C,,,,,,,F,,,,,,,C,,,,,,F,F,,,R,,C,,,R,,,C,,,,,,,,,,R,,,,,,,,,A,,,,,F,,C,,,,,,F,Neodenticula seminae (NPD12),,,2,CC,H,,323-U1344A-2H-CC,b90092a6f968fb4f507d35ff5d13d46b
323,U1344,A,3H-CC,,28.62,28.72,A,M-G,F,,,,,,,C,,,,,,R,F,,,,,,,,,F,R,,A,,,,R,R,C,,,,,,,,,,,,,,,,,,,A,,,,,R,,C,,,F,,,,Neodenticula seminae (NPD12),,,3,CC,H,,323-U1344A-3H-CC,ee03016467ec602b849ed099d6276d18
323,U1344,A,4H-CC,,38.12,38.22,A,G,C,,,,,,,C,,,,,C,,,,,C,,,F,F,,R,,,F,,,,,,,,,,,,,,,,R,R,,,,,,,F,A,,,,,,,C,,R,R,,,F,Neodenticula seminae (NPD12),,,4,CC,H,,323-U1344A-4H-CC,3ba33151830f9916269db749e1277d73
323,U1344,A,5H-CC,,47.51,47.61,A,M-G,,,,,,R,,C,,,,,,,,,,,,,F,C,,,R,,C,,,F,,,C,,,,,,,,,,F,,R,,,,,,C,A,,,,,,,C,,,R,,,,Neodenticula seminae (NPD12),,,5,CC,H,,323-U1344A-5H-CC,4eb6dda68717ca2129892fbed4e21b38
323,U1344,A,6H-CC,,57.19,57.29,A,G,C,,,,,,,R,,,,R,,,F,,F,,,,F,,,,,,A,,,,,F,C,,,,,,,,,,,,F,,,,,,F,C,,,,,R,,A,,,C,,,F,Neodenticula seminae (NPD12),,,6,CC,H,,323-U1344A-6H-CC,464eb168d97941fb67eb18aaf4d9eec7
323,U1344,A,7H-CC,,66.58,66.68,C,M-G,C,,,,,,,F,,,,,,,,,,,,,R,C,,,,,C,,,C,,R,F,R,,,,,,,,,F,,,,,,,,C,A,,,,,,,C,,,R,,F,,Neodenticula seminae (NPD12),,,7,CC,H,,323-U1344A-7H-CC,aef7762ff304772ff58d63d15a186e86
323,U1344,A,8H-CC,,75.22,75.32,C,M-G,F,,,,,,,C,,,R,R,,,F,F,,,,,,C,,F,F,,C,,,F,,R,C,,,,,F,,,,,C,,C,F,,,,,F,C,,,,,R,,C,,,F,,R,R,Neodenticula seminae (NPD12),,,8,CC,H,,323-U1344A-8H-CC,81a8017477dee8e1f7695b056831588f
323,U1344,A,9H-CC,,85.11,85.21,C,G,C,,,,,,,F,,,,F,,,,,,,,,,C,,,F,,C,,,F,,F,R,,,,,,,,,,R,,C,,,,,,C,C,,,,,,,C,,,F,,C,,Neodenticula seminae (NPD12),,,9,CC,H,,323-U1344A-9H-CC,33b2ce4f50c449d15e226d0434205a59
323,U1344,A,10H-CC,,95.09,95.19,C,M-G,R,,,,,,,C,,,,,,F,,F,R,,,,F,A,,,R,,C,,,F,,R,C,R,,,,,,,,,F,,C,,,,,,R,A,,,,,,,R,,,F,,,,Neodenticula seminae (NPD12),,,10,CC,H,,323-U1344A-10H-CC,94c181a16b18ba9f7e4110f5f4fc7e9f
