Exp,Site,Hole,Core,Type,Section,Top Depth [m],Preservation,Group Abundance,Marine,Actinocylus actinochilus,Actinocylus karstenii,Actinoptychus bipunctatus,Actinoptychus senarius,Coscinodiscus radiatus,Delphineis spp.,Diploneis splendida,Fragilariopsis cylindrica,Fragilariopsis fossilis,Fragilariopsis kerguelensis,Fragilariopsis obliquecostata,Grammatophora sp.,Hemidiscus karstenii,Hemidiscus sp. 1 of Zielinski & Gersonde (2002),Hyalodiscus sp.,Rhizosolenia hebetata,Rhizosolenia hebetata f. hiemalis,Stephanopyxis turris,Stephanopyxis spp.,Thalassiosira eccentrica,Thalassiosira fasciculata,Thalassiosira gracilis,Thalassiosira lentiginosa,Thalassiosira oestrupii,Thalassiosira spp.,Thalassiothrix longissima,,Coastal upwelling,Resting spores of Chaetoceros,,Coastal,Paralia sulcata,Thalassionema nitzschioides,,Fresh or brackish water,Aulacoseira granulata,Cocconeis fasciolata,Cyclotella spp.,Navicula spp.,Nitzschia? sp. 1,Pinularia sp.,Pleurosigma directum,Comments,,,,,,Top [cm],Bottom [cm],Bottom Depth [m],A/W,Sample
317,U1352,A,1,H,CC,4.21,-,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317-U1352A-1H-CC-nan
317,U1352,A,2,H,CC,13.67,-,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317-U1352A-2H-CC-nan
317,U1352,A,3,H,CC,23.10,-,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317-U1352A-3H-CC-nan
317,U1352,A,4,H,CC,33.43,-,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317-U1352A-4H-CC-nan
317,U1352,A,5,H,CC,43.06,-,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317-U1352A-5H-CC-nan
317,U1352,B,1,H,CC,8.16,P,R,,,,,,R,,,X,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,317-U1352B-1H-CC-nan
317,U1352,B,2,H,CC,17.70,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317-U1352B-2H-CC-nan
317,U1352,B,3,H,CC,27.41,P,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,317-U1352B-3H-CC-nan
317,U1352,B,4,H,CC,37.38,P,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,317-U1352B-4H-CC-nan
317,U1352,B,5,H,CC,46.70,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317-U1352B-5H-CC-nan
317,U1352,B,6,H,CC,55.76,P,R,,,,,,X,,,,,,X,,,,,X,,,,,,,X,,,,,,,,,R,X,,,,,,,X,,,,,,,,,,,,,317-U1352B-6H-CC-nan
317,U1352,B,7,H,CC,64.92,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317-U1352B-7H-CC-nan
317,U1352,B,8,H,CC,75.34,P,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317-U1352B-8H-CC-nan
317,U1352,B,9,H,CC,84.22,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317-U1352B-9H-CC-nan
317,U1352,B,10,H,CC,94.12,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317-U1352B-10H-CC-nan
317,U1352,B,11,H,CC,103.74,P,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317-U1352B-11H-CC-nan
317,U1352,B,12,H,CC,112.98,M,R,,,,,,,,,,,,R,,,,,,,,,,X,,,,,,,,,,,R,X,,,,,,,,,,,,,,,,,,,,317-U1352B-12H-CC-nan
317,U1352,B,13,H,CC,121.10,M,F,,,,,,,,X,F,,X,X,,,,,X,,,,,X,,X,,,,,,,,,X,X,,,,X,,,,,,,,,,,,,,,,317-U1352B-13H-CC-nan
317,U1352,B,14,H,CC,130.86,M,R,,,,,,,,,,,R,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,317-U1352B-14H-CC-nan
317,U1352,B,15,H,CC,141.70,P,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317-U1352B-15H-CC-nan
317,U1352,B,16,H,CC,150.79,M,F,,,,,,,,,F,,F,,,,,,,,,,,R,X,,R,,,,,R,,,X,R,,,R,R,,,F,X,,,,,,,,,,,,317-U1352B-16H-CC-nan
317,U1352,B,17,H,CC,156.10,M,R,,X,,,,,,,,,X,,,,,,,,,,,X,,,X,,,,,X,,,R,,,,,,,,X,,,,,,,,,,,,,317-U1352B-17H-CC-nan
317,U1352,B,18,H,CC,164.18,P,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,317-U1352B-18H-CC-nan
317,U1352,B,19,H,CC,174.34,M,R,,,,,,X,,X,,,X,X,X,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,317-U1352B-19H-CC-nan
317,U1352,B,20,H,CC,180.38,P,X,,,,,,,,,,,X,,X,,,,,,X,,,X,,,,,,,,X,,,X,X,,,,,,,,,,,,,,,,,,,,317-U1352B-20H-CC-nan
317,U1352,B,21,H,CC,189.72,M,F,,,,,,,,R,X,,R,,,,,,,,,,,,,,X,,,,,X,,,X,,,,,,,X,F,,X,,,,,,,,,,,317-U1352B-21H-CC-nan
317,U1352,B,22,H,CC,199.08,M,F,,,,X,,,,X,X,,X,,,,,,,,,,,,,,,,,,,R,,,,X,,,,,,F,F,,,,,,,,,,,,,317-U1352B-22H-CC-nan
317,U1352,B,23,H,CC,208.67,M,F,,,,,,,,,,X,X,X,,,,,,,X,,,,,,X,X,,,,X,,,R,X,,,,,,,F,,,HO: F. fossilis (>0.67-0.72 Ma),,,,,,,,,,317-U1352B-23H-CC-nan
